collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,FL,12053,72.0,70.3,51.7,0.0,74.7,72.0
2020-08-09,FL,12053,67.0,64.19999999999999,48.3,4.9,71.9,71.9
2020-08-16,FL,12053,52.0,49.7,45.8,4.1,56.2,56.1
2020-08-23,FL,12053,45.099999999999994,43.0,54.1,4.4,49.5,49.49999999999999
2020-08-30,FL,12053,38.2,35.5,41.599999999999994,0.0,40.6,38.2
2020-09-06,FL,12053,29.6,27.3,39.1,0.0,32.3,29.6
2020-09-13,FL,12053,18.3,16.1,41.2,0.0,18.3,18.3
2020-09-20,FL,12053,18.6,16.1,39.1,0.0,18.6,18.6
2020-09-27,FL,12053,20.5,19.0,37.400000000000006,0.0,20.5,20.5
2020-10-04,FL,12053,24.4,20.4,38.6,0.0,24.4,24.4
2020-10-11,FL,12053,26.9,21.1,39.0,0.0,27.0,26.9
2020-10-18,FL,12053,29.5,25.700000000000003,37.7,0.0,29.5,29.5
2020-10-25,FL,12053,32.5,29.299999999999997,37.3,0.0,32.5,32.5
2020-11-01,FL,12053,32.5,29.4,39.7,0.0,32.5,32.5
2020-11-08,FL,12053,47.900000000000006,42.3,49.0,0.0,47.900000000000006,47.900000000000006
2020-11-15,FL,12053,59.4,52.7,51.8,0.0,59.4,59.4
2020-11-22,FL,12053,64.8,58.2,42.8,0.0,64.8,64.8
2020-11-29,FL,12053,67.9,62.7,49.4,0.0,67.9,67.9
2020-12-06,FL,12053,66.2,57.9,45.8,0.0,66.2,66.2
2020-12-13,FL,12053,81.5,72.4,49.400000000000006,0.0,81.5,81.5
2020-12-20,FL,12053,81.7,73.3,39.400000000000006,0.0,81.7,81.7
2020-12-27,FL,12053,98.0,91.7,54.5,0.0,98.0,98.0
2021-01-03,FL,12053,116.6,105.19999999999999,53.1,0.0,116.6,116.6
2021-01-10,FL,12053,108.10000000000001,101.1,54.3,0.0,108.10000000000001,108.10000000000001
2021-01-17,FL,12053,91.0,82.1,55.199999999999996,0.0,91.0,91.0
2021-01-24,FL,12053,83.7,76.2,49.3,0.0,83.9,83.7
2021-01-31,FL,12053,79.1,70.6,69.5,0.0,79.1,79.1
2021-02-07,FL,12053,69.3,58.4,55.7,0.0,69.3,69.3
2021-02-14,FL,12053,60.599999999999994,52.8,46.5,0.0,60.599999999999994,60.599999999999994
2021-02-21,FL,12053,55.6,47.9,51.3,0.0,55.6,55.6
2021-02-28,FL,12053,51.9,45.9,54.699999999999996,0.0,51.9,51.9
2021-03-07,FL,12053,32.9,30.3,47.0,0.0,32.9,32.9
2021-03-14,FL,12053,26.9,25.6,42.1,0.0,26.9,26.9
2021-03-21,FL,12053,21.8,19.8,45.7,0.0,21.8,21.8
2021-03-28,FL,12053,26.9,22.700000000000003,45.7,0.0,26.9,26.9
2021-04-04,FL,12053,31.299999999999997,28.3,49.7,0.0,31.299999999999997,31.299999999999997
2021-04-11,FL,12053,29.400000000000002,24.4,48.900000000000006,0.0,29.6,29.400000000000002
2021-04-18,FL,12053,31.7,29.0,48.7,0.0,31.7,31.7
2021-04-25,FL,12053,24.4,22.0,47.0,0.0,24.4,24.4
2021-05-02,FL,12053,33.3,31.900000000000002,50.5,0.0,33.3,33.3
2021-05-09,FL,12053,35.9,35.1,47.7,0.0,35.9,35.9
2021-05-16,FL,12053,28.0,24.6,46.400000000000006,0.0,28.0,28.0
2021-05-23,FL,12053,27.9,24.299999999999997,43.8,0.0,27.9,27.9
2021-05-30,FL,12053,30.7,28.0,45.3,0.0,30.7,30.7
2021-06-06,FL,12053,27.4,25.1,43.2,0.0,27.4,27.4
2021-06-13,FL,12053,29.3,27.4,39.4,0.0,29.3,29.3
2021-06-20,FL,12053,16.6,15.299999999999999,39.6,0.0,16.6,16.6
2021-06-27,FL,12053,11.2,9.6,40.6,0.0,11.2,11.2
2021-07-04,FL,12053,15.4,14.0,45.599999999999994,0.0,15.4,15.4
2021-07-11,FL,12053,21.9,19.2,47.2,0.0,21.9,21.9
2021-07-18,FL,12053,37.7,33.7,49.400000000000006,0.0,37.7,37.7
2021-07-25,FL,12053,91.0,85.0,48.6,0.0,91.0,91.0
2021-08-01,FL,12053,149.8,145.8,54.3,0.0,149.8,149.8
