collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,FL,12061,23.9,23.9,23.900000000000002,0,24.3,23.9
2020-08-09,FL,12061,23.3,23.3,27.200000000000003,0,24.0,23.3
2020-08-16,FL,12061,14.7,14.7,19.4,0,14.9,14.7
2020-08-23,FL,12061,7.7,7.7,19.5,0,7.9,7.7
2020-08-30,FL,12061,7.0,7.0,13.0,0.0,7.0,7.0
2020-09-06,FL,12061,8.6,8.6,17.3,0.0,8.6,8.6
2020-09-13,FL,12061,5.3,5.3,18.5,0,6.0,5.3
2020-09-20,FL,12061,4.0,4.0,17.8,0.0,4.0,4.0
2020-09-27,FL,12061,8.7,8.7,22.0,0.0,8.9,8.7
2020-10-04,FL,12061,10.6,10.6,20.9,0.0,10.6,10.6
2020-10-11,FL,12061,6.7,6.7,15.1,0.0,6.7,6.7
2020-10-18,FL,12061,8.4,8.4,22.0,0.0,8.4,8.4
2020-10-25,FL,12061,12.8,12.8,11.2,0.0,12.8,12.8
2020-11-01,FL,12061,13.5,13.5,22.2,0.0,13.5,13.5
2020-11-08,FL,12061,16.8,16.8,18.0,0.0,16.8,16.8
2020-11-15,FL,12061,13.7,13.7,18.6,0.0,13.7,13.7
2020-11-22,FL,12061,12.1,12.1,14.5,0.0,12.1,12.1
2020-11-29,FL,12061,18.1,18.1,17.0,0.0,18.1,18.1
2020-12-06,FL,12061,17.0,17.0,19.6,0.0,17.0,17.0
2020-12-13,FL,12061,15.7,15.7,21.0,0.0,15.7,15.7
2020-12-20,FL,12061,22.7,22.7,17.9,0.0,22.7,22.7
2020-12-27,FL,12061,29.6,27.3,24.1,0.0,29.6,29.6
2021-01-03,FL,12061,31.1,31.1,24.5,0.0,31.1,31.1
2021-01-10,FL,12061,37.7,37.7,19.1,0.0,37.7,37.7
2021-01-17,FL,12061,42.800000000000004,40.6,23.8,0.0,42.800000000000004,42.800000000000004
2021-01-24,FL,12061,39.0,37.199999999999996,23.5,0.0,39.0,39.0
2021-01-31,FL,12061,30.4,28.5,30.799999999999997,0.0,30.4,30.4
2021-02-07,FL,12061,29.7,28.7,30.0,0.0,29.7,29.7
2021-02-14,FL,12061,22.1,22.1,27.7,0.0,22.1,22.1
2021-02-21,FL,12061,20.0,20.0,22.0,0.0,20.0,20.0
2021-02-28,FL,12061,18.4,18.4,25.5,0.0,18.4,18.4
2021-03-07,FL,12061,17.7,17.7,25.6,0.0,17.7,17.7
2021-03-14,FL,12061,13.9,13.9,28.7,0.0,13.9,13.9
2021-03-21,FL,12061,15.9,15.9,28.0,0.0,15.9,15.9
2021-03-28,FL,12061,12.7,12.7,29.700000000000003,0.0,12.7,12.7
2021-04-04,FL,12061,12.4,12.4,26.200000000000003,0.0,12.4,12.4
2021-04-11,FL,12061,11.3,11.3,23.4,0.0,11.3,11.3
2021-04-18,FL,12061,12.3,12.3,23.700000000000003,0.0,12.3,12.3
2021-04-25,FL,12061,12.3,12.3,29.5,0.0,12.3,12.3
2021-05-02,FL,12061,9.3,9.3,28.7,0.0,9.3,9.3
2021-05-09,FL,12061,6.3,6.3,27.099999999999998,0.0,6.3,6.3
2021-05-16,FL,12061,16.9,9.9,29.0,0.0,16.9,16.9
2021-05-23,FL,12061,11.4,5.7,29.700000000000003,0.0,11.4,11.4
2021-05-30,FL,12061,9.0,4.0,25.700000000000003,0.0,9.0,9.0
2021-06-06,FL,12061,6.1,6.1,24.6,0.0,6.1,6.1
2021-06-13,FL,12061,5.7,5.7,22.5,0.0,5.7,5.7
2021-06-20,FL,12061,6.3,6.3,21.0,0.0,6.3,6.3
2021-06-27,FL,12061,5.6,5.6,31.799999999999997,0.0,5.6,5.6
2021-07-04,FL,12061,13.3,13.3,25.0,0.0,13.3,13.3
2021-07-11,FL,12061,25.9,20.9,23.8,0.0,25.9,25.9
2021-07-18,FL,12061,42.5,40.4,26.6,0.0,42.5,42.5
2021-07-25,FL,12061,70.9,68.4,34.599999999999994,0.0,70.9,70.9
2021-08-01,FL,12061,81.1,78.3,35.5,0.0,81.1,81.1
2021-08-08,FL,12061,121.0,117.9,44.3,0.0,121.0,121.0
2021-08-15,FL,12061,139.9,137.0,56.1,0.0,139.9,139.9
2021-08-22,FL,12061,133.5,130.6,45.900000000000006,0.0,133.5,133.5
2021-08-29,FL,12061,134.0,132.5,43.7,0.0,134.0,134.0
2021-09-05,FL,12061,111.30000000000001,109.30000000000001,41.7,0.0,111.30000000000001,111.30000000000001
2021-09-12,FL,12061,80.1,78.1,41.1,0.0,80.1,80.1
2021-09-19,FL,12061,55.5,54.0,30.700000000000003,0.0,55.5,55.5
2021-09-26,FL,12061,39.7,37.7,28.3,0.0,39.7,39.7
2021-10-03,FL,12061,30.799999999999997,29.0,21.9,0.0,30.799999999999997,30.799999999999997
2021-10-10,FL,12061,25.4,23.4,20.8,0.0,25.4,25.4
2021-10-17,FL,12061,18.9,16.9,20.4,0.0,18.9,18.9
2021-10-24,FL,12061,5.6,0,18.8,0.0,5.6,5.6
2021-10-31,FL,12061,9.100000000000001,4.7,27.7,0.0,9.100000000000001,9.100000000000001
2021-11-07,FL,12061,10.7,4.7,20.5,0.0,10.7,10.7
2021-11-14,FL,12061,8.4,4.3,22.6,0.0,8.4,8.4
2021-11-21,FL,12061,6.0,0,19.7,0.0,6.0,6.0
2021-11-28,FL,12061,8.4,4.0,22.5,0.0,8.4,8.4
2021-12-05,FL,12061,10.7,5.7,22.0,0.0,10.7,10.7
2021-12-12,FL,12061,10.0,4.7,18.0,0.0,10.0,10.0
2021-12-19,FL,12061,12.0,9.7,18.4,0.0,12.0,12.0
2021-12-26,FL,12061,22.2,18.7,21.1,0.0,22.2,22.2
