collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,FL,12063,20.6,20.6,12.6,0.0,20.6,20.6
2020-08-09,FL,12063,22.4,22.4,9.6,0.0,22.4,22.4
2020-08-16,FL,12063,12.7,12.7,8.9,0.0,12.7,12.7
2020-08-23,FL,12063,12.6,12.6,5.9,0.0,12.6,12.6
2020-08-30,FL,12063,11.7,11.7,5.8,0.0,11.7,11.7
2020-09-06,FL,12063,9.5,9.5,5.2,0.0,9.5,9.5
2020-09-13,FL,12063,10.0,10.0,5.0,0.0,10.0,10.0
2020-09-20,FL,12063,6.4,6.4,4.3,0.0,6.4,6.4
2020-09-27,FL,12063,6.9,6.9,0,0.0,6.9,6.9
2020-10-04,FL,12063,9.6,9.6,6.1,0.0,9.6,9.6
2020-10-11,FL,12063,8.7,8.7,6.3,0.0,8.7,8.7
2020-10-18,FL,12063,7.3,7.3,6.3,0.0,7.3,7.3
2020-10-25,FL,12063,7.3,7.1,0,0.0,7.3,7.3
2020-11-01,FL,12063,11.6,11.6,0,0.0,11.6,11.6
2020-11-08,FL,12063,24.6,24.6,4.6,0.0,24.6,24.6
2020-11-15,FL,12063,22.9,22.9,6.7,0.0,22.9,22.9
2020-11-22,FL,12063,29.1,29.1,8.7,0.0,29.1,29.1
2020-11-29,FL,12063,24.6,24.6,9.0,0.0,24.6,24.6
2020-12-06,FL,12063,19.1,19.1,8.0,0.0,19.1,19.1
2020-12-13,FL,12063,15.7,15.7,6.1,0.0,15.7,15.7
2020-12-20,FL,12063,9.7,9.7,7.6,0.0,9.7,9.7
2020-12-27,FL,12063,11.7,11.7,6.1,0.0,11.7,11.7
2021-01-03,FL,12063,20.0,20.0,4.9,0.0,20.0,20.0
2021-01-10,FL,12063,25.3,25.3,4.4,0.0,25.3,25.3
2021-01-17,FL,12063,23.1,23.1,0,0.0,23.1,23.1
2021-01-24,FL,12063,16.6,16.6,9.0,0.0,16.6,16.6
2021-01-31,FL,12063,13.0,13.0,10.1,0.0,13.0,13.0
2021-02-07,FL,12063,8.3,8.3,8.6,0.0,8.3,8.3
2021-02-14,FL,12063,9.3,9.3,9.1,0.0,9.3,9.3
2021-02-21,FL,12063,6.4,6.4,7.0,0.0,6.4,6.4
2021-02-28,FL,12063,4.1,4.1,5.9,0.0,4.1,4.1
2021-03-07,FL,12063,5.6,5.6,4.7,0.0,5.6,5.6
2021-03-14,FL,12063,0,0,0,0.0,0,0.0
2021-03-21,FL,12063,0,0,0,0.0,0,0.0
2021-03-28,FL,12063,4.3,4.3,4.3,0.0,4.3,4.3
2021-04-04,FL,12063,0,0,5.1,0.0,0,0.0
2021-04-11,FL,12063,0,0.0,6.3,0.0,0,0.0
2021-04-18,FL,12063,0,0,5.0,0.0,0,0.0
2021-04-25,FL,12063,0,0,0,0,0,0.0
2021-05-02,FL,12063,0,0,6.7,0.0,0,0.0
2021-05-09,FL,12063,0,0,4.4,0.0,0,0.0
2021-05-16,FL,12063,0,0,0,0.0,0,0.0
2021-05-23,FL,12063,0,0,4.1,0.0,0,0.0
2021-05-30,FL,12063,0,0,6.0,0.0,0,0.0
2021-06-06,FL,12063,4.0,4.0,6.9,0.0,4.0,4.0
2021-06-13,FL,12063,7.7,7.7,10.4,0.0,7.7,7.7
2021-06-20,FL,12063,6.0,6.0,4.7,0.0,6.0,6.0
2021-06-27,FL,12063,5.0,5.0,0,0.0,5.0,5.0
2021-07-04,FL,12063,9.3,9.3,0,0.0,9.3,9.3
2021-07-11,FL,12063,11.9,11.9,4.7,0.0,11.9,11.9
2021-07-18,FL,12063,15.0,15.0,6.1,0.0,15.0,15.0
2021-07-25,FL,12063,19.4,19.4,5.6,0.0,19.4,19.4
2021-08-01,FL,12063,29.0,28.7,9.3,0,29.9,29.0
2021-08-08,FL,12063,39.0,38.7,12.6,0,39.3,39.0
2021-08-15,FL,12063,43.1,43.0,12.4,0.0,43.1,43.1
2021-08-22,FL,12063,40.9,40.9,12.0,0.0,40.9,40.9
2021-08-29,FL,12063,39.6,39.6,13.4,0.0,39.6,39.6
2021-09-05,FL,12063,37.1,37.1,13.9,0.0,37.1,37.1
2021-09-12,FL,12063,25.7,25.7,13.0,0.0,25.7,25.7
2021-09-19,FL,12063,19.6,19.6,12.7,0.0,19.6,19.6
2021-09-26,FL,12063,10.0,10.0,11.6,0.0,10.0,10.0
2021-10-03,FL,12063,5.1,5.1,10.1,0.0,5.1,5.1
2021-10-10,FL,12063,4.7,4.7,9.4,0.0,4.7,4.7
2021-10-17,FL,12063,0,0,7.7,0.0,0,0.0
2021-10-24,FL,12063,4.7,4.7,7.6,0.0,4.7,4.7
2021-10-31,FL,12063,0,0,5.7,0.0,0,0.0
2021-11-07,FL,12063,0,0,6.0,0.0,0,0.0
2021-11-14,FL,12063,0,0,6.6,0.0,0,0.0
2021-11-21,FL,12063,0,0,0,0.0,0,0.0
2021-11-28,FL,12063,0,0,5.3,0.0,0,0.0
2021-12-05,FL,12063,0,0,5.6,0.0,0,0.0
2021-12-12,FL,12063,0,0,5.3,0.0,0,0.0
2021-12-19,FL,12063,0.0,0.0,0,0.0,0.0,0.0
2021-12-26,FL,12063,0,0,0,0.0,0,0.0
