collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,FL,12069,98.7,91.0,61.3,9.4,108.5,108.10000000000001
2020-08-09,FL,12069,87.0,80.60000000000001,62.099999999999994,9.5,96.5,96.5
2020-08-16,FL,12069,80.3,76.1,61.6,6.4,86.8,86.7
2020-08-23,FL,12069,81.9,74.19999999999999,60.1,6.3,88.2,88.2
2020-08-30,FL,12069,90.1,82.6,67.4,0.0,93.9,90.1
2020-09-06,FL,12069,64.4,57.7,61.0,4.3,69.0,68.7
2020-09-13,FL,12069,45.4,37.400000000000006,74.0,0.0,47.6,45.4
2020-09-20,FL,12069,30.799999999999997,30.799999999999997,62.2,0.0,30.799999999999997,30.799999999999997
2020-09-27,FL,12069,35.3,34.8,68.3,0.0,35.3,35.3
2020-10-04,FL,12069,44.8,44.5,69.89999999999999,0.0,44.8,44.8
2020-10-11,FL,12069,39.3,39.3,66.8,0.0,39.3,39.3
2020-10-18,FL,12069,34.2,34.199999999999996,67.5,0.0,34.2,34.2
2020-10-25,FL,12069,40.9,35.7,69.4,0.0,40.9,40.9
2020-11-01,FL,12069,42.6,33.0,68.8,0.0,42.9,42.6
2020-11-08,FL,12069,47.8,34.7,66.2,0.0,48.1,47.8
2020-11-15,FL,12069,54.400000000000006,47.3,70.0,0.0,54.5,54.400000000000006
2020-11-22,FL,12069,58.699999999999996,48.9,63.8,0.0,58.699999999999996,58.699999999999996
2020-11-29,FL,12069,87.69999999999999,78.9,70.80000000000001,0.0,87.69999999999999,87.69999999999999
2020-12-06,FL,12069,89.7,82.1,76.5,0.0,89.7,89.7
2020-12-13,FL,12069,108.4,102.0,70.1,0.0,108.4,108.4
2020-12-20,FL,12069,128.3,122.0,69.4,0.0,128.7,128.3
2020-12-27,FL,12069,157.7,150.0,81.10000000000001,0.0,157.79999999999998,157.7
2021-01-03,FL,12069,184.2,172.7,79.1,0.0,184.4,184.2
2021-01-10,FL,12069,175.4,171.0,77.0,0.0,175.4,175.4
2021-01-17,FL,12069,152.4,147.7,73.0,0.0,152.4,152.4
2021-01-24,FL,12069,153.7,148.1,74.89999999999999,0.0,154.0,153.7
2021-01-31,FL,12069,142.5,132.1,77.60000000000001,0.0,142.7,142.5
2021-02-07,FL,12069,108.3,102.30000000000001,74.8,0.0,108.3,108.3
2021-02-14,FL,12069,81.3,76.6,75.39999999999999,0.0,81.3,81.3
2021-02-21,FL,12069,75.8,70.6,74.6,0.0,76.0,75.8
2021-02-28,FL,12069,75.0,69.0,74.0,0.0,75.7,75.0
2021-03-07,FL,12069,62.5,57.2,77.9,0.0,63.3,62.5
2021-03-14,FL,12069,47.0,41.5,68.1,0.0,47.0,47.0
2021-03-21,FL,12069,38.7,33.599999999999994,71.7,0.0,38.7,38.7
2021-03-28,FL,12069,49.599999999999994,44.599999999999994,69.1,0.0,49.599999999999994,49.599999999999994
2021-04-04,FL,12069,53.7,48.699999999999996,64.4,0.0,53.7,53.7
2021-04-11,FL,12069,58.900000000000006,52.199999999999996,69.7,0.0,58.900000000000006,58.900000000000006
2021-04-18,FL,12069,58.6,52.1,72.1,0.0,58.7,58.6
2021-04-25,FL,12069,62.5,56.099999999999994,64.3,0.0,62.599999999999994,62.5
2021-05-02,FL,12069,65.9,53.4,67.7,0.0,65.9,65.9
2021-05-09,FL,12069,54.5,41.1,65.7,0.0,54.5,54.5
2021-05-16,FL,12069,57.5,46.0,62.1,0.0,57.5,57.5
2021-05-23,FL,12069,42.2,34.0,60.3,0.0,42.2,42.2
2021-05-30,FL,12069,36.7,32.4,64.3,0.0,36.7,36.7
2021-06-06,FL,12069,32.3,25.900000000000002,62.1,0.0,32.3,32.3
2021-06-13,FL,12069,23.4,17.4,59.3,0.0,23.4,23.4
2021-06-20,FL,12069,23.3,17.5,62.6,0.0,23.3,23.3
2021-06-27,FL,12069,30.200000000000003,23.699999999999996,60.7,0.0,30.200000000000003,30.200000000000003
2021-07-04,FL,12069,40.6,35.400000000000006,72.10000000000001,0.0,40.6,40.6
2021-07-11,FL,12069,77.3,70.1,70.4,0.0,77.3,77.3
2021-07-18,FL,12069,111.7,101.7,73.60000000000001,0.0,111.89999999999999,111.7
2021-07-25,FL,12069,165.4,156.6,76.4,0.0,165.4,165.4
2021-08-01,FL,12069,236.8,226.2,83.89999999999999,0.0,237.2,236.8
