collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,FL,12073,76.1,71.1,61.0,0.0,77.1,76.1
2020-08-09,FL,12073,75.0,71.30000000000001,60.199999999999996,0.0,76.0,75.0
2020-08-16,FL,12073,78.19999999999999,72.19999999999999,59.0,0.0,78.69999999999999,78.19999999999999
2020-08-23,FL,12073,76.1,70.6,54.9,0.0,76.5,76.1
2020-08-30,FL,12073,70.6,66.9,58.0,0.0,71.1,70.6
2020-09-06,FL,12073,60.0,57.6,59.7,0.0,60.3,60.0
2020-09-13,FL,12073,56.0,54.2,57.1,0.0,56.4,56.0
2020-09-20,FL,12073,47.6,45.3,54.800000000000004,0.0,47.6,47.6
2020-09-27,FL,12073,43.4,40.0,53.900000000000006,0.0,44.0,43.4
2020-10-04,FL,12073,40.599999999999994,35.599999999999994,54.9,0.0,40.599999999999994,40.599999999999994
2020-10-11,FL,12073,42.7,40.8,63.0,0.0,43.0,42.7
2020-10-18,FL,12073,35.8,33.0,58.0,0.0,35.8,35.8
2020-10-25,FL,12073,39.3,37.0,56.8,0.0,39.9,39.3
2020-11-01,FL,12073,36.0,33.9,58.400000000000006,0.0,36.099999999999994,36.0
2020-11-08,FL,12073,32.5,28.4,60.599999999999994,0.0,32.7,32.5
2020-11-15,FL,12073,35.8,33.5,60.5,0.0,35.8,35.8
2020-11-22,FL,12073,31.799999999999997,30.099999999999998,53.3,0.0,31.799999999999997,31.799999999999997
2020-11-29,FL,12073,35.7,32.9,55.3,0.0,35.7,35.7
2020-12-06,FL,12073,42.2,38.2,61.6,0.0,43.0,42.2
2020-12-13,FL,12073,51.0,47.8,63.099999999999994,0.0,51.699999999999996,51.0
2020-12-20,FL,12073,61.9,58.4,63.6,0.0,62.8,61.9
2020-12-27,FL,12073,87.19999999999999,83.0,62.7,0.0,88.5,87.19999999999999
2021-01-03,FL,12073,102.6,99.30000000000001,62.900000000000006,0.0,103.5,102.6
2021-01-10,FL,12073,115.9,112.0,62.5,0.0,117.60000000000001,115.9
2021-01-17,FL,12073,125.69999999999999,121.69999999999999,62.0,0.0,126.89999999999999,125.69999999999999
2021-01-24,FL,12073,119.69999999999999,116.19999999999999,62.300000000000004,0.0,120.3,119.69999999999999
2021-01-31,FL,12073,92.6,89.7,63.2,0.0,92.6,92.6
2021-02-07,FL,12073,57.6,57.5,61.5,0.0,58.2,57.6
2021-02-14,FL,12073,40.599999999999994,40.3,58.699999999999996,0.0,42.4,40.599999999999994
2021-02-21,FL,12073,25.6,25.4,56.7,0.0,27.0,25.6
2021-02-28,FL,12073,27.299999999999997,27.299999999999997,61.5,0.0,27.9,27.299999999999997
2021-03-07,FL,12073,12.9,12.9,59.5,0.0,12.9,12.9
2021-03-14,FL,12073,11.4,11.4,53.7,0.0,11.4,11.4
2021-03-21,FL,12073,10.899999999999999,10.6,57.3,0.0,11.0,10.899999999999999
2021-03-28,FL,12073,0.0,0.0,59.3,0.0,0.0,0.0
2021-04-04,FL,12073,5.1,5.1,60.6,0.0,5.1,5.1
2021-04-11,FL,12073,14.7,14.6,61.9,0.0,14.799999999999999,14.7
2021-04-18,FL,12073,16.0,16.0,59.9,0.0,16.0,16.0
2021-04-25,FL,12073,13.7,13.5,58.199999999999996,0.0,14.2,13.7
2021-05-02,FL,12073,20.5,20.2,58.8,0.0,20.9,20.5
2021-05-09,FL,12073,21.3,21.200000000000003,59.699999999999996,0.0,22.200000000000003,21.3
2021-05-16,FL,12073,16.299999999999997,16.299999999999997,56.6,0.0,16.299999999999997,16.299999999999997
2021-05-23,FL,12073,7.0,7.0,55.800000000000004,0.0,7.0,7.0
2021-05-30,FL,12073,4.4,4.4,58.0,0.0,4.4,4.4
2021-06-06,FL,12073,9.9,9.9,55.800000000000004,0.0,10.5,9.9
2021-06-13,FL,12073,10.899999999999999,10.899999999999999,57.4,0.0,11.0,10.899999999999999
2021-06-20,FL,12073,4.7,4.7,59.900000000000006,0.0,5.4,4.7
2021-06-27,FL,12073,0.0,0.0,59.4,0.0,0.0,0.0
2021-07-04,FL,12073,0.0,0.0,55.4,0.0,0.0,0.0
2021-07-11,FL,12073,22.4,22.1,59.3,0.0,22.4,22.4
2021-07-18,FL,12073,45.4,45.4,61.400000000000006,0.0,46.2,45.4
2021-07-25,FL,12073,88.6,88.6,60.0,0.0,89.7,88.6
2021-08-01,FL,12073,140.10000000000002,139.0,62.2,0.0,142.5,140.10000000000002
2021-08-08,FL,12073,178.39999999999998,178.39999999999998,65.3,4.4,183.2,182.79999999999998
2021-08-15,FL,12073,193.7,193.7,66.8,0.0,196.6,193.7
2021-08-22,FL,12073,199.7,197.3,68.8,0.0,201.2,199.7
2021-08-29,FL,12073,197.3,197.0,70.9,0.0,201.0,197.3
2021-09-05,FL,12073,176.4,176.4,66.3,0.0,177.6,176.4
2021-09-12,FL,12073,130.5,130.5,63.1,0.0,132.2,130.5
2021-09-19,FL,12073,111.7,111.0,63.900000000000006,0.0,113.30000000000001,111.7
2021-09-26,FL,12073,88.19999999999999,88.0,64.6,0.0,89.0,88.19999999999999
2021-10-03,FL,12073,57.7,57.7,56.4,0.0,60.300000000000004,57.7
2021-10-10,FL,12073,49.3,49.3,51.400000000000006,0.0,49.8,49.3
2021-10-17,FL,12073,35.0,35.0,57.0,0.0,35.2,35.0
2021-10-24,FL,12073,24.1,24.0,59.7,0.0,24.299999999999997,24.1
2021-10-31,FL,12073,16.4,16.0,55.6,0.0,16.4,16.4
2021-11-07,FL,12073,7.9,7.6,57.1,0.0,7.9,7.9
2021-11-14,FL,12073,11.7,11.4,59.699999999999996,0.0,12.0,11.7
2021-11-21,FL,12073,10.0,9.3,59.099999999999994,0.0,10.6,10.0
2021-11-28,FL,12073,6.4,5.9,63.4,0.0,6.4,6.4
2021-12-05,FL,12073,9.4,9.4,60.599999999999994,0.0,9.5,9.4
2021-12-12,FL,12073,11.5,11.5,62.2,0.0,11.5,11.5
2021-12-19,FL,12073,14.7,14.6,54.5,0.0,14.799999999999999,14.7
2021-12-26,FL,12073,28.0,27.3,59.8,0.0,29.0,28.0
