collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,FL,12081,111.2,103.9,61.2,12.0,123.2,123.2
2020-08-09,FL,12081,91.1,84.5,55.199999999999996,13.3,104.9,104.39999999999999
2020-08-16,FL,12081,71.1,64.3,57.5,7.9,79.50000000000001,79.0
2020-08-23,FL,12081,42.0,37.8,50.4,9.0,51.0,51.0
2020-08-30,FL,12081,32.3,28.3,50.199999999999996,0.0,35.0,32.3
2020-09-06,FL,12081,30.700000000000003,25.9,52.400000000000006,5.1,35.9,35.800000000000004
2020-09-13,FL,12081,26.7,24.400000000000002,57.7,0.0,28.900000000000002,26.7
2020-09-20,FL,12081,23.9,22.7,49.1,0.0,23.9,23.9
2020-09-27,FL,12081,31.799999999999997,30.199999999999996,54.599999999999994,0.0,31.799999999999997,31.799999999999997
2020-10-04,FL,12081,36.0,34.2,58.7,0.0,36.0,36.0
2020-10-11,FL,12081,34.4,33.4,60.800000000000004,0.0,34.4,34.4
2020-10-18,FL,12081,36.5,34.300000000000004,57.699999999999996,0.0,36.9,36.5
2020-10-25,FL,12081,33.3,29.5,59.8,0.0,33.7,33.3
2020-11-01,FL,12081,38.0,33.2,58.4,0.0,38.0,38.0
2020-11-08,FL,12081,45.3,37.400000000000006,65.5,0.0,45.3,45.3
2020-11-15,FL,12081,49.1,39.8,66.3,0.0,49.1,49.1
2020-11-22,FL,12081,62.4,53.0,61.1,0.0,62.4,62.4
2020-11-29,FL,12081,66.1,57.6,64.7,0.0,66.1,66.1
2020-12-06,FL,12081,72.2,63.49999999999999,68.6,0.0,72.2,72.2
2020-12-13,FL,12081,65.10000000000001,56.1,68.0,0.0,65.10000000000001,65.10000000000001
2020-12-20,FL,12081,82.4,74.0,68.9,0.0,82.4,82.4
2020-12-27,FL,12081,92.69999999999999,80.4,60.199999999999996,0.0,92.69999999999999,92.69999999999999
2021-01-03,FL,12081,103.2,95.3,70.5,0.0,103.2,103.2
2021-01-10,FL,12081,92.2,89.8,66.7,0.0,92.2,92.2
2021-01-17,FL,12081,95.10000000000001,89.89999999999999,68.8,0.0,95.10000000000001,95.10000000000001
2021-01-24,FL,12081,92.49999999999999,87.7,67.2,0.0,92.49999999999999,92.49999999999999
