collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,FL,12085,59.4,59.0,18.0,0,63.1,59.4
2020-08-09,FL,12085,43.9,43.9,22.3,4.4,48.3,48.3
2020-08-16,FL,12085,32.9,32.9,25.6,0,33.9,32.9
2020-08-23,FL,12085,31.4,31.4,29.4,0,33.0,31.4
2020-08-30,FL,12085,25.9,24.9,26.9,0,27.7,25.9
2020-09-06,FL,12085,23.9,22.7,24.1,0,24.6,23.9
2020-09-13,FL,12085,26.7,25.7,28.0,0,29.0,26.7
2020-09-20,FL,12085,24.9,24.7,30.6,0,25.0,24.9
2020-09-27,FL,12085,28.6,28.4,25.9,0,28.9,28.6
2020-10-04,FL,12085,25.9,25.4,25.9,0.0,25.9,25.9
2020-10-11,FL,12085,21.6,20.9,25.3,0,21.7,21.6
2020-10-18,FL,12085,17.7,17.6,26.9,0.0,17.7,17.7
2020-10-25,FL,12085,20.9,20.9,33.9,0.0,20.9,20.9
2020-11-01,FL,12085,22.7,21.6,30.3,0,22.9,22.7
2020-11-08,FL,12085,25.3,25.0,28.3,0.0,25.3,25.3
2020-11-15,FL,12085,24.6,24.3,32.1,0.0,24.6,24.6
2020-11-22,FL,12085,45.7,45.4,35.4,0.0,45.7,45.7
2020-11-29,FL,12085,39.3,39.3,33.6,0,40.0,39.3
2020-12-06,FL,12085,44.3,44.3,32.9,0,44.9,44.3
2020-12-13,FL,12085,64.0,64.0,29.7,0.0,64.0,64.0
2020-12-20,FL,12085,69.1,69.1,29.3,0.0,69.1,69.1
2020-12-27,FL,12085,78.3,78.3,28.0,0.0,78.3,78.3
2021-01-03,FL,12085,87.1,87.1,30.6,0,87.3,87.1
2021-01-10,FL,12085,89.1,89.1,32.1,0.0,89.1,89.1
2021-01-17,FL,12085,99.0,99.0,33.0,0,99.3,99.0
2021-01-24,FL,12085,96.6,96.6,35.9,0,96.7,96.6
2021-01-31,FL,12085,83.0,83.0,32.0,0.0,83.0,83.0
2021-02-07,FL,12085,70.3,70.3,36.3,0,71.0,70.3
2021-02-14,FL,12085,68.0,68.0,30.3,0.0,68.0,68.0
2021-02-21,FL,12085,49.3,49.3,31.3,0,52.6,49.3
2021-02-28,FL,12085,44.7,44.7,34.4,0.0,44.7,44.7
2021-03-07,FL,12085,45.9,45.9,32.0,0.0,45.9,45.9
2021-03-14,FL,12085,33.3,33.3,29.9,0.0,33.3,33.3
2021-03-21,FL,12085,26.1,26.1,28.9,0,26.9,26.1
2021-03-28,FL,12085,30.7,30.7,31.6,0,31.3,30.7
2021-04-04,FL,12085,37.6,37.6,32.7,0.0,37.6,37.6
2021-04-11,FL,12085,33.9,33.9,33.6,0,34.1,33.9
2021-04-18,FL,12085,35.1,35.1,30.0,0,35.4,35.1
2021-04-25,FL,12085,47.7,47.7,33.9,0.0,47.7,47.7
2021-05-02,FL,12085,47.3,47.3,27.9,0.0,47.3,47.3
2021-05-09,FL,12085,41.3,41.3,30.6,0.0,41.3,41.3
2021-05-16,FL,12085,38.6,38.6,35.0,0,39.1,38.6
2021-05-23,FL,12085,24.4,24.3,32.0,0,24.7,24.4
2021-05-30,FL,12085,24.6,24.6,30.9,0.0,24.6,24.6
2021-06-06,FL,12085,20.6,20.6,35.4,0.0,20.6,20.6
2021-06-13,FL,12085,23.0,23.0,36.3,0.0,23.0,23.0
2021-06-20,FL,12085,25.1,25.1,38.9,0.0,25.1,25.1
2021-06-27,FL,12085,34.4,34.4,31.9,0.0,34.4,34.4
2021-07-04,FL,12085,41.4,41.4,36.9,0.0,41.4,41.4
2021-07-11,FL,12085,66.6,66.6,41.1,0.0,66.6,66.6
2021-07-18,FL,12085,100.1,100.1,46.6,0,101.0,100.1
2021-07-25,FL,12085,119.4,119.4,42.3,0.0,119.4,119.4
2021-08-01,FL,12085,137.3,137.3,43.7,0,137.4,137.3
2021-08-08,FL,12085,156.1,156.1,46.6,0.0,156.1,156.1
2021-08-15,FL,12085,188.4,188.4,49.4,0.0,188.4,188.4
2021-08-22,FL,12085,190.0,190.0,47.3,0.0,190.0,190.0
2021-08-29,FL,12085,172.6,172.6,45.7,0.0,172.6,172.6
2021-09-05,FL,12085,129.7,129.7,41.7,0.0,129.7,129.7
2021-09-12,FL,12085,117.1,117.1,34.7,0.0,117.1,117.1
2021-09-19,FL,12085,81.6,81.6,40.6,0.0,81.6,81.6
2021-09-26,FL,12085,55.1,55.1,39.7,0.0,55.1,55.1
2021-10-03,FL,12085,34.1,34.1,32.9,0.0,34.1,34.1
2021-10-10,FL,12085,19.3,19.3,34.3,0.0,19.3,19.3
2021-10-17,FL,12085,18.7,18.7,40.0,0.0,18.7,18.7
2021-10-24,FL,12085,20.1,20.1,31.4,0.0,20.1,20.1
2021-10-31,FL,12085,20.3,20.3,31.4,0.0,20.3,20.3
2021-11-07,FL,12085,10.9,10.9,37.3,0,11.1,10.9
2021-11-14,FL,12085,15.0,15.0,34.1,0.0,15.0,15.0
2021-11-21,FL,12085,6.0,6.0,32.6,0.0,6.0,6.0
2021-11-28,FL,12085,8.7,8.7,35.3,0.0,8.7,8.7
2021-12-05,FL,12085,9.0,9.0,35.0,0.0,9.0,9.0
2021-12-12,FL,12085,10.0,10.0,33.9,0.0,10.0,10.0
2021-12-19,FL,12085,13.0,13.0,27.3,0.0,13.0,13.0
2021-12-26,FL,12085,41.6,41.6,33.1,0.0,41.6,41.6
