collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,FL,12089,0,0,7.6,0,0,0.0
2020-08-09,FL,12089,4.6,4.6,6.3,0,6.7,4.6
2020-08-16,FL,12089,7.6,7.4,7.9,0,10.1,7.6
2020-08-23,FL,12089,6.9,6.9,6.6,0,8.6,6.9
2020-08-30,FL,12089,7.4,7.1,7.4,0,8.4,7.4
2020-09-06,FL,12089,4.6,4.6,5.9,0,5.6,4.6
2020-09-13,FL,12089,0,0,7.3,0,0,0.0
2020-09-20,FL,12089,0,0,6.0,0.0,0,0.0
2020-09-27,FL,12089,0,0,4.4,0.0,0,0.0
2020-10-04,FL,12089,0,0,7.1,0.0,0,0.0
2020-10-11,FL,12089,0,0,6.7,0.0,0,0.0
2020-10-18,FL,12089,0,0,7.0,0.0,0,0.0
2020-10-25,FL,12089,0,0,7.4,0.0,0,0.0
2020-11-01,FL,12089,0,0,5.9,0.0,0,0.0
2020-11-08,FL,12089,0,0,5.9,0.0,0,0.0
2020-11-15,FL,12089,0,0,7.1,0.0,0,0.0
2020-11-22,FL,12089,0,0,6.3,0.0,0,0.0
2020-11-29,FL,12089,4.1,0,6.7,0.0,4.1,4.1
2020-12-06,FL,12089,8.1,7.7,7.7,0.0,8.1,8.1
2020-12-13,FL,12089,9.6,9.3,7.7,0.0,9.6,9.6
2020-12-20,FL,12089,9.3,9.1,8.0,0.0,9.3,9.3
2020-12-27,FL,12089,13.9,13.3,7.9,0.0,13.9,13.9
2021-01-03,FL,12089,15.1,14.3,7.6,0.0,15.1,15.1
2021-01-10,FL,12089,11.7,11.6,7.6,0.0,11.7,11.7
2021-01-17,FL,12089,9.3,9.0,7.7,0.0,9.3,9.3
2021-01-24,FL,12089,7.7,7.3,7.7,0.0,7.7,7.7
2021-01-31,FL,12089,7.1,6.6,7.0,0.0,7.1,7.1
2021-02-07,FL,12089,8.1,8.1,7.6,0.0,8.1,8.1
2021-02-14,FL,12089,8.4,8.3,6.7,0.0,8.4,8.4
2021-02-21,FL,12089,6.4,6.4,7.4,0.0,6.4,6.4
2021-02-28,FL,12089,5.3,5.3,7.6,0.0,5.3,5.3
2021-03-07,FL,12089,5.0,4.9,6.9,0.0,5.0,5.0
2021-03-14,FL,12089,0,0,6.6,0.0,0,0.0
2021-03-21,FL,12089,0,0,5.3,0.0,0,0.0
2021-03-28,FL,12089,0,0,6.3,0.0,0,0.0
2021-04-04,FL,12089,0,0,6.4,0.0,0,0.0
2021-04-11,FL,12089,0,0,6.0,0.0,0,0.0
2021-04-18,FL,12089,0,0,6.6,0.0,0,0.0
2021-04-25,FL,12089,0,0,7.6,0.0,0,0.0
2021-05-02,FL,12089,0,0,7.4,0.0,0,0.0
2021-05-09,FL,12089,0,0,6.0,0.0,0,0.0
2021-05-16,FL,12089,0,0,5.4,0.0,0,0.0
2021-05-23,FL,12089,0,0,7.6,0.0,0,0.0
2021-05-30,FL,12089,0,0,6.4,0.0,0,0.0
2021-06-06,FL,12089,0,0,5.4,0.0,0,0.0
2021-06-13,FL,12089,0,0,6.9,0.0,0,0.0
2021-06-20,FL,12089,0,0,7.4,0.0,0,0.0
2021-06-27,FL,12089,0,0,7.4,0.0,0,0.0
2021-07-04,FL,12089,5.9,5.9,7.7,0.0,5.9,5.9
2021-07-11,FL,12089,12.4,12.0,8.0,0.0,12.4,12.4
2021-07-18,FL,12089,23.3,23.1,7.6,0.0,23.3,23.3
2021-07-25,FL,12089,31.6,31.1,7.6,0.0,31.6,31.6
2021-08-01,FL,12089,30.4,30.3,8.1,0.0,30.4,30.4
2021-08-08,FL,12089,32.9,32.7,8.0,0.0,32.9,32.9
2021-08-15,FL,12089,27.1,27.1,7.9,0.0,27.1,27.1
2021-08-22,FL,12089,22.6,22.4,8.0,0.0,22.6,22.6
2021-08-29,FL,12089,21.9,21.9,7.4,0.0,21.9,21.9
2021-09-05,FL,12089,20.7,20.7,7.3,0.0,20.7,20.7
2021-09-12,FL,12089,16.4,16.4,7.7,0.0,16.4,16.4
2021-09-19,FL,12089,11.1,11.1,6.9,0.0,11.1,11.1
2021-09-26,FL,12089,9.1,9.1,6.7,0.0,9.1,9.1
2021-10-03,FL,12089,5.3,5.3,6.7,0.0,5.3,5.3
2021-10-10,FL,12089,0,0,6.9,0.0,0,0.0
2021-10-17,FL,12089,0,0,5.6,0.0,0,0.0
2021-10-24,FL,12089,0,0,7.3,0.0,0,0.0
2021-10-31,FL,12089,0,0,4.7,0.0,0,0.0
2021-11-07,FL,12089,0,0,5.0,0.0,0,0.0
2021-11-14,FL,12089,0,0,0,0.0,0,0.0
2021-11-21,FL,12089,0,0,6.3,0.0,0,0.0
2021-11-28,FL,12089,0,0,6.6,0.0,0,0.0
2021-12-05,FL,12089,0,0,6.4,0.0,0,0.0
2021-12-12,FL,12089,0,0,5.7,0.0,0,0.0
2021-12-19,FL,12089,0,0,5.0,0.0,0,0.0
2021-12-26,FL,12089,0,0,4.7,0.0,0,0.0
