collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,FL,12091,49.7,44.0,50.7,0.0,49.900000000000006,49.7
2020-08-09,FL,12091,46.9,43.3,48.9,0.0,48.2,46.9
2020-08-16,FL,12091,36.3,32.3,43.1,0.0,36.7,36.3
2020-08-23,FL,12091,26.799999999999997,24.9,44.0,0.0,31.9,26.799999999999997
2020-08-30,FL,12091,29.8,28.5,49.900000000000006,0.0,31.6,29.8
2020-09-06,FL,12091,26.700000000000003,24.9,50.0,0.0,28.900000000000002,26.700000000000003
2020-09-13,FL,12091,20.0,15.5,51.7,0.0,20.7,20.0
2020-09-20,FL,12091,15.2,14.899999999999999,48.400000000000006,0.0,15.2,15.2
2020-09-27,FL,12091,14.9,13.600000000000001,55.8,0.0,14.9,14.9
2020-10-04,FL,12091,16.4,16.1,52.9,0.0,16.4,16.4
2020-10-11,FL,12091,13.3,12.3,47.7,0.0,13.7,13.3
2020-10-18,FL,12091,23.700000000000003,22.700000000000003,50.4,0.0,24.5,23.700000000000003
2020-10-25,FL,12091,27.6,21.4,48.599999999999994,0.0,27.6,27.6
2020-11-01,FL,12091,29.4,27.1,55.0,0.0,29.4,29.4
2020-11-08,FL,12091,39.3,37.6,50.5,0.0,39.3,39.3
2020-11-15,FL,12091,38.9,37.1,51.3,0.0,38.9,38.9
2020-11-22,FL,12091,41.900000000000006,39.900000000000006,48.9,0.0,42.400000000000006,41.900000000000006
2020-11-29,FL,12091,47.3,46.099999999999994,54.599999999999994,0.0,48.3,47.3
2020-12-06,FL,12091,50.4,49.7,53.4,0.0,51.4,50.4
2020-12-13,FL,12091,51.400000000000006,50.599999999999994,52.7,0.0,52.3,51.400000000000006
2020-12-20,FL,12091,47.9,45.800000000000004,54.8,0.0,47.9,47.9
2020-12-27,FL,12091,46.699999999999996,46.5,54.9,0.0,46.699999999999996,46.699999999999996
2021-01-03,FL,12091,57.099999999999994,56.4,54.8,0.0,57.099999999999994,57.099999999999994
2021-01-10,FL,12091,56.2,55.2,52.9,0.0,56.2,56.2
2021-01-17,FL,12091,45.6,44.4,50.1,0.0,45.6,45.6
2021-01-24,FL,12091,49.900000000000006,49.0,53.7,0.0,49.900000000000006,49.900000000000006
2021-01-31,FL,12091,48.8,48.599999999999994,52.2,0.0,48.8,48.8
2021-02-07,FL,12091,49.0,48.7,50.900000000000006,0.0,49.0,49.0
2021-02-14,FL,12091,30.3,29.4,47.2,0.0,30.3,30.3
2021-02-21,FL,12091,25.4,24.9,51.6,0.0,25.4,25.4
2021-02-28,FL,12091,23.700000000000003,23.5,52.4,0.0,23.700000000000003,23.700000000000003
2021-03-07,FL,12091,16.700000000000003,16.700000000000003,54.0,0.0,16.700000000000003,16.700000000000003
2021-03-14,FL,12091,6.1,6.1,50.9,0.0,6.1,6.1
2021-03-21,FL,12091,4.7,4.7,54.0,0.0,4.7,4.7
2021-03-28,FL,12091,5.7,5.3,48.8,0.0,5.7,5.7
2021-04-04,FL,12091,6.3,6.1,50.9,0.0,6.3,6.3
2021-04-11,FL,12091,7.0,6.7,47.5,0.0,7.0,7.0
2021-04-18,FL,12091,12.3,12.2,50.6,0.0,12.3,12.3
2021-04-25,FL,12091,13.8,13.0,48.8,0.0,13.8,13.8
2021-05-02,FL,12091,9.2,8.6,50.6,0.0,9.2,9.2
2021-05-09,FL,12091,10.7,10.2,51.0,0.0,10.7,10.7
2021-05-16,FL,12091,5.9,5.4,44.0,0.0,5.9,5.9
2021-05-23,FL,12091,5.7,5.7,48.6,0.0,5.7,5.7
2021-05-30,FL,12091,6.9,6.6,52.199999999999996,0.0,6.9,6.9
2021-06-06,FL,12091,5.4,5.1,49.0,0.0,5.4,5.4
