collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,FL,12093,18.1,11.1,7.6,0.0,18.1,18.1
2020-08-09,FL,12093,20.0,13.0,8.0,0.0,20.0,20.0
2020-08-16,FL,12093,16.0,10.4,7.4,0,16.1,16.0
2020-08-23,FL,12093,16.4,9.7,7.1,0,16.6,16.4
2020-08-30,FL,12093,16.1,7.7,6.4,0.0,16.1,16.1
2020-09-06,FL,12093,14.9,9.0,7.6,0.0,14.9,14.9
2020-09-13,FL,12093,14.6,14.4,8.0,0.0,14.6,14.6
2020-09-20,FL,12093,16.3,13.4,7.9,0.0,16.3,16.3
2020-09-27,FL,12093,12.4,9.7,7.3,0.0,12.4,12.4
2020-10-04,FL,12093,12.9,11.1,7.0,0.0,12.9,12.9
2020-10-11,FL,12093,11.4,9.4,6.6,0.0,11.4,11.4
2020-10-18,FL,12093,0,0,6.4,0.0,0,0.0
2020-10-25,FL,12093,4.1,0,5.1,0.0,4.1,4.1
2020-11-01,FL,12093,0,0,5.3,0.0,0,0.0
2020-11-08,FL,12093,4.9,4.0,7.7,0.0,4.9,4.9
2020-11-15,FL,12093,6.4,6.3,6.6,0.0,6.4,6.4
2020-11-22,FL,12093,10.9,8.9,7.3,0.0,10.9,10.9
2020-11-29,FL,12093,8.9,8.7,7.0,0.0,8.9,8.9
2020-12-06,FL,12093,6.6,6.1,7.6,0.0,6.6,6.6
2020-12-13,FL,12093,8.3,7.7,5.7,0.0,8.3,8.3
2020-12-20,FL,12093,8.9,8.6,6.1,0.0,8.9,8.9
2020-12-27,FL,12093,9.6,9.4,7.0,0.0,9.6,9.6
2021-01-03,FL,12093,19.6,18.9,7.9,0.0,19.6,19.6
2021-01-10,FL,12093,25.9,25.1,8.0,0.0,25.9,25.9
2021-01-17,FL,12093,21.6,21.0,8.0,0.0,21.6,21.6
2021-01-24,FL,12093,18.9,17.7,8.0,0.0,18.9,18.9
2021-01-31,FL,12093,13.1,12.9,7.4,0.0,13.1,13.1
2021-02-07,FL,12093,9.3,8.9,7.3,0.0,9.3,9.3
2021-02-14,FL,12093,9.9,9.3,7.7,0.0,9.9,9.9
2021-02-21,FL,12093,9.4,8.7,6.9,0.0,9.4,9.4
2021-02-28,FL,12093,5.1,5.0,7.1,0.0,5.1,5.1
2021-03-07,FL,12093,9.1,8.1,6.1,0.0,9.1,9.1
2021-03-14,FL,12093,6.3,5.0,6.1,0.0,6.3,6.3
2021-03-21,FL,12093,5.7,5.6,7.0,0.0,5.7,5.7
2021-03-28,FL,12093,0,0,5.7,0.0,0,0.0
2021-04-04,FL,12093,5.4,4.9,7.1,0.0,5.4,5.4
2021-04-11,FL,12093,6.1,5.9,5.7,0.0,6.1,6.1
2021-04-18,FL,12093,5.4,5.3,7.3,0.0,5.4,5.4
2021-04-25,FL,12093,0,0,5.9,0.0,0,0.0
2021-05-02,FL,12093,0,0,7.6,0.0,0,0.0
2021-05-09,FL,12093,0,0,7.0,0.0,0,0.0
2021-05-16,FL,12093,4.4,4.0,7.6,0.0,4.4,4.4
2021-05-23,FL,12093,5.0,4.9,7.9,0.0,5.0,5.0
2021-05-30,FL,12093,0,0,7.1,0.0,0,0.0
2021-06-06,FL,12093,0,0,6.0,0.0,0,0.0
2021-06-13,FL,12093,0,0,5.1,0.0,0,0.0
2021-06-20,FL,12093,0,0,0,0.0,0,0.0
2021-06-27,FL,12093,0,0,5.1,0.0,0,0.0
2021-07-04,FL,12093,0,0,6.7,0.0,0,0.0
2021-07-11,FL,12093,0,0,6.1,0.0,0,0.0
2021-07-18,FL,12093,6.0,5.6,7.3,0.0,6.0,6.0
2021-07-25,FL,12093,9.6,9.4,7.3,0.0,9.6,9.6
2021-08-01,FL,12093,17.6,17.4,8.9,0.0,17.6,17.6
2021-08-08,FL,12093,27.9,26.9,10.4,0.0,27.9,27.9
2021-08-15,FL,12093,37.3,36.7,12.1,0.0,37.3,37.3
2021-08-22,FL,12093,37.4,37.3,13.6,0.0,37.4,37.4
2021-08-29,FL,12093,37.7,37.3,13.9,0.0,37.7,37.7
2021-09-05,FL,12093,38.0,37.3,14.1,0.0,38.0,38.0
2021-09-12,FL,12093,28.3,28.1,12.3,0.0,28.3,28.3
2021-09-19,FL,12093,24.3,23.7,10.0,0.0,24.3,24.3
2021-09-26,FL,12093,16.9,16.7,7.9,0.0,16.9,16.9
2021-10-03,FL,12093,9.4,9.3,6.0,0.0,9.4,9.4
2021-10-10,FL,12093,8.0,7.6,8.3,0.0,8.0,8.0
2021-10-17,FL,12093,5.1,4.7,7.6,0.0,5.1,5.1
2021-10-24,FL,12093,0,0,7.3,0.0,0,0.0
2021-10-31,FL,12093,0,0,5.6,0.0,0,0.0
2021-11-07,FL,12093,0,0,4.3,0.0,0,0.0
2021-11-14,FL,12093,0,0,4.7,0.0,0,0.0
2021-11-21,FL,12093,0,0,6.4,0.0,0,0.0
2021-11-28,FL,12093,0,0,5.4,0.0,0,0.0
2021-12-05,FL,12093,0,0,6.7,0.0,0,0.0
2021-12-12,FL,12093,0,0,6.6,0.0,0,0.0
2021-12-19,FL,12093,0,0,5.6,0.0,0,0.0
2021-12-26,FL,12093,0,0,6.4,0.0,0,0.0
