collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,FL,12095,673.9000000000001,626.8,284.20000000000005,84.9,758.7,758.8000000000001
2020-08-09,FL,12095,537.3,498.0,264.3,69.7,607.0,607.0
2020-08-16,FL,12095,433.6,404.30000000000007,286.4,59.7,493.30000000000007,493.3
2020-08-23,FL,12095,396.2,361.4,280.0,49.0,445.20000000000005,445.2
2020-08-30,FL,12095,309.5,270.2,254.0,49.4,359.0,358.9
2020-09-06,FL,12095,283.6,239.39999999999998,267.9,52.1,335.8,335.70000000000005
2020-09-13,FL,12095,243.0,199.1,280.40000000000003,30.4,273.4,273.4
2020-09-20,FL,12095,185.0,177.3,312.3,0.0,187.10000000000002,185.0
2020-09-27,FL,12095,192.20000000000002,185.3,332.9,0.0,192.9,192.20000000000002
2020-10-04,FL,12095,211.0,203.8,325.79999999999995,0.0,213.0,211.0
2020-10-11,FL,12095,222.6,217.1,340.4,0.0,224.0,222.6
2020-10-18,FL,12095,205.5,199.7,332.3,0.0,208.9,205.5
2020-10-25,FL,12095,270.0,229.2,337.5,4.3,276.2,274.3
2020-11-01,FL,12095,317.7,247.8,344.4,5.3,324.4,323.0
2020-11-08,FL,12095,328.90000000000003,242.8,358.1,0.0,335.3,328.90000000000003
2020-11-15,FL,12095,342.5,269.4,341.6,0.0,346.20000000000005,342.5
2020-11-22,FL,12095,325.8,260.4,332.0,0.0,330.4,325.8
2020-11-29,FL,12095,360.0,291.4,332.4,4.4,367.4,364.4
2020-12-06,FL,12095,392.9,321.7,353.1,6.7,403.5,399.59999999999997
2020-12-13,FL,12095,459.70000000000005,379.70000000000005,353.0,5.3,466.9,465.00000000000006
2020-12-20,FL,12095,503.79999999999995,432.69999999999993,353.4,4.3,510.70000000000005,508.09999999999997
2020-12-27,FL,12095,573.9000000000001,489.9,358.1,4.1,580.3000000000001,578.0000000000001
2021-01-03,FL,12095,701.0,609.4,383.1,6.6,708.7,707.6
2021-01-10,FL,12095,683.6,612.2,382.0,4.3,689.6,687.9
2021-01-17,FL,12095,636.9,573.1,381.20000000000005,6.7,644.9,643.6
2021-01-24,FL,12095,580.8000000000001,513.6,386.4,7.1,591.4000000000001,587.9000000000001
2021-01-31,FL,12095,480.40000000000003,409.5,390.99999999999994,5.4,488.4,485.8
2021-02-07,FL,12095,403.79999999999995,348.79999999999995,376.0,4.4,411.59999999999997,408.19999999999993
2021-02-14,FL,12095,394.2,348.4,373.20000000000005,5.3,402.4,399.5
2021-02-21,FL,12095,355.6,305.3,369.20000000000005,0.0,361.29999999999995,355.6
2021-02-28,FL,12095,303.20000000000005,253.7,368.0,0.0,306.8,303.20000000000005
2021-03-07,FL,12095,288.29999999999995,236.0,372.69999999999993,0.0,293.29999999999995,288.29999999999995
2021-03-14,FL,12095,266.3,204.4,374.29999999999995,5.1,273.79999999999995,271.40000000000003
2021-03-21,FL,12095,272.8,213.89999999999998,374.1,6.0,280.0,278.8
2021-03-28,FL,12095,283.4,225.70000000000002,367.4,4.3,288.0,287.7
2021-04-04,FL,12095,288.90000000000003,232.1,361.19999999999993,0.0,292.8,288.90000000000003
2021-04-11,FL,12095,333.5,276.2,366.6,0.0,339.1,333.5
2021-04-18,FL,12095,399.40000000000003,322.90000000000003,388.7,4.6,405.40000000000003,404.00000000000006
2021-04-25,FL,12095,372.2,321.5,388.9,5.0,379.8,377.2
2021-05-02,FL,12095,395.6,286.0,392.9,0.0,402.20000000000005,395.6
2021-05-09,FL,12095,363.8,250.90000000000003,372.30000000000007,4.3,369.79999999999995,368.1
2021-05-16,FL,12095,295.4,202.5,379.5,0.0,301.8,295.4
2021-05-23,FL,12095,233.39999999999998,186.3,355.3,0.0,239.0,233.39999999999998
2021-05-30,FL,12095,228.0,182.3,350.20000000000005,0.0,232.99999999999997,228.0
2021-06-06,FL,12095,192.7,152.5,358.49999999999994,4.9,199.6,197.6
2021-06-13,FL,12095,173.9,129.70000000000002,363.5,0.0,177.7,173.9
2021-06-20,FL,12095,166.9,128.6,366.0,0.0,171.70000000000002,166.9
2021-06-27,FL,12095,222.39999999999998,174.6,360.59999999999997,0.0,225.2,222.39999999999998
2021-07-04,FL,12095,260.9,213.7,380.20000000000005,0.0,264.5,260.9
2021-07-11,FL,12095,365.5,318.5,393.79999999999995,0.0,370.3,365.5
2021-07-18,FL,12095,611.1,560.0,413.9,12.2,623.2,623.3000000000001
2021-07-25,FL,12095,920.5,860.1999999999999,433.0,14.4,935.0,934.9
2021-08-01,FL,12095,1150.6000000000001,1094.1000000000001,435.3,21.2,1171.7,1171.8000000000002
2021-08-08,FL,12095,1365.1,1303.7,460.49999999999994,28.5,1393.5,1393.6
2021-08-15,FL,12095,1444.5,1383.8999999999999,481.7,37.1,1481.7,1481.6
2021-08-22,FL,12095,1377.1,1316.0,537.1,43.7,1421.4,1420.8
2021-08-29,FL,12095,1175.0,1123.6000000000001,524.8000000000001,43.8,1218.8,1218.8
2021-09-05,FL,12095,972.2,918.0,489.2,41.099999999999994,1014.3,1013.3000000000001
2021-09-12,FL,12095,772.1,718.6999999999999,449.20000000000005,34.5,807.7,806.6
2021-09-19,FL,12095,610.7,553.6999999999999,440.5999999999999,29.299999999999997,641.0,640.0
2021-09-26,FL,12095,465.00000000000006,416.0,434.0,21.3,486.2,486.30000000000007
2021-10-03,FL,12095,352.0,296.40000000000003,420.5,12.100000000000001,364.09999999999997,364.1
2021-10-10,FL,12095,290.0,238.6,392.2,6.4,299.7,296.4
2021-10-17,FL,12095,232.1,181.39999999999998,394.69999999999993,0.0,239.39999999999998,232.1
2021-10-24,FL,12095,202.10000000000002,154.29999999999998,392.4,4.9,209.90000000000003,207.00000000000003
2021-10-31,FL,12095,167.4,120.80000000000001,367.40000000000003,0.0,174.8,167.4
2021-11-07,FL,12095,150.7,100.6,374.50000000000006,0.0,156.4,150.7
2021-11-14,FL,12095,143.1,96.5,382.70000000000005,0.0,149.4,143.1
2021-11-21,FL,12095,137.4,97.6,371.49999999999994,0.0,142.29999999999998,137.4
2021-11-28,FL,12095,167.2,113.8,389.4,4.1,172.7,171.29999999999998
2021-12-05,FL,12095,174.49999999999997,117.39999999999999,393.5,4.4,179.99999999999997,178.89999999999998
2021-12-12,FL,12095,170.1,114.69999999999999,383.3,0.0,175.9,170.1
2021-12-19,FL,12095,178.0,120.9,349.4,6.0,186.29999999999998,184.0
2021-12-26,FL,12095,421.20000000000005,345.6,344.1,23.1,444.2,444.30000000000007
