collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,FL,12097,113.6,90.69999999999999,46.3,0.0,113.6,113.6
2020-08-09,FL,12097,85.9,70.30000000000001,41.599999999999994,0.0,86.2,85.9
2020-08-16,FL,12097,70.0,45.699999999999996,38.7,0.0,70.2,70.0
2020-08-23,FL,12097,56.7,41.0,38.1,0.0,57.0,56.7
2020-08-30,FL,12097,46.300000000000004,32.900000000000006,40.6,0.0,46.6,46.300000000000004
2020-09-06,FL,12097,32.8,14.399999999999999,42.9,0.0,33.1,32.8
2020-09-13,FL,12097,26.6,8.7,43.5,0.0,26.7,26.6
2020-09-20,FL,12097,30.1,21.200000000000003,43.2,0.0,30.4,30.1
2020-09-27,FL,12097,44.699999999999996,33.9,48.9,0.0,44.8,44.699999999999996
2020-10-04,FL,12097,45.3,34.6,53.6,0.0,45.3,45.3
2020-10-11,FL,12097,50.6,36.0,44.3,0.0,50.6,50.6
2020-10-18,FL,12097,48.9,40.9,45.800000000000004,0.0,49.0,48.9
2020-10-25,FL,12097,47.1,35.7,45.3,0.0,47.1,47.1
2020-11-01,FL,12097,46.699999999999996,26.9,45.7,0.0,46.699999999999996,46.699999999999996
2020-11-08,FL,12097,50.0,30.5,41.900000000000006,0.0,50.0,50.0
2020-11-15,FL,12097,52.7,36.3,46.3,0.0,52.7,52.7
2020-11-22,FL,12097,64.6,44.0,45.3,0.0,65.0,64.6
2020-11-29,FL,12097,77.4,54.7,43.099999999999994,0.0,77.7,77.4
2020-12-06,FL,12097,69.4,46.0,44.900000000000006,0.0,69.80000000000001,69.4
2020-12-13,FL,12097,87.7,64.7,42.7,0.0,87.7,87.7
2020-12-20,FL,12097,90.7,67.60000000000001,55.800000000000004,0.0,91.1,90.7
2020-12-27,FL,12097,95.80000000000001,72.9,48.9,0.0,95.80000000000001,95.80000000000001
2021-01-03,FL,12097,114.7,93.89999999999999,58.4,0.0,114.7,114.7
2021-01-10,FL,12097,104.9,84.69999999999999,52.4,0.0,104.9,104.9
2021-01-17,FL,12097,110.9,95.0,59.6,0.0,110.9,110.9
2021-01-24,FL,12097,115.9,101.7,58.6,0.0,115.9,115.9
2021-01-31,FL,12097,108.2,89.6,55.4,0.0,108.3,108.2
2021-02-07,FL,12097,99.6,79.8,53.7,0.0,99.6,99.6
2021-02-14,FL,12097,84.0,71.0,54.699999999999996,0.0,84.0,84.0
2021-02-21,FL,12097,60.099999999999994,51.9,53.1,0.0,60.099999999999994,60.099999999999994
2021-02-28,FL,12097,56.3,46.599999999999994,51.7,0.0,56.3,56.3
2021-03-07,FL,12097,53.800000000000004,39.4,50.8,0.0,53.800000000000004,53.800000000000004
2021-03-14,FL,12097,42.5,35.2,48.3,0.0,43.1,42.5
2021-03-21,FL,12097,30.3,25.2,48.7,0.0,30.3,30.3
2021-03-28,FL,12097,43.6,38.699999999999996,50.3,0.0,43.9,43.6
2021-04-04,FL,12097,42.3,38.6,55.8,0.0,42.699999999999996,42.3
2021-04-11,FL,12097,55.50000000000001,47.300000000000004,59.5,0.0,55.50000000000001,55.50000000000001
2021-04-18,FL,12097,59.800000000000004,53.3,56.400000000000006,0.0,59.800000000000004,59.800000000000004
2021-04-25,FL,12097,48.900000000000006,45.1,56.0,0.0,49.0,48.900000000000006
2021-05-02,FL,12097,50.699999999999996,46.4,53.4,0.0,50.699999999999996,50.699999999999996
2021-05-09,FL,12097,42.7,37.8,52.699999999999996,0.0,42.7,42.7
2021-05-16,FL,12097,39.0,33.9,55.5,0.0,39.0,39.0
2021-05-23,FL,12097,32.800000000000004,29.5,49.1,0.0,33.300000000000004,32.800000000000004
2021-05-30,FL,12097,26.6,23.6,51.400000000000006,0.0,26.6,26.6
2021-06-06,FL,12097,27.0,24.6,48.5,0.0,27.0,27.0
2021-06-13,FL,12097,34.9,31.4,49.7,0.0,34.9,34.9
2021-06-20,FL,12097,38.6,30.4,52.6,0.0,38.6,38.6
2021-06-27,FL,12097,37.7,30.200000000000003,54.7,0.0,37.7,37.7
2021-07-04,FL,12097,36.3,28.4,54.8,0.0,36.599999999999994,36.3
2021-07-11,FL,12097,51.00000000000001,43.3,59.300000000000004,0.0,51.300000000000004,51.00000000000001
2021-07-18,FL,12097,79.9,70.4,63.5,0.0,79.9,79.9
2021-07-25,FL,12097,112.29999999999998,98.80000000000001,68.89999999999999,0.0,112.29999999999998,112.29999999999998
2021-08-01,FL,12097,165.0,152.6,70.0,0.0,165.0,165.0
2021-08-08,FL,12097,213.4,200.20000000000002,74.7,0.0,213.4,213.4
2021-08-15,FL,12097,223.4,207.8,78.5,0.0,223.4,223.4
2021-08-22,FL,12097,217.1,207.2,82.6,0.0,217.29999999999998,217.1
2021-08-29,FL,12097,222.10000000000002,211.4,87.7,0.0,222.10000000000002,222.10000000000002
2021-09-05,FL,12097,197.89999999999998,188.70000000000002,85.6,0.0,197.89999999999998,197.89999999999998
2021-09-12,FL,12097,152.79999999999998,144.4,75.60000000000001,0.0,152.79999999999998,152.79999999999998
2021-09-19,FL,12097,127.7,119.29999999999998,76.69999999999999,0.0,127.7,127.7
2021-09-26,FL,12097,86.69999999999999,80.89999999999999,72.10000000000001,0.0,86.69999999999999,86.69999999999999
2021-10-03,FL,12097,63.3,55.6,57.8,0.0,63.3,63.3
2021-10-10,FL,12097,49.9,42.0,56.5,0.0,49.9,49.9
2021-10-17,FL,12097,44.7,39.400000000000006,57.0,0.0,44.7,44.7
2021-10-24,FL,12097,43.5,37.6,54.0,0.0,43.5,43.5
2021-10-31,FL,12097,23.5,10.6,50.3,0.0,23.5,23.5
2021-11-07,FL,12097,16.3,7.4,43.0,0.0,16.3,16.3
2021-11-14,FL,12097,24.700000000000003,14.100000000000001,47.5,0.0,24.700000000000003,24.700000000000003
2021-11-21,FL,12097,24.199999999999996,15.5,52.0,0.0,24.199999999999996,24.199999999999996
2021-11-28,FL,12097,25.299999999999997,16.4,55.0,0.0,25.299999999999997,25.299999999999997
2021-12-05,FL,12097,21.3,17.9,50.699999999999996,0.0,21.3,21.3
2021-12-12,FL,12097,22.799999999999997,16.1,51.1,0.0,22.799999999999997,22.799999999999997
2021-12-19,FL,12097,21.8,13.3,40.5,0.0,21.8,21.8
2021-12-26,FL,12097,48.0,39.5,42.1,0.0,48.0,48.0
