collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,FL,12103,359.7,322.49999999999994,238.0,37.4,398.7,397.09999999999997
2020-08-09,FL,12103,309.49999999999994,269.5,243.2,38.900000000000006,346.00000000000006,348.4
2020-08-16,FL,12103,226.0,200.79999999999998,239.69999999999996,68.5,294.3,294.5
2020-08-23,FL,12103,166.8,143.70000000000002,234.1,60.7,231.2,227.5
2020-08-30,FL,12103,162.7,139.20000000000002,233.1,52.7,217.09999999999997,215.39999999999998
2020-09-06,FL,12103,149.5,129.79999999999998,227.6,32.8,187.9,182.3
2020-09-13,FL,12103,115.30000000000001,95.5,223.10000000000005,16.8,139.4,132.10000000000002
2020-09-20,FL,12103,107.70000000000002,93.39999999999999,222.79999999999995,0.0,107.70000000000002,107.70000000000002
2020-09-27,FL,12103,105.60000000000002,90.8,220.59999999999997,0.0,105.60000000000002,105.60000000000002
2020-10-04,FL,12103,116.30000000000001,96.1,227.1,0.0,116.30000000000001,116.30000000000001
2020-10-11,FL,12103,126.9,107.0,236.79999999999998,0.0,126.9,126.9
2020-10-18,FL,12103,129.3,112.2,243.99999999999997,0.0,129.3,129.3
2020-10-25,FL,12103,167.5,122.49999999999999,231.0,0.0,167.5,167.5
2020-11-01,FL,12103,208.29999999999998,134.4,252.8,0.0,208.29999999999998,208.29999999999998
2020-11-08,FL,12103,227.8,160.9,260.29999999999995,0.0,227.8,227.8
2020-11-15,FL,12103,213.60000000000002,158.29999999999998,257.6,0.0,213.60000000000002,213.60000000000002
2020-11-22,FL,12103,210.5,167.2,260.8,0.0,210.5,210.5
2020-11-29,FL,12103,224.29999999999998,189.5,270.1,0.0,224.29999999999998,224.29999999999998
2020-12-06,FL,12103,234.7,201.40000000000003,275.4,0.0,234.7,234.7
2020-12-13,FL,12103,268.79999999999995,223.5,272.8,0.0,268.79999999999995,268.79999999999995
2020-12-20,FL,12103,285.0,250.59999999999997,268.50000000000006,0.0,285.6,285.0
2020-12-27,FL,12103,346.4,297.40000000000003,280.0,4.3,352.1,350.7
2021-01-03,FL,12103,397.3,338.9,294.2,5.6,403.90000000000003,402.90000000000003
2021-01-10,FL,12103,409.0,365.2,290.3,4.1,415.20000000000005,413.1
2021-01-17,FL,12103,379.4000000000001,337.9,286.7,0.0,380.6000000000001,379.4000000000001
2021-01-24,FL,12103,365.5,325.09999999999997,280.49999999999994,4.7,370.80000000000007,370.2
2021-01-31,FL,12103,323.4,285.40000000000003,280.1,4.3,329.9,327.7
2021-02-07,FL,12103,275.59999999999997,239.09999999999997,262.4,0.0,276.09999999999997,275.59999999999997
2021-02-14,FL,12103,272.4,235.20000000000002,261.3,0.0,273.6,272.4
2021-02-21,FL,12103,241.19999999999996,208.90000000000003,249.2,0.0,242.19999999999996,241.19999999999996
2021-02-28,FL,12103,211.1,179.9,259.59999999999997,0.0,211.8,211.1
2021-03-07,FL,12103,179.7,157.9,252.6,0.0,180.7,179.7
2021-03-14,FL,12103,189.5,170.49999999999997,256.50000000000006,0.0,190.7,189.5
2021-03-21,FL,12103,187.29999999999998,160.99999999999997,247.4,0.0,187.79999999999998,187.29999999999998
2021-03-28,FL,12103,177.20000000000002,155.29999999999998,246.7,0.0,177.80000000000004,177.20000000000002
2021-04-04,FL,12103,194.99999999999997,170.1,262.5,0.0,194.99999999999997,194.99999999999997
2021-04-11,FL,12103,203.7,178.10000000000002,257.5,0.0,207.6,203.7
2021-04-18,FL,12103,203.29999999999995,186.70000000000002,250.59999999999997,0.0,205.29999999999995,203.29999999999995
2021-04-25,FL,12103,190.20000000000005,172.7,247.20000000000002,0.0,190.80000000000004,190.20000000000005
2021-05-02,FL,12103,167.4,154.9,248.0,0.0,168.0,167.4
2021-05-09,FL,12103,160.89999999999998,144.10000000000002,242.5,5.0,166.09999999999997,165.89999999999998
2021-05-16,FL,12103,149.10000000000002,133.7,248.79999999999998,5.0,154.20000000000002,154.10000000000002
2021-05-23,FL,12103,125.9,114.3,245.0,0.0,125.9,125.9
2021-05-30,FL,12103,113.3,96.60000000000001,237.99999999999997,0.0,113.39999999999999,113.3
2021-06-06,FL,12103,92.70000000000002,81.1,242.9,0.0,92.80000000000001,92.70000000000002
2021-06-13,FL,12103,109.80000000000001,96.4,245.2,0.0,110.70000000000002,109.80000000000001
2021-06-20,FL,12103,84.9,74.3,232.5,0.0,86.5,84.9
2021-06-27,FL,12103,85.6,76.5,245.50000000000003,0.0,86.30000000000001,85.6
2021-07-04,FL,12103,83.3,71.1,239.40000000000003,0.0,84.1,83.3
2021-07-11,FL,12103,111.2,95.9,248.29999999999998,0.0,112.00000000000001,111.2
2021-07-18,FL,12103,185.50000000000003,171.99999999999997,249.30000000000004,4.3,190.90000000000003,189.80000000000004
2021-07-25,FL,12103,324.49999999999994,302.69999999999993,264.9,8.4,334.09999999999997,332.8999999999999
2021-08-01,FL,12103,491.90000000000003,464.3,271.6,11.6,504.7000000000001,503.50000000000006
