collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,FL,12115,112.5,99.60000000000001,72.6,0.0,117.89999999999999,112.5
2020-08-09,FL,12115,90.69999999999999,82.0,71.89999999999999,0.0,97.1,90.69999999999999
2020-08-16,FL,12115,88.89999999999998,81.6,75.60000000000001,0.0,92.89999999999998,88.89999999999998
2020-08-23,FL,12115,61.0,52.6,68.3,0.0,65.89999999999999,61.0
2020-08-30,FL,12115,49.099999999999994,43.4,63.3,0.0,52.400000000000006,49.099999999999994
2020-09-06,FL,12115,51.300000000000004,43.2,75.1,0.0,55.2,51.300000000000004
2020-09-13,FL,12115,39.4,30.7,67.4,0.0,43.1,39.4
2020-09-20,FL,12115,39.900000000000006,34.7,69.1,0.0,39.900000000000006,39.900000000000006
2020-09-27,FL,12115,32.2,27.8,67.7,0.0,32.8,32.2
2020-10-04,FL,12115,33.099999999999994,29.099999999999998,56.4,0.0,33.3,33.099999999999994
2020-10-11,FL,12115,18.1,17.0,26.5,0.0,18.2,18.1
2020-10-18,FL,12115,41.099999999999994,38.6,55.99999999999999,0.0,41.099999999999994,41.099999999999994
2020-10-25,FL,12115,47.49999999999999,46.0,74.2,0.0,47.49999999999999,47.49999999999999
2020-11-01,FL,12115,60.699999999999996,58.5,71.5,0.0,61.0,60.699999999999996
2020-11-08,FL,12115,78.4,77.1,76.7,0.0,79.10000000000001,78.4
2020-11-15,FL,12115,101.4,99.1,80.4,0.0,101.4,101.4
2020-11-22,FL,12115,110.4,108.3,81.10000000000001,0.0,110.4,110.4
2020-11-29,FL,12115,131.4,128.9,84.4,0.0,131.4,131.4
2020-12-06,FL,12115,121.19999999999999,119.49999999999999,86.29999999999998,0.0,121.19999999999999,121.19999999999999
2020-12-13,FL,12115,125.89999999999999,121.79999999999998,84.4,0.0,125.89999999999999,125.89999999999999
2020-12-20,FL,12115,121.1,119.8,78.60000000000001,0.0,121.1,121.1
2020-12-27,FL,12115,134.89999999999998,132.2,75.5,0.0,134.89999999999998,134.89999999999998
2021-01-03,FL,12115,148.79999999999998,146.29999999999998,80.2,0.0,149.0,148.79999999999998
2021-01-10,FL,12115,140.5,137.70000000000002,82.60000000000001,0.0,141.1,140.5
2021-01-17,FL,12115,145.5,142.5,85.1,0.0,145.7,145.5
2021-01-24,FL,12115,123.5,121.0,82.9,0.0,123.5,123.5
2021-01-31,FL,12115,99.4,97.1,90.1,0.0,99.4,99.4
2021-02-07,FL,12115,80.39999999999999,78.7,88.5,0.0,80.39999999999999,80.39999999999999
2021-02-14,FL,12115,70.10000000000001,68.6,84.1,0.0,71.3,70.10000000000001
2021-02-21,FL,12115,69.1,67.1,85.3,0.0,69.9,69.1
2021-02-28,FL,12115,68.30000000000001,67.1,91.89999999999999,0.0,68.30000000000001,68.30000000000001
2021-03-07,FL,12115,60.1,58.4,83.2,0.0,60.1,60.1
2021-03-14,FL,12115,55.0,52.800000000000004,71.3,0.0,55.0,55.0
2021-03-21,FL,12115,54.89999999999999,53.39999999999999,69.60000000000001,0.0,55.3,54.89999999999999
2021-03-28,FL,12115,42.3,41.0,69.0,0.0,42.3,42.3
2021-04-04,FL,12115,51.7,49.599999999999994,73.9,0.0,52.00000000000001,51.7
2021-04-11,FL,12115,60.3,59.1,77.10000000000001,0.0,60.3,60.3
2021-04-18,FL,12115,61.6,60.599999999999994,78.10000000000001,0.0,61.6,61.6
2021-04-25,FL,12115,57.400000000000006,52.900000000000006,84.19999999999999,0.0,57.7,57.400000000000006
2021-05-02,FL,12115,40.900000000000006,39.0,79.9,0.0,40.900000000000006,40.900000000000006
2021-05-09,FL,12115,33.8,32.0,68.2,0.0,34.1,33.8
2021-05-16,FL,12115,27.0,26.4,67.3,0.0,27.7,27.0
2021-05-23,FL,12115,35.8,34.8,67.4,0.0,36.9,35.8
2021-05-30,FL,12115,30.4,29.0,61.2,0.0,31.300000000000004,30.4
2021-06-06,FL,12115,19.0,18.4,59.599999999999994,0.0,19.0,19.0
2021-06-13,FL,12115,6.6,6.4,58.4,0.0,6.6,6.6
2021-06-20,FL,12115,10.4,10.0,54.400000000000006,0.0,10.4,10.4
2021-06-27,FL,12115,18.6,17.4,55.7,0.0,18.6,18.6
2021-07-04,FL,12115,19.9,19.7,59.50000000000001,0.0,19.9,19.9
2021-07-11,FL,12115,32.800000000000004,31.4,66.19999999999999,0.0,32.800000000000004,32.800000000000004
2021-07-18,FL,12115,60.6,59.3,63.0,0.0,60.6,60.6
2021-07-25,FL,12115,123.7,122.5,67.4,0.0,124.0,123.7
2021-08-01,FL,12115,197.4,193.8,67.8,0.0,198.6,197.4
2021-08-08,FL,12115,290.79999999999995,287.5,70.3,0.0,292.2,290.79999999999995
2021-08-15,FL,12115,366.49999999999994,363.20000000000005,78.8,0.0,367.09999999999997,366.49999999999994
2021-08-22,FL,12115,402.40000000000003,399.3,127.6,0.0,404.40000000000003,402.40000000000003
2021-08-29,FL,12115,367.5,363.4,141.4,0.0,370.0,367.5
2021-09-05,FL,12115,310.1,306.90000000000003,137.0,0.0,311.8,310.1
2021-09-12,FL,12115,259.3,257.6,123.10000000000001,0.0,260.3,259.3
2021-09-19,FL,12115,220.3,218.2,112.5,0.0,220.4,220.3
2021-09-26,FL,12115,159.5,157.70000000000002,117.6,0.0,159.8,159.5
2021-10-03,FL,12115,112.7,111.0,101.89999999999999,0.0,113.6,112.7
2021-10-10,FL,12115,83.1,82.3,98.69999999999999,0.0,83.1,83.1
2021-10-17,FL,12115,62.8,62.599999999999994,84.19999999999999,0.0,63.199999999999996,62.8
2021-10-24,FL,12115,34.9,34.199999999999996,77.1,0.0,35.6,34.9
2021-10-31,FL,12115,27.1,27.1,73.3,0.0,27.1,27.1
2021-11-07,FL,12115,21.7,21.7,70.1,0.0,21.7,21.7
2021-11-14,FL,12115,16.6,16.6,60.800000000000004,0.0,16.7,16.6
2021-11-21,FL,12115,15.7,15.6,56.89999999999999,0.0,15.9,15.7
2021-11-28,FL,12115,14.7,14.7,60.9,0.0,15.0,14.7
2021-12-05,FL,12115,16.3,16.1,80.80000000000001,0.0,17.0,16.3
2021-12-12,FL,12115,23.0,23.0,82.20000000000002,0.0,24.0,23.0
2021-12-19,FL,12115,34.5,34.2,89.8,0.0,34.9,34.5
2021-12-26,FL,12115,68.7,67.3,80.30000000000001,0.0,69.0,68.7
