collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,FL,12117,32.7,25.599999999999998,36.3,0.0,32.7,32.7
2020-08-09,FL,12117,28.7,22.700000000000003,33.9,0.0,28.7,28.7
2020-08-16,FL,12117,22.7,15.9,32.300000000000004,0.0,22.7,22.7
2020-08-23,FL,12117,28.0,21.2,33.3,0.0,28.0,28.0
2020-08-30,FL,12117,24.3,12.7,30.6,0.0,24.3,24.3
2020-09-06,FL,12117,16.7,10.7,30.2,0.0,16.7,16.7
2020-09-13,FL,12117,12.4,9.1,32.4,0.0,12.4,12.4
2020-09-20,FL,12117,19.3,13.8,35.3,0.0,19.3,19.3
2020-09-27,FL,12117,19.799999999999997,11.1,37.3,0.0,19.799999999999997,19.799999999999997
2020-10-04,FL,12117,12.3,8.3,34.0,0.0,12.3,12.3
2020-10-11,FL,12117,14.1,5.6,31.5,0.0,14.1,14.1
2020-10-18,FL,12117,13.5,5.4,32.2,0.0,13.5,13.5
2020-10-25,FL,12117,18.3,10.2,32.0,0.0,18.3,18.3
2020-11-01,FL,12117,17.9,11.6,28.9,0.0,17.9,17.9
2020-11-08,FL,12117,19.200000000000003,15.0,35.2,0.0,19.200000000000003,19.200000000000003
2020-11-15,FL,12117,21.0,14.7,35.6,0.0,21.0,21.0
2020-11-22,FL,12117,21.0,16.200000000000003,36.8,0.0,21.0,21.0
2020-11-29,FL,12117,23.4,20.1,37.5,0.0,23.4,23.4
2020-12-06,FL,12117,22.3,16.1,33.3,0.0,22.5,22.3
2020-12-13,FL,12117,23.5,20.0,37.900000000000006,0.0,23.5,23.5
2020-12-20,FL,12117,27.5,24.700000000000003,37.1,0.0,27.5,27.5
2020-12-27,FL,12117,33.1,28.5,40.5,0.0,33.1,33.1
2021-01-03,FL,12117,41.0,36.4,41.5,0.0,41.0,41.0
2021-01-10,FL,12117,46.9,43.1,41.0,0.0,46.9,46.9
2021-01-17,FL,12117,36.5,31.6,36.1,0.0,36.5,36.5
2021-01-24,FL,12117,34.9,31.6,34.3,0.0,34.9,34.9
2021-01-31,FL,12117,34.2,31.200000000000003,37.0,0.0,34.2,34.2
2021-02-07,FL,12117,29.1,24.400000000000002,36.6,0.0,29.1,29.1
2021-02-14,FL,12117,30.099999999999998,24.6,36.4,0.0,30.099999999999998,30.099999999999998
2021-02-21,FL,12117,26.200000000000003,22.799999999999997,35.0,0.0,26.200000000000003,26.200000000000003
2021-02-28,FL,12117,25.1,22.4,29.4,0.0,25.1,25.1
2021-03-07,FL,12117,30.0,27.0,32.4,0.0,30.0,30.0
2021-03-14,FL,12117,25.1,21.8,31.0,0.0,25.1,25.1
2021-03-21,FL,12117,20.7,13.7,30.9,0.0,20.7,20.7
2021-03-28,FL,12117,21.200000000000003,16.4,31.9,0.0,21.200000000000003,21.200000000000003
2021-04-04,FL,12117,27.099999999999998,23.9,36.6,0.0,27.099999999999998,27.099999999999998
2021-04-11,FL,12117,28.0,25.4,31.7,0.0,28.0,28.0
2021-04-18,FL,12117,23.4,21.1,33.0,0.0,23.4,23.4
2021-04-25,FL,12117,22.3,20.9,34.900000000000006,0.0,22.7,22.3
2021-05-02,FL,12117,18.8,17.2,40.1,0.0,18.8,18.8
2021-05-09,FL,12117,24.700000000000003,22.5,39.4,0.0,24.8,24.700000000000003
2021-05-16,FL,12117,26.0,24.0,39.2,0.0,26.0,26.0
2021-05-23,FL,12117,18.7,13.1,33.7,0.0,19.0,18.7
2021-05-30,FL,12117,19.0,16.299999999999997,33.300000000000004,0.0,19.0,19.0
2021-06-06,FL,12117,14.2,12.3,34.5,0.0,14.2,14.2
2021-06-13,FL,12117,16.0,13.3,31.9,0.0,16.0,16.0
2021-06-20,FL,12117,12.3,10.9,36.0,0.0,12.3,12.3
2021-06-27,FL,12117,19.3,18.3,39.4,0.0,19.3,19.3
2021-07-04,FL,12117,22.1,20.3,34.8,0.0,22.1,22.1
2021-07-11,FL,12117,30.2,27.6,35.5,0.0,30.2,30.2
2021-07-18,FL,12117,43.7,40.0,36.7,0.0,43.7,43.7
2021-07-25,FL,12117,74.3,69.7,41.6,0.0,74.3,74.3
2021-08-01,FL,12117,83.2,77.9,40.5,0.0,83.2,83.2
2021-08-08,FL,12117,99.5,95.3,49.9,0.0,99.5,99.5
2021-08-15,FL,12117,113.4,109.19999999999999,49.0,0.0,113.4,113.4
2021-08-22,FL,12117,90.8,88.69999999999999,48.0,0.0,90.8,90.8
2021-08-29,FL,12117,77.4,74.9,46.1,0.0,77.4,77.4
2021-09-05,FL,12117,65.19999999999999,62.599999999999994,44.5,0.0,65.19999999999999,65.19999999999999
2021-09-12,FL,12117,46.599999999999994,45.1,42.0,0.0,46.599999999999994,46.599999999999994
2021-09-19,FL,12117,39.6,37.3,39.0,0.0,39.6,39.6
2021-09-26,FL,12117,27.9,26.1,37.1,0.0,28.0,27.9
2021-10-03,FL,12117,14.7,12.3,38.1,0.0,14.7,14.7
2021-10-10,FL,12117,10.5,9.100000000000001,34.7,0.0,10.5,10.5
2021-10-17,FL,12117,5.7,4.4,36.7,0.0,5.7,5.7
2021-10-24,FL,12117,5.1,4.6,34.7,0.0,5.1,5.1
2021-10-31,FL,12117,7.9,6.6,35.4,0.0,7.9,7.9
2021-11-07,FL,12117,9.9,5.1,33.0,0.0,9.9,9.9
2021-11-14,FL,12117,7.0,6.1,34.7,0.0,7.0,7.0
2021-11-21,FL,12117,6.4,5.6,31.799999999999997,0.0,6.4,6.4
2021-11-28,FL,12117,6.9,6.3,37.8,0.0,6.9,6.9
2021-12-05,FL,12117,5.9,4.9,36.900000000000006,0.0,5.9,5.9
2021-12-12,FL,12117,0,0,35.0,0.0,0,0.0
2021-12-19,FL,12117,5.9,5.9,36.2,0.0,6.0,5.9
2021-12-26,FL,12117,21.4,19.6,38.5,0.0,21.4,21.4
