collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,GA,13009,21.4,10.1,12.0,0.0,21.4,21.4
2020-08-09,GA,13009,23.3,10.1,11.9,0.0,23.3,23.3
2020-08-16,GA,13009,23.8,8.5,11.8,0.0,23.8,23.8
2020-08-23,GA,13009,18.3,5.0,11.9,0.0,18.3,18.3
2020-08-30,GA,13009,11.3,4.0,11.9,0.0,11.3,11.3
2020-09-06,GA,13009,16.7,7.0,10.7,0.0,16.7,16.7
2020-09-13,GA,13009,16.6,6.9,10.1,0.0,16.6,16.6
2020-09-20,GA,13009,10.3,4.4,9.9,0.0,10.3,10.3
2020-09-27,GA,13009,9.5,0,11.5,0.0,9.5,9.5
2020-10-04,GA,13009,5.1,0,9.0,0.0,5.1,5.1
2020-10-11,GA,13009,9.0,0,11.4,0.0,9.0,9.0
2020-10-18,GA,13009,4.6,0,11.1,0.0,4.6,4.6
2020-10-25,GA,13009,4.0,0,12.0,0.0,4.0,4.0
2020-11-01,GA,13009,12.9,6.3,12.0,0.0,12.9,12.9
2020-11-08,GA,13009,19.0,9.4,11.7,0.0,19.0,19.0
2020-11-15,GA,13009,20.0,9.9,11.1,0.0,20.0,20.0
2020-11-22,GA,13009,21.1,10.3,9.7,0.0,21.1,21.1
2020-11-29,GA,13009,23.1,10.0,11.3,0.0,23.1,23.1
2020-12-06,GA,13009,30.4,10.1,11.7,0.0,30.4,30.4
2020-12-13,GA,13009,38.6,18.1,11.6,0.0,38.6,38.6
2020-12-20,GA,13009,44.0,18.6,11.6,0.0,44.0,44.0
2020-12-27,GA,13009,32.9,26.3,12.0,0.0,32.9,32.9
2021-01-03,GA,13009,35.7,34.7,12.0,0.0,35.7,35.7
2021-01-10,GA,13009,36.7,32.0,11.3,0.0,36.7,36.7
2021-01-17,GA,13009,26.6,24.7,12.0,0.0,26.6,26.6
2021-01-24,GA,13009,25.3,24.3,12.0,0.0,25.3,25.3
2021-01-31,GA,13009,22.6,21.9,12.0,0.0,22.6,22.6
2021-02-07,GA,13009,14.9,14.9,12.0,0.0,14.9,14.9
2021-02-14,GA,13009,13.0,13.0,10.4,0.0,13.0,13.0
2021-02-21,GA,13009,10.8,10.8,9.3,0.0,10.8,10.8
2021-02-28,GA,13009,0,0,6.7,0.0,0,0.0
2021-03-07,GA,13009,4.3,4.2,6.3,0.0,4.3,4.3
2021-03-14,GA,13009,0,0,8.0,0.0,0,0.0
2021-03-21,GA,13009,0,0,10.1,0.0,0,0.0
2021-03-28,GA,13009,0,0,7.4,0.0,0,0.0
2021-04-04,GA,13009,0,0,8.4,0.0,0,0.0
2021-04-11,GA,13009,0,0,5.9,0.0,0,0.0
2021-04-18,GA,13009,0,0,7.3,0.0,0,0.0
2021-04-25,GA,13009,0,0,8.0,0.0,0,0.0
2021-05-02,GA,13009,0,0,9.4,0.0,0,0.0
2021-05-09,GA,13009,0,0,9.0,0.0,0,0.0
2021-05-16,GA,13009,0,0,7.3,0.0,0,0.0
2021-05-23,GA,13009,0,0,9.7,0.0,0,0.0
2021-05-30,GA,13009,0,0,8.1,0.0,0,0.0
2021-06-06,GA,13009,0,0,8.1,0.0,0,0.0
2021-06-13,GA,13009,0.0,0.0,6.6,0.0,0.0,0.0
2021-06-20,GA,13009,0.0,0.0,7.6,0.0,0.0,0.0
2021-06-27,GA,13009,0.0,0.0,7.8,0.0,0.0,0.0
2021-07-04,GA,13009,0.0,0.0,5.7,0.0,0.0,0.0
2021-07-11,GA,13009,0,0,5.0,0.0,0,0.0
2021-07-18,GA,13009,0,0,6.3,0.0,0,0.0
2021-07-25,GA,13009,4.4,4.0,6.0,0.0,4.4,4.4
2021-08-01,GA,13009,8.7,8.7,5.3,0.0,8.7,8.7
2021-08-08,GA,13009,14.7,14.4,5.9,0.0,14.7,14.7
2021-08-15,GA,13009,17.1,17.1,6.9,0.0,17.1,17.1
2021-08-22,GA,13009,15.9,15.6,7.7,0.0,15.9,15.9
2021-08-29,GA,13009,20.1,20.1,8.7,0.0,20.1,20.1
2021-09-05,GA,13009,23.1,23.0,10.4,0.0,23.1,23.1
2021-09-12,GA,13009,21.9,21.9,9.4,0.0,21.9,21.9
2021-09-19,GA,13009,17.7,17.7,8.3,0.0,17.7,17.7
2021-09-26,GA,13009,8.0,7.9,8.3,0.0,8.0,8.0
2021-10-03,GA,13009,9.6,8.6,7.6,0.0,9.6,9.6
2021-10-10,GA,13009,7.2,6.8,4.8,0.0,7.2,7.2
2021-10-17,GA,13009,10.0,10.0,4.3,0.0,10.0,10.0
2021-10-24,GA,13009,7.6,7.6,4.4,0.0,7.6,7.6
2021-10-31,GA,13009,5.1,5.1,4.7,0.0,5.1,5.1
2021-11-07,GA,13009,0,0,5.0,0.0,0,0.0
2021-11-14,GA,13009,0,0,4.7,0.0,0,0.0
2021-11-21,GA,13009,0,0,5.1,0.0,0,0.0
2021-11-28,GA,13009,0,0,5.0,0.0,0,0.0
2021-12-05,GA,13009,0,0,5.0,0.0,0,0.0
2021-12-12,GA,13009,0,0,5.1,0.0,0,0.0
2021-12-19,GA,13009,0,0,5.1,0.0,0,0.0
2021-12-26,GA,13009,8.1,7.6,5.1,0.0,8.1,8.1
