collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,GA,13021,56.6,53.1,27.9,0.0,183.7,56.6
2020-08-09,GA,13021,50.1,44.7,28.4,0.0,167.3,50.1
2020-08-16,GA,13021,45.4,40.9,27.4,0.0,150.9,45.4
2020-08-23,GA,13021,32.4,28.3,26.1,0.0,122.7,32.4
2020-08-30,GA,13021,26.7,20.7,23.4,0.0,88.2,26.7
2020-09-06,GA,13021,26.0,17.7,24.7,0.0,72.0,26.0
2020-09-13,GA,13021,20.7,16.9,25.4,0.0,67.5,20.7
2020-09-20,GA,13021,21.6,18.3,26.6,0.0,64.9,21.6
2020-09-27,GA,13021,64.19999999999999,59.5,82.6,0.0,64.69999999999999,64.19999999999999
2020-10-04,GA,13021,64.0,60.6,85.9,0.0,65.1,64.0
2020-10-11,GA,13021,59.1,57.1,87.0,0.0,60.6,59.1
2020-10-18,GA,13021,54.7,52.7,86.3,0.0,55.0,54.7
2020-10-25,GA,13021,62.900000000000006,59.7,86.9,0.0,62.900000000000006,62.900000000000006
2020-11-01,GA,13021,55.0,49.1,90.7,0.0,56.5,55.0
2020-11-08,GA,13021,55.400000000000006,51.6,86.3,0.0,56.8,55.400000000000006
2020-11-15,GA,13021,53.3,49.0,80.8,0.0,53.900000000000006,53.3
2020-11-22,GA,13021,53.4,48.4,86.4,0.0,53.7,53.4
2020-11-29,GA,13021,53.0,48.4,91.5,0.0,53.5,53.0
2020-12-06,GA,13021,65.2,64.2,91.0,0.0,66.2,65.2
2020-12-13,GA,13021,86.0,82.5,88.9,0.0,87.2,86.0
2020-12-20,GA,13021,109.0,108.2,100.0,0.0,111.1,109.0
2020-12-27,GA,13021,160.1,158.9,104.1,0.0,160.6,160.1
2021-01-03,GA,13021,196.8,195.4,113.80000000000001,0.0,197.3,196.8
2021-01-10,GA,13021,207.20000000000002,206.10000000000002,113.9,0.0,207.4,207.20000000000002
2021-01-17,GA,13021,200.8,198.60000000000002,112.8,0.0,201.9,200.8
2021-01-24,GA,13021,177.2,176.2,112.19999999999999,0.0,178.5,177.2
2021-01-31,GA,13021,150.1,148.5,104.30000000000001,0.0,151.2,150.1
2021-02-07,GA,13021,138.0,136.7,101.6,0.0,138.8,138.0
2021-02-14,GA,13021,106.1,105.1,98.19999999999999,0.0,107.1,106.1
2021-02-21,GA,13021,76.9,75.8,92.6,0.0,76.9,76.9
2021-02-28,GA,13021,62.0,61.3,89.1,0.0,64.0,62.0
2021-03-07,GA,13021,52.5,50.9,85.6,0.0,53.0,52.5
2021-03-14,GA,13021,37.099999999999994,35.7,82.6,0.0,37.3,37.099999999999994
2021-03-21,GA,13021,30.8,30.0,120.19999999999999,0.0,30.8,30.8
2021-03-28,GA,13021,33.8,31.7,138.3,0.0,33.8,33.8
2021-04-04,GA,13021,25.9,24.3,144.2,0.0,26.0,25.9
2021-04-11,GA,13021,22.7,19.0,141.4,0.0,22.7,22.7
2021-04-18,GA,13021,22.799999999999997,21.0,137.1,0.0,22.799999999999997,22.799999999999997
2021-04-25,GA,13021,22.0,20.200000000000003,145.6,0.0,22.0,22.0
2021-05-02,GA,13021,21.0,19.3,136.5,0.0,21.3,21.0
2021-05-09,GA,13021,20.6,17.799999999999997,133.1,0.0,20.6,20.6
2021-05-16,GA,13021,19.200000000000003,16.0,142.29999999999998,0.0,19.200000000000003,19.200000000000003
2021-05-23,GA,13021,18.0,15.0,143.8,0.0,18.0,18.0
2021-05-30,GA,13021,19.6,17.9,145.6,0.0,19.6,19.6
2021-06-06,GA,13021,20.7,18.5,145.2,0.0,20.7,20.7
2021-06-13,GA,13021,13.7,13.0,144.6,0.0,13.7,13.7
2021-06-20,GA,13021,6.1,0.0,146.1,0.0,6.1,6.1
2021-06-27,GA,13021,11.1,5.8,144.6,0.0,11.1,11.1
2021-07-04,GA,13021,8.2,8.2,100.6,0.0,8.2,8.2
2021-07-11,GA,13021,18.1,13.4,100.7,0.0,18.4,18.1
2021-07-18,GA,13021,37.1,35.400000000000006,99.19999999999999,0.0,38.2,37.1
2021-07-25,GA,13021,61.400000000000006,58.4,95.7,0.0,62.400000000000006,61.400000000000006
2021-08-01,GA,13021,109.9,109.9,92.9,0.0,112.1,109.9
2021-08-08,GA,13021,147.7,147.7,92.80000000000001,0.0,151.29999999999998,147.7
2021-08-15,GA,13021,180.20000000000002,180.20000000000002,100.5,5.6,185.70000000000002,185.8
2021-08-22,GA,13021,208.60000000000002,208.60000000000002,98.30000000000001,5.4,214.0,214.00000000000003
2021-08-29,GA,13021,198.3,198.3,101.69999999999999,0.0,201.3,198.3
2021-09-05,GA,13021,198.5,198.5,104.4,0.0,201.0,198.5
2021-09-12,GA,13021,183.20000000000002,183.20000000000002,102.5,0.0,184.9,183.20000000000002
2021-09-19,GA,13021,151.1,151.1,96.3,0.0,152.5,151.1
2021-09-26,GA,13021,111.19999999999999,111.19999999999999,90.19999999999999,0.0,112.89999999999999,111.19999999999999
2021-10-03,GA,13021,86.0,86.0,84.5,4.0,90.0,90.0
2021-10-10,GA,13021,50.900000000000006,50.900000000000006,87.8,0.0,51.7,50.900000000000006
2021-10-17,GA,13021,44.2,44.2,91.7,0.0,44.8,44.2
2021-10-24,GA,13021,28.299999999999997,28.299999999999997,95.30000000000001,0.0,29.200000000000003,28.299999999999997
2021-10-31,GA,13021,14.7,14.7,96.0,0.0,14.7,14.7
2021-11-07,GA,13021,13.7,13.7,91.8,0.0,13.7,13.7
2021-11-14,GA,13021,9.6,9.6,93.2,0.0,9.6,9.6
2021-11-21,GA,13021,7.9,7.9,83.69999999999999,0.0,7.9,7.9
2021-11-28,GA,13021,8.0,8.0,89.39999999999999,0.0,8.0,8.0
2021-12-05,GA,13021,10.1,10.1,86.5,0.0,10.1,10.1
2021-12-12,GA,13021,19.7,19.7,85.39999999999999,0.0,20.0,19.7
2021-12-19,GA,13021,22.8,22.8,83.69999999999999,0.0,25.0,22.8
2021-12-26,GA,13021,45.6,45.6,80.0,0.0,47.0,45.6
