collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,GA,13051,135.5,135.0,125.2,0.0,137.5,135.5
2020-08-09,GA,13051,118.6,117.4,127.49999999999999,0.0,120.20000000000002,118.6
2020-08-16,GA,13051,113.60000000000001,110.0,125.0,0.0,115.89999999999999,113.60000000000001
2020-08-23,GA,13051,107.5,110.4,122.10000000000001,0.0,112.60000000000001,107.5
2020-08-30,GA,13051,77.89999999999999,95.5,131.8,0.0,95.89999999999999,77.89999999999999
2020-09-06,GA,13051,88.5,94.9,130.0,0.0,96.4,88.5
2020-09-13,GA,13051,97.4,96.80000000000001,130.8,0.0,98.0,97.4
2020-09-20,GA,13051,80.6,80.3,126.70000000000002,0.0,81.3,80.6
2020-09-27,GA,13051,64.19999999999999,63.6,131.0,0.0,64.39999999999999,64.19999999999999
2020-10-04,GA,13051,64.4,64.2,131.7,0.0,64.6,64.4
2020-10-11,GA,13051,64.3,63.8,128.4,0.0,64.3,64.3
2020-10-18,GA,13051,51.0,50.7,123.7,0.0,51.0,51.0
2020-10-25,GA,13051,45.0,45.0,112.3,0.0,45.0,45.0
2020-11-01,GA,13051,47.400000000000006,46.8,116.6,0.0,48.0,47.400000000000006
2020-11-08,GA,13051,49.00000000000001,48.7,119.89999999999999,0.0,49.7,49.00000000000001
2020-11-15,GA,13051,47.400000000000006,47.400000000000006,122.6,0.0,47.7,47.400000000000006
2020-11-22,GA,13051,52.3,52.10000000000001,121.49999999999999,0.0,52.7,52.3
2020-11-29,GA,13051,62.5,62.1,124.6,0.0,63.199999999999996,62.5
2020-12-06,GA,13051,64.4,60.7,124.19999999999999,0.0,66.5,64.4
2020-12-13,GA,13051,71.0,70.4,127.10000000000001,0.0,71.9,71.0
2020-12-20,GA,13051,87.0,86.7,126.6,0.0,88.1,87.0
2020-12-27,GA,13051,118.19999999999999,117.9,126.4,0.0,118.6,118.19999999999999
2021-01-03,GA,13051,141.79999999999998,141.2,125.60000000000001,0.0,143.3,141.79999999999998
2021-01-10,GA,13051,136.9,136.70000000000002,126.5,0.0,138.4,136.9
2021-01-17,GA,13051,133.4,133.1,131.0,0.0,135.3,133.4
2021-01-24,GA,13051,140.4,139.7,129.6,0.0,141.20000000000002,140.4
2021-01-31,GA,13051,126.80000000000001,126.5,125.9,0.0,127.5,126.80000000000001
2021-02-07,GA,13051,121.3,120.6,128.7,0.0,121.3,121.3
2021-02-14,GA,13051,111.6,110.30000000000001,128.7,0.0,111.6,111.6
2021-02-21,GA,13051,85.1,84.80000000000001,123.2,0.0,85.5,85.1
2021-02-28,GA,13051,65.69999999999999,65.4,126.30000000000001,0.0,66.0,65.69999999999999
2021-03-07,GA,13051,52.099999999999994,52.099999999999994,120.0,0.0,52.4,52.099999999999994
2021-03-14,GA,13051,43.900000000000006,43.900000000000006,118.1,0.0,44.3,43.900000000000006
2021-03-21,GA,13051,36.6,36.4,120.4,0.0,36.7,36.6
2021-03-28,GA,13051,34.4,34.1,120.6,0.0,35.1,34.4
2021-04-04,GA,13051,24.2,24.2,121.5,0.0,24.2,24.2
2021-04-11,GA,13051,26.200000000000003,25.6,123.19999999999999,0.0,26.200000000000003,26.200000000000003
2021-04-18,GA,13051,21.6,21.5,118.39999999999999,0.0,21.9,21.6
2021-04-25,GA,13051,34.9,34.6,121.30000000000001,0.0,34.9,34.9
2021-05-02,GA,13051,29.1,28.700000000000003,121.69999999999999,0.0,29.200000000000003,29.1
2021-05-09,GA,13051,25.299999999999997,25.1,119.7,0.0,25.299999999999997,25.299999999999997
2021-05-16,GA,13051,19.1,18.9,116.4,0.0,19.1,19.1
2021-05-23,GA,13051,8.9,8.9,121.4,0.0,9.3,8.9
2021-05-30,GA,13051,10.0,9.3,124.6,0.0,10.0,10.0
2021-06-06,GA,13051,8.1,8.0,117.0,0.0,8.1,8.1
2021-06-13,GA,13051,4.7,4.7,115.89999999999999,0.0,4.7,4.7
2021-06-20,GA,13051,5.7,5.4,124.9,0.0,5.7,5.7
2021-06-27,GA,13051,9.3,9.3,79.4,0.0,9.6,9.3
2021-07-04,GA,13051,22.7,22.6,129.0,0.0,23.1,22.7
2021-07-11,GA,13051,36.3,36.099999999999994,131.1,0.0,36.5,36.3
2021-07-18,GA,13051,43.900000000000006,43.900000000000006,123.4,0.0,44.400000000000006,43.900000000000006
2021-07-25,GA,13051,76.0,76.0,138.0,0.0,76.69999999999999,76.0
2021-08-01,GA,13051,134.6,133.6,137.5,0.0,137.89999999999998,134.6
2021-08-08,GA,13051,207.5,206.5,133.1,4.4,212.0,211.9
2021-08-15,GA,13051,273.6,273.0,137.7,6.1,280.6,279.70000000000005
2021-08-22,GA,13051,301.3,299.5,145.9,6.3,307.8,307.6
2021-08-29,GA,13051,306.3,305.79999999999995,161.4,6.1,312.5,312.40000000000003
2021-09-05,GA,13051,276.6,276.1,156.2,5.3,282.1,281.90000000000003
2021-09-12,GA,13051,217.60000000000002,217.3,155.5,4.4,222.9,222.00000000000003
2021-09-19,GA,13051,160.0,157.5,143.9,4.6,165.0,164.6
2021-09-26,GA,13051,125.8,125.19999999999999,138.4,0.0,128.5,125.8
2021-10-03,GA,13051,91.4,90.7,135.8,0.0,93.9,91.4
2021-10-10,GA,13051,70.4,70.4,140.2,0.0,73.5,70.4
2021-10-17,GA,13051,43.9,43.7,135.9,0.0,45.0,43.9
2021-10-24,GA,13051,31.6,31.1,140.10000000000002,0.0,32.9,31.6
2021-10-31,GA,13051,31.0,30.799999999999997,139.0,0.0,32.8,31.0
2021-11-07,GA,13051,17.6,16.7,141.3,0.0,17.6,17.6
2021-11-14,GA,13051,10.1,9.3,139.0,0.0,10.1,10.1
2021-11-21,GA,13051,10.7,10.6,144.5,0.0,11.0,10.7
2021-11-28,GA,13051,26.6,26.6,135.9,0.0,26.6,26.6
2021-12-05,GA,13051,24.9,24.9,139.0,0.0,25.4,24.9
2021-12-12,GA,13051,13.3,13.3,145.20000000000002,0.0,13.3,13.3
2021-12-19,GA,13051,14.0,13.6,140.2,0.0,14.0,14.0
2021-12-26,GA,13051,28.799999999999997,27.799999999999997,137.7,0.0,31.700000000000003,28.799999999999997
