collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,GA,13057,0.0,0.0,0.0,0,44.4,0.0
2020-08-09,GA,13057,0.0,0.0,0.0,0,44.4,0.0
2020-08-16,GA,13057,0.0,0.0,0.0,0,30.7,0.0
2020-08-23,GA,13057,0.0,0.0,0.0,0,22.7,0.0
2020-08-30,GA,13057,19.8,19.3,21.0,0,22.4,19.8
2020-09-06,GA,13057,20.7,19.3,18.7,0,21.6,20.7
2020-09-13,GA,13057,18.9,17.4,20.6,0,19.0,18.9
2020-09-20,GA,13057,17.9,17.3,18.1,0,18.3,17.9
2020-09-27,GA,13057,17.3,15.9,21.6,0,17.4,17.3
2020-10-04,GA,13057,17.3,15.4,22.6,0,17.6,17.3
2020-10-11,GA,13057,16.9,15.1,22.0,0,17.0,16.9
2020-10-18,GA,13057,15.9,15.0,20.0,0,16.1,15.9
2020-10-25,GA,13057,16.3,15.3,20.4,0.0,16.3,16.3
2020-11-01,GA,13057,19.4,19.0,19.1,0.0,19.4,19.4
2020-11-08,GA,13057,17.9,17.1,21.1,0,18.3,17.9
2020-11-15,GA,13057,24.4,23.1,21.0,0,24.7,24.4
2020-11-22,GA,13057,37.4,35.7,23.4,0,37.7,37.4
2020-11-29,GA,13057,35.0,33.6,21.1,0,35.1,35.0
2020-12-06,GA,13057,45.7,43.7,22.0,0.0,45.7,45.7
2020-12-13,GA,13057,55.7,52.6,23.0,0.0,55.7,55.7
2020-12-20,GA,13057,73.1,72.0,23.3,0,73.6,73.1
2020-12-27,GA,13057,91.1,90.3,23.9,0,92.0,91.1
2021-01-03,GA,13057,104.1,103.4,23.6,0,105.6,104.1
2021-01-10,GA,13057,101.3,100.7,23.6,0,101.7,101.3
2021-01-17,GA,13057,96.7,96.4,22.9,0,98.1,96.7
2021-01-24,GA,13057,86.0,85.3,22.1,0,86.3,86.0
2021-01-31,GA,13057,74.1,73.1,23.4,0,74.4,74.1
