collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,GA,13059,24.3,24.1,17.0,0.0,79.3,24.3
2020-08-09,GA,13059,24.0,24.0,16.3,0.0,84.7,24.0
2020-08-16,GA,13059,22.1,22.1,15.3,0.0,83.0,22.1
2020-08-23,GA,13059,17.5,17.2,15.0,0.0,71.2,17.5
2020-08-30,GA,13059,55.699999999999996,54.4,65.6,0.0,56.3,55.699999999999996
2020-09-06,GA,13059,57.9,54.0,70.4,0.0,58.2,57.9
2020-09-13,GA,13059,41.8,40.5,72.3,0.0,42.0,41.8
2020-09-20,GA,13059,38.0,37.2,67.2,0.0,38.0,38.0
2020-09-27,GA,13059,39.6,39.2,70.1,0.0,39.9,39.6
2020-10-04,GA,13059,41.2,40.7,67.0,0.0,41.5,41.2
2020-10-11,GA,13059,35.4,34.8,69.69999999999999,0.0,35.8,35.4
2020-10-18,GA,13059,34.400000000000006,34.2,71.0,0.0,34.7,34.400000000000006
2020-10-25,GA,13059,45.1,44.7,67.5,0.0,45.2,45.1
2020-11-01,GA,13059,43.6,43.2,64.6,0.0,44.0,43.6
2020-11-08,GA,13059,53.6,52.9,69.8,0.0,53.6,53.6
2020-11-15,GA,13059,52.9,52.9,71.0,0.0,53.3,52.9
2020-11-22,GA,13059,57.7,56.900000000000006,73.6,0.0,57.900000000000006,57.7
2020-11-29,GA,13059,74.7,74.2,75.4,0.0,74.9,74.7
2020-12-06,GA,13059,93.69999999999999,92.30000000000001,73.8,0.0,94.1,93.69999999999999
2020-12-13,GA,13059,102.7,102.10000000000001,75.9,0.0,102.9,102.7
2020-12-20,GA,13059,114.69999999999999,114.19999999999999,71.8,0.0,115.19999999999999,114.69999999999999
2020-12-27,GA,13059,145.1,144.5,76.3,0.0,145.7,145.1
2021-01-03,GA,13059,163.3,162.7,81.1,0.0,163.5,163.3
2021-01-10,GA,13059,169.6,169.3,80.6,0.0,170.0,169.6
2021-01-17,GA,13059,162.39999999999998,161.9,81.39999999999999,0.0,165.0,162.39999999999998
2021-01-24,GA,13059,154.60000000000002,154.3,82.9,0.0,155.10000000000002,154.60000000000002
2021-01-31,GA,13059,131.5,131.3,83.3,0.0,131.9,131.5
2021-02-07,GA,13059,107.69999999999999,107.69999999999999,80.6,0.0,108.69999999999999,107.69999999999999
2021-02-14,GA,13059,90.69999999999999,90.6,77.19999999999999,0.0,91.0,90.69999999999999
2021-02-21,GA,13059,73.9,73.7,73.7,0.0,74.3,73.9
2021-02-28,GA,13059,51.3,51.199999999999996,75.0,0.0,52.3,51.3
2021-03-07,GA,13059,38.4,38.4,69.69999999999999,0.0,38.8,38.4
2021-03-14,GA,13059,36.7,36.6,70.6,0.0,38.0,36.7
2021-03-21,GA,13059,38.0,37.900000000000006,66.0,0.0,38.0,38.0
2021-03-28,GA,13059,33.3,32.8,61.0,0.0,33.5,33.3
2021-04-04,GA,13059,22.9,22.6,60.9,0.0,23.0,22.9
2021-04-11,GA,13059,20.0,19.7,69.0,0.0,21.3,20.0
2021-04-18,GA,13059,22.0,21.7,68.1,0.0,22.1,22.0
2021-04-25,GA,13059,22.3,22.2,69.1,0.0,22.3,22.3
2021-05-02,GA,13059,21.0,20.7,70.3,0.0,21.2,21.0
2021-05-09,GA,13059,17.4,17.1,65.6,0.0,18.4,17.4
2021-05-16,GA,13059,12.0,12.0,73.3,0.0,12.4,12.0
2021-05-23,GA,13059,17.4,16.7,63.1,0.0,17.9,17.4
2021-05-30,GA,13059,5.9,5.7,55.5,0.0,6.4,5.9
2021-06-06,GA,13059,5.3,4.9,63.9,0.0,5.7,5.3
2021-06-13,GA,13059,10.3,10.3,71.6,0.0,10.5,10.3
2021-06-20,GA,13059,0.0,0.0,60.0,0.0,0.0,0.0
2021-06-27,GA,13059,0.0,0.0,56.5,0.0,0.0,0.0
2021-07-04,GA,13059,7.6,7.6,54.0,0.0,7.6,7.6
2021-07-11,GA,13059,18.0,17.700000000000003,56.3,0.0,18.8,18.0
2021-07-18,GA,13059,24.6,24.0,63.199999999999996,0.0,24.6,24.6
2021-07-25,GA,13059,37.400000000000006,37.3,63.5,0.0,37.400000000000006,37.400000000000006
2021-08-01,GA,13059,57.1,57.1,65.8,0.0,57.800000000000004,57.1
2021-08-08,GA,13059,75.2,74.7,76.4,0.0,75.80000000000001,75.2
2021-08-15,GA,13059,104.8,104.6,75.9,0.0,106.10000000000001,104.8
2021-08-22,GA,13059,132.7,131.5,77.0,0.0,134.8,132.7
2021-08-29,GA,13059,163.3,162.9,76.5,0.0,164.6,163.3
2021-09-05,GA,13059,165.8,165.6,81.4,0.0,166.6,165.8
2021-09-12,GA,13059,156.5,156.3,81.5,0.0,156.9,156.5
2021-09-19,GA,13059,118.5,118.5,78.4,0.0,118.9,118.5
2021-09-26,GA,13059,91.4,91.4,80.3,0.0,91.7,91.4
2021-10-03,GA,13059,82.1,81.5,80.7,0.0,82.2,82.1
2021-10-10,GA,13059,71.1,70.80000000000001,79.3,0.0,71.69999999999999,71.1
2021-10-17,GA,13059,57.7,57.5,75.0,0.0,58.4,57.7
2021-10-24,GA,13059,40.5,40.0,71.69999999999999,0.0,41.5,40.5
2021-10-31,GA,13059,27.8,27.8,71.6,0.0,28.0,27.8
