collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,GA,13063,22.3,17.2,11.5,0,22.5,22.3
2020-08-09,GA,13063,21.7,15.0,9.7,0.0,21.7,21.7
2020-08-16,GA,13063,20.6,14.4,10.3,0.0,20.6,20.6
2020-08-23,GA,13063,15.6,11.0,10.9,0,15.9,15.6
2020-08-30,GA,13063,14.9,13.1,12.1,0.0,14.9,14.9
2020-09-06,GA,13063,11.4,8.8,10.2,0.0,11.4,11.4
2020-09-13,GA,13063,12.9,9.3,9.6,0,13.3,12.9
2020-09-20,GA,13063,8.9,5.9,11.7,0,9.6,8.9
2020-09-27,GA,13063,9.6,7.1,10.9,0.0,9.6,9.6
2020-10-04,GA,13063,9.9,6.9,13.4,0.0,9.9,9.9
2020-10-11,GA,13063,8.9,5.6,12.6,0.0,8.9,8.9
2020-10-18,GA,13063,7.1,4.7,8.7,0,7.3,7.1
2020-10-25,GA,13063,16.0,12.0,10.7,0.0,16.0,16.0
2020-11-01,GA,13063,16.4,14.1,11.1,0.0,16.4,16.4
2020-11-08,GA,13063,21.3,16.1,10.3,0.0,21.3,21.3
2020-11-15,GA,13063,25.3,20.0,12.1,0.0,25.3,25.3
2020-11-22,GA,13063,22.4,16.7,13.4,0.0,22.4,22.4
2020-11-29,GA,13063,25.3,20.1,14.9,0,25.4,25.3
2020-12-06,GA,13063,19.6,13.4,14.6,0,19.9,19.6
2020-12-13,GA,13063,29.4,21.4,14.4,0,30.3,29.4
2020-12-20,GA,13063,30.4,24.3,16.7,0,31.0,30.4
2020-12-27,GA,13063,36.6,30.4,19.0,0,36.7,36.6
2021-01-03,GA,13063,35.1,30.7,65.0,0,36.0,35.1
2021-01-10,GA,13063,41.7,34.3,65.0,0,42.7,41.7
2021-01-17,GA,13063,32.9,28.3,65.0,0,33.3,32.9
2021-01-24,GA,13063,27.4,21.4,65.0,0,27.9,27.4
2021-01-31,GA,13063,25.6,20.3,65.0,0,25.9,25.6
2021-02-07,GA,13063,26.6,22.1,65.0,0,27.3,26.6
2021-02-14,GA,13063,21.9,17.4,65.0,0,22.0,21.9
2021-02-21,GA,13063,17.1,14.0,33.9,0,18.0,17.1
2021-02-28,GA,13063,13.6,11.0,34.3,0,14.1,13.6
2021-03-07,GA,13063,15.6,10.3,57.3,0.0,15.6,15.6
2021-03-14,GA,13063,14.4,10.3,10.9,0,14.9,14.4
2021-03-21,GA,13063,15.0,11.0,12.0,0.0,15.0,15.0
2021-03-28,GA,13063,12.4,8.7,11.6,0,12.7,12.4
2021-04-04,GA,13063,16.3,11.4,16.6,0,16.4,16.3
2021-04-11,GA,13063,18.0,12.0,8.9,0.0,18.0,18.0
2021-04-18,GA,13063,21.9,17.6,10.1,0,22.3,21.9
2021-04-25,GA,13063,32.9,24.9,12.9,0,34.1,32.9
2021-05-02,GA,13063,18.3,9.9,20.6,0.0,18.3,18.3
2021-05-09,GA,13063,12.0,7.6,9.0,0.0,12.0,12.0
2021-05-16,GA,13063,11.7,6.9,10.0,0.0,11.7,11.7
2021-05-23,GA,13063,9.3,4.9,10.0,0,9.4,9.3
2021-05-30,GA,13063,7.7,4.9,6.3,0,8.0,7.7
2021-06-06,GA,13063,4.9,0,8.4,0,5.0,4.9
2021-06-13,GA,13063,9.0,4.4,10.1,0.0,9.0,9.0
2021-06-20,GA,13063,6.6,0,6.9,0.0,6.6,6.6
2021-06-27,GA,13063,0,0,10.4,0.0,0,0.0
2021-07-04,GA,13063,5.0,0,11.7,0.0,5.0,5.0
