collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,GA,13095,55.9,55.3,41.4,0.0,55.9,55.9
2020-08-09,GA,13095,53.9,53.9,40.9,0.0,53.9,53.9
2020-08-16,GA,13095,54.4,54.4,43.4,0.0,54.4,54.4
2020-08-23,GA,13095,51.0,51.0,48.4,0.0,51.0,51.0
2020-08-30,GA,13095,48.7,48.7,49.9,0.0,48.7,48.7
2020-09-06,GA,13095,39.9,39.9,45.9,0,40.0,39.9
2020-09-13,GA,13095,38.6,38.6,42.6,0.0,38.6,38.6
2020-09-20,GA,13095,34.9,34.9,44.0,0.0,34.9,34.9
2020-09-27,GA,13095,33.1,33.1,44.0,0.0,33.1,33.1
2020-10-04,GA,13095,32.4,32.4,37.4,0.0,32.4,32.4
2020-10-11,GA,13095,29.3,29.3,40.0,0.0,29.3,29.3
2020-10-18,GA,13095,31.4,31.4,43.7,0.0,31.4,31.4
2020-10-25,GA,13095,32.4,32.4,43.6,0.0,32.4,32.4
2020-11-01,GA,13095,32.3,32.3,42.0,0.0,32.3,32.3
2020-11-08,GA,13095,26.0,26.0,43.4,0.0,26.0,26.0
2020-11-15,GA,13095,23.6,23.6,41.1,0.0,23.6,23.6
2020-11-22,GA,13095,24.0,24.0,42.1,0.0,24.0,24.0
2020-11-29,GA,13095,37.1,37.1,43.9,0.0,37.1,37.1
2020-12-06,GA,13095,51.6,51.6,47.0,0.0,51.6,51.6
2020-12-13,GA,13095,66.3,66.3,42.6,0.0,66.3,66.3
2020-12-20,GA,13095,75.3,75.3,44.7,0.0,75.3,75.3
2020-12-27,GA,13095,88.7,88.7,45.4,0.0,88.7,88.7
2021-01-03,GA,13095,93.4,93.4,50.7,0.0,93.4,93.4
2021-01-10,GA,13095,105.7,105.7,53.3,0.0,105.7,105.7
2021-01-17,GA,13095,101.7,101.7,56.1,0.0,101.7,101.7
2021-01-24,GA,13095,104.6,104.6,59.4,0.0,104.6,104.6
2021-01-31,GA,13095,93.0,93.0,60.1,0.0,93.0,93.0
2021-02-07,GA,13095,80.6,80.6,62.1,0.0,80.6,80.6
2021-02-14,GA,13095,65.0,65.0,53.1,0.0,65.0,65.0
2021-02-21,GA,13095,47.3,47.3,52.8,0.0,47.3,47.3
2021-02-28,GA,13095,33.0,33.0,53.0,0.0,33.0,33.0
2021-03-07,GA,13095,27.7,27.7,48.3,0.0,27.7,27.7
2021-03-14,GA,13095,27.9,27.7,49.9,0.0,27.9,27.9
2021-03-21,GA,13095,24.6,24.6,50.4,0.0,24.6,24.6
2021-03-28,GA,13095,21.9,21.9,47.1,0.0,21.9,21.9
2021-04-04,GA,13095,21.3,21.3,43.7,0.0,21.3,21.3
2021-04-11,GA,13095,21.4,21.4,40.4,0.0,21.4,21.4
2021-04-18,GA,13095,20.0,20.0,41.4,0.0,20.0,20.0
2021-04-25,GA,13095,30.3,30.3,46.7,0.0,30.3,30.3
2021-05-02,GA,13095,26.4,26.4,42.7,0.0,26.4,26.4
2021-05-09,GA,13095,26.9,26.9,45.1,0.0,26.9,26.9
2021-05-16,GA,13095,21.4,21.4,44.7,0.0,21.4,21.4
2021-05-23,GA,13095,26.6,26.6,38.1,0.0,26.6,26.6
2021-05-30,GA,13095,19.7,19.7,40.9,0.0,19.7,19.7
2021-06-06,GA,13095,18.1,18.1,35.4,0.0,18.1,18.1
2021-06-13,GA,13095,12.4,12.4,31.1,0.0,12.4,12.4
2021-06-20,GA,13095,11.8,11.8,34.0,0.0,11.8,11.8
2021-06-27,GA,13095,9.7,9.7,36.7,0.0,9.7,9.7
2021-07-04,GA,13095,10.4,10.4,37.9,0.0,10.4,10.4
2021-07-11,GA,13095,15.9,15.9,38.3,0.0,15.9,15.9
2021-07-18,GA,13095,25.1,25.1,46.9,0.0,25.1,25.1
