collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,GA,13115,66.5,60.7,76.6,0.0,66.7,66.5
2020-08-09,GA,13115,64.3,60.0,73.5,0.0,64.3,64.3
2020-08-16,GA,13115,66.9,62.0,88.0,0.0,66.9,66.9
2020-08-23,GA,13115,51.8,46.9,80.4,0.0,51.8,51.8
2020-08-30,GA,13115,53.0,50.8,83.4,0.0,53.0,53.0
2020-09-06,GA,13115,53.5,51.3,85.0,0.0,53.5,53.5
2020-09-13,GA,13115,45.0,43.6,82.0,0.0,45.3,45.0
2020-09-20,GA,13115,53.0,51.3,80.6,0.0,53.0,53.0
2020-09-27,GA,13115,56.1,54.7,79.4,0.0,56.1,56.1
2020-10-04,GA,13115,43.0,42.2,75.1,0.0,43.0,43.0
2020-10-11,GA,13115,37.9,36.7,75.4,0.0,38.0,37.9
2020-10-18,GA,13115,48.3,46.9,77.9,0.0,48.3,48.3
2020-10-25,GA,13115,64.5,63.0,86.9,0.0,64.5,64.5
2020-11-01,GA,13115,62.0,60.8,83.5,0.0,62.0,62.0
2020-11-08,GA,13115,71.80000000000001,71.0,90.3,0.0,74.2,71.80000000000001
2020-11-15,GA,13115,82.9,80.2,81.1,0.0,82.9,82.9
2020-11-22,GA,13115,89.1,87.3,72.4,0.0,89.1,89.1
2020-11-29,GA,13115,104.6,102.2,74.30000000000001,0.0,104.7,104.6
2020-12-06,GA,13115,107.69999999999999,104.5,73.4,0.0,107.69999999999999,107.69999999999999
2020-12-13,GA,13115,124.9,121.9,74.80000000000001,0.0,124.9,124.9
2020-12-20,GA,13115,144.7,139.8,69.6,0.0,145.2,144.7
2020-12-27,GA,13115,149.3,145.9,74.69999999999999,0.0,149.5,149.3
2021-01-03,GA,13115,161.5,159.0,76.9,0.0,161.5,161.5
2021-01-10,GA,13115,153.4,150.7,76.0,0.0,153.4,153.4
2021-01-17,GA,13115,132.0,129.60000000000002,72.30000000000001,0.0,132.0,132.0
2021-01-24,GA,13115,106.1,104.5,69.1,0.0,106.2,106.1
2021-01-31,GA,13115,88.3,86.1,58.3,0.0,89.19999999999999,88.3
2021-02-07,GA,13115,74.19999999999999,72.3,64.1,0.0,74.3,74.19999999999999
2021-02-14,GA,13115,64.7,63.6,65.7,0.0,64.7,64.7
2021-02-21,GA,13115,61.5,59.4,63.8,0.0,61.5,61.5
2021-02-28,GA,13115,43.4,42.099999999999994,58.3,0.0,44.4,43.4
2021-03-07,GA,13115,39.9,38.3,56.900000000000006,0.0,39.9,39.9
2021-03-14,GA,13115,42.4,41.7,59.400000000000006,0.0,42.4,42.4
2021-03-21,GA,13115,41.0,39.8,60.0,0.0,41.0,41.0
2021-03-28,GA,13115,32.8,32.7,59.900000000000006,0.0,32.8,32.8
2021-04-04,GA,13115,40.8,40.2,56.1,0.0,40.8,40.8
2021-04-11,GA,13115,25.700000000000003,25.0,56.300000000000004,0.0,25.700000000000003,25.700000000000003
2021-04-18,GA,13115,19.4,18.9,59.1,0.0,19.4,19.4
2021-04-25,GA,13115,21.6,21.200000000000003,61.800000000000004,0.0,21.6,21.6
2021-05-02,GA,13115,25.6,25.200000000000003,61.400000000000006,0.0,25.6,25.6
2021-05-09,GA,13115,24.3,24.0,56.0,0.0,24.3,24.3
2021-05-16,GA,13115,18.7,18.3,58.7,0.0,18.7,18.7
2021-05-23,GA,13115,12.4,12.3,57.2,0.0,12.4,12.4
2021-05-30,GA,13115,10.7,10.3,57.3,0.0,10.7,10.7
2021-06-06,GA,13115,4.0,4.0,55.7,0.0,4.0,4.0
2021-06-13,GA,13115,0,0,53.099999999999994,0.0,0,0.0
2021-06-20,GA,13115,0,0,52.1,0.0,0,0.0
2021-06-27,GA,13115,4.7,4.7,50.0,0.0,4.7,4.7
2021-07-04,GA,13115,5.1,5.1,55.7,0.0,5.1,5.1
2021-07-11,GA,13115,11.0,10.899999999999999,59.4,0.0,11.0,11.0
2021-07-18,GA,13115,17.3,17.0,58.2,0.0,17.3,17.3
2021-07-25,GA,13115,27.200000000000003,26.5,55.0,0.0,27.4,27.200000000000003
2021-08-01,GA,13115,51.800000000000004,51.1,62.2,0.0,51.800000000000004,51.800000000000004
2021-08-08,GA,13115,78.1,77.3,62.4,0.0,78.4,78.1
2021-08-15,GA,13115,108.5,105.7,64.30000000000001,0.0,108.9,108.5
2021-08-22,GA,13115,151.10000000000002,147.4,69.8,0.0,151.8,151.10000000000002
2021-08-29,GA,13115,182.5,178.2,78.6,0.0,183.10000000000002,182.5
2021-09-05,GA,13115,206.3,203.8,77.80000000000001,0.0,207.5,206.3
2021-09-12,GA,13115,183.2,181.6,79.2,0.0,183.5,183.2
2021-09-19,GA,13115,152.7,151.10000000000002,78.6,0.0,152.89999999999998,152.7
2021-09-26,GA,13115,124.6,122.69999999999999,73.0,0.0,124.7,124.6
2021-10-03,GA,13115,95.5,93.5,54.8,0.0,95.7,95.5
2021-10-10,GA,13115,62.7,57.3,59.400000000000006,0.0,62.7,62.7
2021-10-17,GA,13115,53.3,45.4,69.0,0.0,53.3,53.3
2021-10-24,GA,13115,40.3,35.4,67.4,0.0,40.3,40.3
2021-10-31,GA,13115,39.6,36.3,69.3,0.0,39.9,39.6
2021-11-07,GA,13115,36.4,31.200000000000003,67.5,0.0,36.5,36.4
2021-11-14,GA,13115,32.7,27.7,63.0,0.0,32.7,32.7
2021-11-21,GA,13115,26.200000000000003,22.4,55.0,0.0,26.299999999999997,26.200000000000003
2021-11-28,GA,13115,24.3,20.3,61.599999999999994,0.0,24.3,24.3
2021-12-05,GA,13115,21.299999999999997,18.7,58.8,0.0,21.299999999999997,21.299999999999997
2021-12-12,GA,13115,31.6,26.9,60.099999999999994,0.0,32.0,31.6
2021-12-19,GA,13115,32.4,27.4,57.0,0.0,32.6,32.4
2021-12-26,GA,13115,55.2,47.0,62.3,0.0,56.400000000000006,55.2
