collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,GA,13129,24.1,23.7,0.0,0.0,24.1,24.1
2020-08-09,GA,13129,15.9,12.3,0.0,0.0,15.9,15.9
2020-08-16,GA,13129,17.9,12.7,0.0,0.0,17.9,17.9
2020-08-23,GA,13129,17.4,13.0,0.0,0.0,17.4,17.4
2020-08-30,GA,13129,20.0,14.1,0.0,0.0,20.0,20.0
2020-09-06,GA,13129,13.9,11.0,8.0,0.0,13.9,13.9
2020-09-13,GA,13129,15.3,12.0,7.9,0.0,15.3,15.3
2020-09-20,GA,13129,13.4,7.3,7.7,0.0,13.4,13.4
2020-09-27,GA,13129,8.9,5.6,6.3,0,9.1,8.9
2020-10-04,GA,13129,10.0,8.7,7.3,0,10.3,10.0
2020-10-11,GA,13129,10.0,7.0,7.7,0.0,10.0,10.0
2020-10-18,GA,13129,14.4,11.4,5.7,0.0,14.4,14.4
2020-10-25,GA,13129,13.9,12.3,6.9,0.0,13.9,13.9
2020-11-01,GA,13129,16.6,14.3,9.9,0.0,16.6,16.6
2020-11-08,GA,13129,17.4,15.7,8.3,0.0,17.4,17.4
2020-11-15,GA,13129,19.0,16.0,8.4,0.0,19.0,19.0
2020-11-22,GA,13129,24.3,21.6,9.0,0,24.4,24.3
2020-11-29,GA,13129,24.0,23.3,9.9,0.0,24.0,24.0
2020-12-06,GA,13129,19.9,18.3,9.9,0.0,19.9,19.9
2020-12-13,GA,13129,23.1,22.1,9.9,0.0,23.1,23.1
2020-12-20,GA,13129,22.4,22.4,9.7,0.0,22.4,22.4
2020-12-27,GA,13129,29.3,28.6,9.9,0.0,29.3,29.3
2021-01-03,GA,13129,36.3,35.9,9.1,0.0,36.3,36.3
2021-01-10,GA,13129,35.4,35.3,10.0,0.0,35.4,35.4
2021-01-17,GA,13129,28.9,28.1,9.9,0.0,28.9,28.9
2021-01-24,GA,13129,28.7,27.7,10.0,0.0,28.7,28.7
2021-01-31,GA,13129,27.0,26.7,10.0,0.0,27.0,27.0
2021-02-07,GA,13129,23.9,23.7,9.4,0.0,23.9,23.9
2021-02-14,GA,13129,18.3,18.1,10.0,0.0,18.3,18.3
2021-02-21,GA,13129,18.3,18.0,9.9,0.0,18.3,18.3
2021-02-28,GA,13129,11.0,11.0,7.7,0.0,11.0,11.0
2021-03-07,GA,13129,8.9,8.7,8.4,0.0,8.9,8.9
2021-03-14,GA,13129,10.6,10.4,8.7,0.0,10.6,10.6
2021-03-21,GA,13129,4.3,4.3,7.9,0.0,4.3,4.3
2021-03-28,GA,13129,9.3,9.3,9.6,0.0,9.3,9.3
2021-04-04,GA,13129,10.7,10.7,9.6,0.0,10.7,10.7
2021-04-11,GA,13129,6.9,6.6,8.6,0.0,6.9,6.9
2021-04-18,GA,13129,7.3,7.1,8.4,0.0,7.3,7.3
2021-04-25,GA,13129,10.1,10.1,9.4,0.0,10.1,10.1
2021-05-02,GA,13129,8.7,8.7,9.1,0.0,8.7,8.7
2021-05-09,GA,13129,6.0,5.9,9.3,0.0,6.0,6.0
2021-05-16,GA,13129,0,0,9.0,0.0,0,0.0
2021-05-23,GA,13129,0,0,8.7,0.0,0,0.0
2021-05-30,GA,13129,0,0,9.1,0.0,0,0.0
2021-06-06,GA,13129,0,0,9.4,0.0,0,0.0
2021-06-13,GA,13129,0,0,8.4,0.0,0,0.0
2021-06-20,GA,13129,0,0,6.0,0.0,0,0.0
2021-06-27,GA,13129,0,0,8.1,0.0,0,0.0
2021-07-04,GA,13129,0,0,9.1,0.0,0,0.0
2021-07-11,GA,13129,5.6,5.4,9.6,0,5.7,5.6
2021-07-18,GA,13129,6.7,6.7,8.7,0.0,6.7,6.7
2021-07-25,GA,13129,8.4,8.3,9.9,0.0,8.4,8.4
2021-08-01,GA,13129,17.6,17.4,9.6,0.0,17.6,17.6
2021-08-08,GA,13129,24.4,24.1,10.0,0.0,24.4,24.4
2021-08-15,GA,13129,37.0,36.4,9.9,0.0,37.0,37.0
2021-08-22,GA,13129,43.0,43.0,9.7,0.0,43.0,43.0
2021-08-29,GA,13129,54.6,54.1,10.0,0.0,54.6,54.6
2021-09-05,GA,13129,45.0,44.9,10.0,0.0,45.0,45.0
2021-09-12,GA,13129,39.6,39.0,10.1,0.0,39.6,39.6
2021-09-19,GA,13129,26.7,26.4,9.9,0,26.9,26.7
2021-09-26,GA,13129,23.4,23.1,9.7,0.0,23.4,23.4
2021-10-03,GA,13129,14.7,14.0,9.3,0.0,14.7,14.7
2021-10-10,GA,13129,18.0,17.0,9.7,0.0,18.0,18.0
2021-10-17,GA,13129,13.4,12.4,9.4,0.0,13.4,13.4
2021-10-24,GA,13129,11.7,11.7,9.4,0.0,11.7,11.7
2021-10-31,GA,13129,8.7,8.4,8.7,0.0,8.7,8.7
2021-11-07,GA,13129,4.1,4.1,8.6,0.0,4.1,4.1
2021-11-14,GA,13129,0,0,7.7,0.0,0,0.0
2021-11-21,GA,13129,0,0,8.0,0.0,0,0.0
2021-11-28,GA,13129,4.0,4.0,8.3,0.0,4.0,4.0
2021-12-05,GA,13129,6.3,6.3,9.3,0.0,6.3,6.3
2021-12-12,GA,13129,5.7,5.6,9.4,0.0,5.7,5.7
2021-12-19,GA,13129,0,0,9.0,0.0,0,0.0
2021-12-26,GA,13129,9.0,9.0,9.1,0.0,9.0,9.0
