collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,GA,13135,41.7,40.0,20.7,0.0,156.7,41.7
2020-08-09,GA,13135,34.4,34.0,20.0,0,139.3,34.4
2020-08-16,GA,13135,40.3,39.1,23.1,0.0,129.3,40.3
2020-08-23,GA,13135,32.3,31.4,21.7,0.0,106.6,32.3
2020-08-30,GA,13135,82.19999999999999,66.9,102.7,0.0,87.9,82.19999999999999
2020-09-06,GA,13135,65.1,51.4,87.19999999999999,0.0,65.4,65.1
2020-09-13,GA,13135,57.1,44.2,67.1,0.0,57.4,57.1
2020-09-20,GA,13135,53.9,45.6,56.0,0.0,54.4,53.9
2020-09-27,GA,13135,46.7,42.1,58.0,0.0,47.0,46.7
2020-10-04,GA,13135,61.400000000000006,56.4,58.5,0.0,62.0,61.400000000000006
2020-10-11,GA,13135,59.5,55.900000000000006,55.7,0.0,59.5,59.5
2020-10-18,GA,13135,62.0,58.0,58.699999999999996,0.0,62.5,62.0
2020-10-25,GA,13135,62.800000000000004,59.7,64.19999999999999,0.0,63.2,62.800000000000004
2020-11-01,GA,13135,77.69999999999999,71.6,67.4,0.0,77.69999999999999,77.69999999999999
2020-11-08,GA,13135,81.3,73.8,56.3,0.0,81.3,81.3
2020-11-15,GA,13135,105.6,98.4,52.1,0.0,105.6,105.6
2020-11-22,GA,13135,121.5,118.19999999999999,45.6,0.0,121.80000000000001,121.5
2020-11-29,GA,13135,130.10000000000002,125.6,57.0,0.0,130.7,130.10000000000002
2020-12-06,GA,13135,160.0,154.8,62.0,0.0,160.6,160.0
2020-12-13,GA,13135,189.6,183.7,65.10000000000001,0.0,190.1,189.6
2020-12-20,GA,13135,264.1,258.5,67.4,0.0,264.1,264.1
2020-12-27,GA,13135,285.7,280.6,68.69999999999999,0.0,286.29999999999995,285.7
2021-01-03,GA,13135,330.9,323.1,67.1,0.0,331.9,330.9
2021-01-10,GA,13135,380.6,371.7,71.9,0.0,381.40000000000003,380.6
2021-01-17,GA,13135,374.7,367.0,74.9,0.0,376.4,374.7
2021-01-24,GA,13135,334.2,329.3,69.6,0.0,334.7,334.2
2021-01-31,GA,13135,271.70000000000005,266.7,75.4,0.0,272.1,271.70000000000005
2021-02-07,GA,13135,215.4,211.10000000000002,72.69999999999999,0.0,215.70000000000002,215.4
2021-02-14,GA,13135,179.8,174.39999999999998,68.2,0.0,180.39999999999998,179.8
2021-02-21,GA,13135,150.9,145.70000000000002,62.1,0.0,151.8,150.9
2021-02-28,GA,13135,122.29999999999998,112.8,60.199999999999996,0.0,123.1,122.29999999999998
2021-03-07,GA,13135,116.19999999999999,111.3,63.4,0.0,116.6,116.19999999999999
2021-03-14,GA,13135,94.10000000000001,88.7,57.7,0.0,94.50000000000001,94.10000000000001
2021-03-21,GA,13135,92.8,88.3,64.80000000000001,0.0,93.10000000000001,92.8
2021-03-28,GA,13135,66.3,62.5,57.5,0.0,66.7,66.3
2021-04-04,GA,13135,66.7,61.0,52.8,0.0,66.7,66.7
2021-04-11,GA,13135,82.2,75.5,56.900000000000006,0.0,82.7,82.2
