collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,GA,13151,73.3,73.3,0.0,0.0,80.1,73.3
2020-08-09,GA,13151,67.7,67.7,0.0,0.0,72.7,67.7
2020-08-16,GA,13151,55.1,55.1,0.0,0,59.7,55.1
2020-08-23,GA,13151,35.1,35.1,0.0,0.0,38.6,35.1
2020-08-30,GA,13151,30.9,30.7,32.3,0.0,32.0,30.9
2020-09-06,GA,13151,24.6,24.1,31.7,0.0,24.6,24.6
2020-09-13,GA,13151,21.7,21.1,28.9,0.0,21.7,21.7
2020-09-20,GA,13151,25.7,25.4,31.0,0.0,25.7,25.7
2020-09-27,GA,13151,21.7,21.3,30.7,0.0,21.7,21.7
2020-10-04,GA,13151,18.3,17.7,32.9,0.0,18.3,18.3
2020-10-11,GA,13151,25.3,24.9,33.9,0.0,25.3,25.3
2020-10-18,GA,13151,28.3,27.9,34.7,0.0,28.3,28.3
2020-10-25,GA,13151,27.1,27.0,33.9,0.0,26.9,27.1
2020-11-01,GA,13151,33.7,33.6,34.1,0.0,32.1,33.7
2020-11-08,GA,13151,35.3,35.0,31.3,0.0,35.3,35.3
2020-11-15,GA,13151,30.3,29.7,35.4,0.0,30.3,30.3
2020-11-22,GA,13151,33.9,32.6,33.4,0.0,33.9,33.9
2020-11-29,GA,13151,52.0,51.7,35.6,0.0,52.0,52.0
2020-12-06,GA,13151,64.0,63.3,36.3,0.0,64.0,64.0
2020-12-13,GA,13151,76.6,76.0,34.3,0.0,76.6,76.6
2020-12-20,GA,13151,73.7,72.7,31.7,0.0,73.7,73.7
2020-12-27,GA,13151,87.1,86.6,34.1,0,87.3,87.1
2021-01-03,GA,13151,105.6,105.1,35.4,0.0,105.6,105.6
2021-01-10,GA,13151,119.3,118.7,35.9,0,119.4,119.3
2021-01-17,GA,13151,128.0,127.0,34.9,0,128.3,128.0
2021-01-24,GA,13151,118.3,118.0,33.4,0,119.3,118.3
2021-01-31,GA,13151,103.4,103.1,34.6,0,104.1,103.4
2021-02-07,GA,13151,84.7,84.6,35.9,0.0,84.7,84.7
2021-02-14,GA,13151,71.1,70.4,34.9,0.0,71.1,71.1
2021-02-21,GA,13151,49.1,49.0,32.1,0,49.3,49.1
2021-02-28,GA,13151,45.6,45.6,34.3,0.0,45.6,45.6
2021-03-07,GA,13151,44.3,43.3,32.7,0.0,44.3,44.3
2021-03-14,GA,13151,34.1,34.0,28.6,0.0,34.1,34.1
2021-03-21,GA,13151,30.3,29.9,34.4,0,30.4,30.3
2021-03-28,GA,13151,30.6,30.1,32.1,0,30.7,30.6
2021-04-04,GA,13151,37.4,36.7,27.6,0.0,37.4,37.4
2021-04-11,GA,13151,39.3,38.3,31.9,0,39.4,39.3
2021-04-18,GA,13151,33.7,33.1,32.1,0.0,33.7,33.7
2021-04-25,GA,13151,21.1,21.0,33.0,0.0,21.1,21.1
2021-05-02,GA,13151,22.4,22.1,33.6,0.0,22.4,22.4
2021-05-09,GA,13151,19.0,18.9,27.1,0,19.1,19.0
2021-05-16,GA,13151,21.3,21.1,30.1,0.0,21.3,21.3
2021-05-23,GA,13151,20.7,20.3,27.4,0.0,20.7,20.7
2021-05-30,GA,13151,12.4,11.6,30.0,0,12.6,12.4
2021-06-06,GA,13151,11.9,11.9,33.3,0,12.0,11.9
2021-06-13,GA,13151,10.0,9.4,29.0,0.0,10.0,10.0
2021-06-20,GA,13151,9.3,8.4,27.0,0.0,9.3,9.3
2021-06-27,GA,13151,7.7,7.7,27.4,0,7.9,7.7
2021-07-04,GA,13151,11.1,11.0,29.4,0,11.3,11.1
2021-07-11,GA,13151,17.4,17.4,31.1,0,17.6,17.4
2021-07-18,GA,13151,32.7,32.0,33.6,0,32.9,32.7
2021-07-25,GA,13151,48.7,47.7,32.7,0,49.3,48.7
2021-08-01,GA,13151,61.9,61.4,31.9,0,62.0,61.9
