collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,GA,13153,83.3,38.9,0,0.0,83.3,83.3
2020-08-09,GA,13153,66.1,37.3,0,0.0,66.1,66.1
2020-08-16,GA,13153,64.2,42.0,0,0.0,64.2,64.2
2020-08-23,GA,13153,55.8,34.0,0,0.0,55.8,55.8
2020-08-30,GA,13153,52.1,28.3,0,0.0,52.1,52.1
2020-09-06,GA,13153,48.5,22.7,30.5,0.0,48.5,48.5
2020-09-20,GA,13153,33.8,16.7,26.2,0.0,34.0,33.8
2020-09-27,GA,13153,26.7,16.6,29.1,0.0,26.9,26.7
2020-10-04,GA,13153,22.3,16.0,31.1,0.0,22.3,22.3
2020-10-11,GA,13153,23.9,19.6,29.0,0.0,24.0,23.9
2020-10-18,GA,13153,26.9,24.4,31.6,0.0,26.9,26.9
2020-10-25,GA,13153,38.4,34.0,31.4,0.0,38.4,38.4
2020-11-01,GA,13153,32.1,27.7,31.3,0.0,32.1,32.1
2020-11-08,GA,13153,25.6,22.3,31.0,0.0,25.6,25.6
2020-11-15,GA,13153,18.6,15.6,27.6,0.0,18.6,18.6
2020-11-22,GA,13153,23.0,19.4,29.7,0.0,23.0,23.0
2020-11-29,GA,13153,35.7,33.3,31.7,0.0,35.7,35.7
2020-12-06,GA,13153,44.4,41.3,31.7,0.0,44.4,44.4
2020-12-13,GA,13153,56.7,54.4,31.7,0.0,56.9,56.7
2020-12-20,GA,13153,74.9,71.4,32.0,0.0,74.9,74.9
2020-12-27,GA,13153,99.10000000000001,94.0,32.0,0.0,99.10000000000001,99.10000000000001
2021-01-03,GA,13153,134.4,123.8,36.0,0.0,134.4,134.4
2021-01-10,GA,13153,123.0,111.0,37.7,0.0,123.0,123.0
2021-01-17,GA,13153,117.5,104.4,36.6,0.0,117.5,117.5
2021-01-24,GA,13153,104.10000000000001,86.6,40.1,0.0,104.10000000000001,104.10000000000001
2021-01-31,GA,13153,83.69999999999999,71.8,39.1,0.0,83.69999999999999,83.69999999999999
2021-02-07,GA,13153,58.6,54.3,32.9,0.0,58.6,58.6
2021-02-14,GA,13153,47.0,44.6,30.4,0.0,47.0,47.0
2021-02-21,GA,13153,38.099999999999994,32.5,35.3,0.0,38.099999999999994,38.099999999999994
2021-02-28,GA,13153,24.0,23.0,29.7,0.0,24.0,24.0
2021-03-07,GA,13153,23.7,21.3,24.4,0.0,23.7,23.7
2021-03-14,GA,13153,22.1,20.7,27.0,0.0,22.1,22.1
2021-03-21,GA,13153,21.0,20.1,27.6,0.0,21.0,21.0
2021-03-28,GA,13153,18.1,16.9,26.9,0.0,18.1,18.1
2021-04-04,GA,13153,18.4,18.0,30.4,0.0,18.4,18.4
2021-04-11,GA,13153,16.0,15.6,27.7,0.0,16.0,16.0
2021-04-18,GA,13153,14.3,12.1,29.0,0.0,14.3,14.3
2021-04-25,GA,13153,18.3,16.0,31.0,0.0,18.3,18.3
2021-05-02,GA,13153,19.3,17.6,28.9,0.0,19.3,19.3
2021-05-09,GA,13153,25.0,24.1,30.3,0.0,25.0,25.0
2021-05-16,GA,13153,22.0,20.7,30.9,0.0,22.0,22.0
2021-05-23,GA,13153,9.4,8.9,31.1,0.0,9.4,9.4
2021-05-30,GA,13153,9.0,8.4,26.9,0.0,9.0,9.0
2021-06-06,GA,13153,5.7,5.1,24.6,0.0,5.7,5.7
2021-06-13,GA,13153,4.6,4.1,26.0,0.0,4.6,4.6
2021-06-20,GA,13153,4.7,4.5,25.8,0.0,4.7,4.7
2021-06-27,GA,13153,8.0,7.3,26.2,0.0,8.0,8.0
2021-07-04,GA,13153,5.6,5.6,29.7,0.0,5.6,5.6
2021-07-11,GA,13153,13.0,11.7,29.9,0.0,13.0,13.0
2021-07-18,GA,13153,19.6,19.1,31.1,0.0,19.6,19.6
2021-07-25,GA,13153,34.9,33.7,31.0,0.0,35.0,34.9
2021-08-01,GA,13153,64.4,63.1,31.9,0.0,64.4,64.4
2021-08-08,GA,13153,81.7,81.4,32.0,0.0,81.7,81.7
2021-08-15,GA,13153,114.2,112.8,51.7,0.0,114.2,114.2
2021-08-22,GA,13153,133.7,133.4,64.9,0.0,133.7,133.7
2021-08-29,GA,13153,134.2,132.3,89.8,0.0,134.2,134.2
2021-09-05,GA,13153,131.1,126.0,92.2,0.0,131.1,131.1
2021-09-12,GA,13153,111.89999999999999,107.19999999999999,80.60000000000001,0.0,111.89999999999999,111.89999999999999
2021-09-19,GA,13153,79.3,77.6,61.4,0.0,79.3,79.3
2021-09-26,GA,13153,44.0,43.1,51.5,0.0,44.0,44.0
2021-10-03,GA,13153,30.0,29.6,44.6,0.0,30.0,30.0
2021-10-10,GA,13153,14.0,13.8,42.6,0.0,14.0,14.0
2021-10-17,GA,13153,14.3,13.1,34.1,0.0,14.3,14.3
2021-10-24,GA,13153,11.0,9.4,28.3,0.0,11.0,11.0
2021-10-31,GA,13153,8.1,6.7,29.3,0.0,8.1,8.1
2021-11-07,GA,13153,7.4,6.1,32.4,0.0,7.4,7.4
2021-11-14,GA,13153,7.3,6.7,27.1,0.0,7.3,7.3
2021-11-21,GA,13153,7.1,6.4,23.9,0.0,7.1,7.1
2021-11-28,GA,13153,5.7,5.1,31.6,0.0,5.7,5.7
2021-12-05,GA,13153,9.9,7.3,29.4,0.0,10.3,9.9
2021-12-12,GA,13153,5.4,4.4,33.7,0.0,5.4,5.4
2021-12-19,GA,13153,6.3,5.0,30.4,0.0,6.3,6.3
2021-12-26,GA,13153,18.6,14.4,27.0,0.0,18.7,18.6
