collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,GA,13175,40.9,40.3,17.4,0,41.1,40.9
2020-08-09,GA,13175,39.7,38.6,16.9,0.0,39.7,39.7
2020-08-16,GA,13175,37.9,36.9,16.6,0.0,37.9,37.9
2020-08-23,GA,13175,27.0,27.0,15.6,0.0,27.0,27.0
2020-08-30,GA,13175,18.1,17.7,16.4,0.0,18.1,18.1
2020-09-06,GA,13175,24.9,24.4,15.7,0.0,24.9,24.9
2020-09-13,GA,13175,25.6,24.9,15.7,0.0,25.6,25.6
2020-09-20,GA,13175,24.9,23.7,16.1,0,25.0,24.9
2020-09-27,GA,13175,25.0,23.4,16.9,0.0,25.0,25.0
2020-10-04,GA,13175,27.0,26.0,17.4,0,27.6,27.0
2020-10-11,GA,13175,26.7,26.4,15.6,0.0,26.7,26.7
2020-10-18,GA,13175,29.4,29.1,16.3,0.0,29.4,29.4
2020-10-25,GA,13175,24.4,23.9,16.3,0.0,24.4,24.4
2020-11-01,GA,13175,23.4,22.9,16.4,0.0,23.4,23.4
2020-11-08,GA,13175,20.7,20.1,14.4,0.0,20.7,20.7
2020-11-15,GA,13175,22.3,22.0,14.6,0.0,22.3,22.3
2020-11-22,GA,13175,21.6,20.1,14.0,0.0,21.6,21.6
2020-11-29,GA,13175,25.6,25.3,14.7,0.0,25.6,25.6
2020-12-06,GA,13175,19.6,19.1,14.4,0,20.0,19.6
2020-12-13,GA,13175,22.1,20.9,16.4,0.0,22.1,22.1
2020-12-20,GA,13175,25.3,23.6,17.0,0,25.6,25.3
2020-12-27,GA,13175,35.6,34.3,17.3,0.0,35.6,35.6
2021-01-03,GA,13175,37.3,36.1,17.3,0,37.6,37.3
2021-01-10,GA,13175,46.0,45.0,17.0,0.0,46.0,46.0
2021-01-17,GA,13175,40.0,38.6,16.7,0.0,40.0,40.0
2021-01-24,GA,13175,36.9,35.7,16.3,0.0,36.9,36.9
2021-01-31,GA,13175,29.7,29.3,16.0,0.0,29.7,29.7
2021-02-07,GA,13175,20.4,19.6,16.9,0.0,20.4,20.4
2021-02-14,GA,13175,12.1,11.9,12.9,0.0,12.1,12.1
2021-02-21,GA,13175,8.1,7.9,15.1,0.0,8.1,8.1
2021-02-28,GA,13175,6.6,6.4,14.7,0.0,6.6,6.6
2021-03-07,GA,13175,7.6,7.4,15.1,0.0,7.6,7.6
2021-03-14,GA,13175,6.6,6.4,14.3,0,6.7,6.6
2021-03-21,GA,13175,6.6,6.4,15.3,0.0,6.6,6.6
2021-03-28,GA,13175,7.3,7.3,12.9,0.0,7.3,7.3
2021-04-04,GA,13175,4.0,0,14.4,0.0,4.0,4.0
2021-04-11,GA,13175,0,0,14.4,0.0,0,0.0
2021-04-18,GA,13175,0,0,12.7,0.0,0,0.0
2021-04-25,GA,13175,0,0,15.0,0.0,0,0.0
2021-05-02,GA,13175,0,0,15.6,0,0,0.0
2021-05-09,GA,13175,6.4,6.3,15.0,0.0,6.4,6.4
2021-05-16,GA,13175,10.4,10.0,16.3,0.0,10.4,10.4
2021-05-23,GA,13175,7.3,7.3,15.3,0.0,7.3,7.3
2021-05-30,GA,13175,5.1,5.1,14.6,0.0,5.1,5.1
2021-06-06,GA,13175,4.1,4.1,15.7,0.0,4.1,4.1
2021-06-13,GA,13175,0,0,15.4,0.0,0,0.0
2021-06-20,GA,13175,0,0,14.7,0.0,0,0.0
2021-06-27,GA,13175,0,0,15.3,0.0,0,0.0
2021-07-04,GA,13175,4.0,0,16.1,0.0,4.0,4.0
2021-07-11,GA,13175,9.0,8.9,16.7,0,9.1,9.0
2021-07-18,GA,13175,12.6,12.1,17.7,0,12.9,12.6
2021-07-25,GA,13175,21.6,21.3,17.0,0,21.9,21.6
2021-08-01,GA,13175,29.6,28.7,18.7,0,30.1,29.6
2021-08-08,GA,13175,44.3,42.9,24.7,0,45.6,44.3
2021-08-15,GA,13175,50.9,50.6,23.0,0,51.1,50.9
2021-08-22,GA,13175,59.3,58.1,20.1,0.0,59.3,59.3
2021-08-29,GA,13175,58.1,57.1,22.4,0,58.4,58.1
2021-09-05,GA,13175,50.1,49.1,26.0,0,51.0,50.1
2021-09-12,GA,13175,48.0,47.3,25.4,0.0,48.0,48.0
2021-09-19,GA,13175,45.1,44.1,26.7,0,45.3,45.1
2021-09-26,GA,13175,36.7,35.6,24.7,0,37.0,36.7
2021-10-03,GA,13175,29.0,28.7,22.0,0,29.3,29.0
2021-10-10,GA,13175,23.1,23.1,21.1,0.0,23.1,23.1
2021-10-17,GA,13175,20.4,20.3,21.1,0.0,20.4,20.4
2021-10-24,GA,13175,14.0,13.9,18.3,0.0,14.0,14.0
2021-10-31,GA,13175,10.9,10.7,16.4,0.0,10.9,10.9
2021-11-07,GA,13175,9.0,8.4,16.0,0.0,9.0,9.0
2021-11-14,GA,13175,6.9,6.7,15.9,0.0,6.9,6.9
2021-11-21,GA,13175,8.6,8.0,16.0,0.0,8.6,8.6
2021-11-28,GA,13175,5.9,5.9,15.7,0.0,5.9,5.9
2021-12-05,GA,13175,5.3,5.3,17.0,0.0,5.3,5.3
2021-12-12,GA,13175,4.4,4.4,17.9,0.0,4.4,4.4
2021-12-19,GA,13175,5.1,5.1,19.0,0.0,5.1,5.1
2021-12-26,GA,13175,8.4,8.3,17.3,0.0,8.4,8.4
