collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,GA,13217,21.3,21.3,10.0,0,21.6,21.3
2020-08-09,GA,13217,16.7,16.7,10.0,0,17.0,16.7
2020-08-16,GA,13217,16.6,16.4,10.0,0,17.2,16.6
2020-08-23,GA,13217,12.3,12.0,10.0,0,12.5,12.3
2020-08-30,GA,13217,10.2,9.8,8.5,0.0,10.2,10.2
2020-09-06,GA,13217,12.7,10.6,8.3,0.0,12.7,12.7
2020-09-13,GA,13217,5.9,5.4,8.6,0.0,5.9,5.9
2020-09-20,GA,13217,0,0,0,0.0,0,0.0
2020-09-27,GA,13217,6.7,6.4,5.0,0.0,6.7,6.7
2020-10-04,GA,13217,0,0,5.7,0,0,0.0
2020-10-11,GA,13217,5.3,5.3,8.1,0,5.4,5.3
2020-10-18,GA,13217,6.6,6.4,7.4,0,6.9,6.6
2020-10-25,GA,13217,9.1,9.1,7.4,0,9.4,9.1
2020-11-01,GA,13217,10.9,10.9,8.3,0.0,10.9,10.9
2020-11-08,GA,13217,11.9,11.7,9.6,0.0,11.9,11.9
2020-11-15,GA,13217,8.9,8.9,9.6,0.0,8.9,8.9
2020-11-22,GA,13217,10.4,10.4,8.1,0.0,10.4,10.4
2020-11-29,GA,13217,14.4,14.4,9.3,0.0,14.4,14.4
2020-12-06,GA,13217,20.1,19.9,9.0,0.0,20.1,20.1
2020-12-13,GA,13217,25.1,24.7,9.9,0,25.3,25.1
2020-12-20,GA,13217,22.9,22.3,9.7,0,23.4,22.9
2020-12-27,GA,13217,25.6,25.6,10.0,0,25.9,25.6
2021-01-03,GA,13217,30.4,30.3,9.7,0.0,30.4,30.4
2021-01-10,GA,13217,37.1,37.1,12.0,0,37.4,37.1
2021-01-17,GA,13217,35.6,35.4,17.4,0,35.9,35.6
2021-01-24,GA,13217,32.0,32.0,16.1,0,32.3,32.0
2021-01-31,GA,13217,22.1,22.1,18.0,0.0,22.1,22.1
2021-02-07,GA,13217,20.1,20.1,16.6,0.0,20.1,20.1
2021-02-14,GA,13217,18.0,18.0,14.6,0.0,18.0,18.0
2021-02-21,GA,13217,13.9,13.9,16.1,0,14.1,13.9
2021-02-28,GA,13217,12.4,12.1,13.9,0,12.7,12.4
2021-03-07,GA,13217,13.4,13.4,12.9,0,13.6,13.4
2021-03-14,GA,13217,13.0,13.0,14.6,0,13.1,13.0
2021-03-21,GA,13217,12.4,12.4,15.1,0.0,12.4,12.4
2021-03-28,GA,13217,13.7,13.7,14.7,0.0,13.7,13.7
2021-04-04,GA,13217,13.3,13.3,13.4,0,13.7,13.3
2021-04-11,GA,13217,9.4,9.3,14.0,0.0,9.4,9.4
2021-04-18,GA,13217,10.7,10.4,16.7,0.0,10.7,10.7
2021-04-25,GA,13217,13.3,13.1,16.4,0.0,13.3,13.3
2021-05-02,GA,13217,10.7,10.3,15.0,0,10.9,10.7
2021-05-09,GA,13217,6.0,5.9,13.9,0.0,6.0,6.0
2021-05-16,GA,13217,7.0,7.0,9.1,0,7.3,7.0
2021-05-23,GA,13217,0,0,8.6,0,0,0.0
2021-05-30,GA,13217,0,0,8.3,0.0,0,0.0
2021-06-06,GA,13217,0,0,9.6,0.0,0,0.0
2021-06-13,GA,13217,4.7,4.1,8.4,0.0,4.7,4.7
2021-06-20,GA,13217,6.7,6.4,8.6,0.0,6.7,6.7
2021-06-27,GA,13217,0,0,5.1,0.0,0,0.0
2021-07-04,GA,13217,0,0,4.6,0.0,0,0.0
2021-07-11,GA,13217,5.0,4.7,7.7,0,5.1,5.0
2021-07-18,GA,13217,10.6,10.6,8.3,0,11.0,10.6
2021-07-25,GA,13217,15.3,15.0,9.6,0,15.6,15.3
2021-08-01,GA,13217,19.7,19.7,10.0,0,19.9,19.7
2021-08-08,GA,13217,26.0,25.7,10.7,0,27.0,26.0
2021-08-15,GA,13217,32.7,32.6,17.4,0,33.7,32.7
2021-08-22,GA,13217,45.4,45.4,17.9,0,45.9,45.4
2021-08-29,GA,13217,47.1,47.1,17.6,0.0,47.1,47.1
2021-09-05,GA,13217,47.4,47.4,17.9,0,48.1,47.4
2021-09-12,GA,13217,39.6,39.6,18.4,0,40.0,39.6
2021-09-19,GA,13217,33.0,33.0,17.3,0,33.4,33.0
2021-09-26,GA,13217,28.9,28.9,16.4,0,29.9,28.9
2021-10-03,GA,13217,27.1,27.0,17.1,0,28.1,27.1
2021-10-10,GA,13217,23.4,23.4,16.1,0,24.0,23.4
2021-10-17,GA,13217,20.3,20.3,13.9,0,20.4,20.3
2021-10-24,GA,13217,14.9,14.9,15.9,0.0,14.9,14.9
2021-10-31,GA,13217,12.7,12.6,15.4,0,12.9,12.7
2021-11-07,GA,13217,9.4,9.4,16.7,0.0,9.4,9.4
2021-11-14,GA,13217,6.3,6.3,15.9,0.0,6.3,6.3
2021-11-21,GA,13217,0,0,15.1,0.0,0,0.0
2021-11-28,GA,13217,4.6,4.6,15.3,0.0,4.6,4.6
2021-12-05,GA,13217,6.1,6.1,16.9,0.0,6.1,6.1
2021-12-12,GA,13217,8.1,8.0,16.1,0,8.6,8.1
2021-12-19,GA,13217,9.1,9.1,16.9,0,9.7,9.1
2021-12-26,GA,13217,24.0,24.0,16.6,0,24.1,24.0
