collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,GA,13247,0,0,0.0,0,33.6,0.0
2020-08-09,GA,13247,0,0,0.0,0,28.6,0.0
2020-08-16,GA,13247,0,0,0.0,0,21.6,0.0
2020-08-23,GA,13247,0,0,0.0,0,16.1,0.0
2020-08-30,GA,13247,17.7,16.0,12.3,0.0,15.3,17.7
2020-09-06,GA,13247,14.7,14.1,12.1,0,15.0,14.7
2020-09-13,GA,13247,15.1,14.9,10.4,0,15.4,15.1
2020-09-20,GA,13247,11.9,11.6,13.3,0,12.0,11.9
2020-09-27,GA,13247,8.9,8.3,10.1,0.0,8.9,8.9
2020-10-04,GA,13247,8.7,8.6,8.4,0,8.9,8.7
2020-10-11,GA,13247,11.4,11.4,10.1,0,11.6,11.4
2020-10-18,GA,13247,18.9,18.4,10.0,0,19.1,18.9
2020-10-25,GA,13247,19.1,18.9,11.3,0,19.4,19.1
2020-11-01,GA,13247,21.7,21.4,12.9,0.0,21.7,21.7
2020-11-08,GA,13247,23.3,23.3,9.4,0,23.4,23.3
2020-11-15,GA,13247,24.1,23.9,12.1,0.0,24.1,24.1
2020-11-22,GA,13247,15.3,14.9,11.1,0,15.4,15.3
2020-11-29,GA,13247,24.6,24.3,9.6,0.0,24.6,24.6
2020-12-06,GA,13247,27.7,27.4,12.7,0,28.0,27.7
2020-12-13,GA,13247,32.7,32.6,13.4,0,33.0,32.7
2020-12-20,GA,13247,38.1,37.7,13.1,0,38.6,38.1
2020-12-27,GA,13247,42.9,42.9,14.0,0,43.0,42.9
2021-01-03,GA,13247,51.6,51.4,11.9,0,51.7,51.6
2021-01-10,GA,13247,61.4,61.1,13.4,0,61.6,61.4
2021-01-17,GA,13247,58.1,57.6,12.7,0.0,58.1,58.1
2021-01-24,GA,13247,55.0,55.0,14.9,0,55.1,55.0
2021-01-31,GA,13247,44.1,44.1,12.0,0,44.6,44.1
2021-02-07,GA,13247,38.7,38.4,13.1,0,38.9,38.7
2021-02-14,GA,13247,19.1,19.0,8.6,0.0,19.1,19.1
2021-02-21,GA,13247,14.9,14.3,7.6,0.0,14.9,14.9
2021-02-28,GA,13247,17.6,17.6,9.6,0,17.9,17.6
2021-03-07,GA,13247,14.3,14.0,11.9,0.0,14.3,14.3
2021-03-14,GA,13247,16.7,16.1,12.7,0.0,16.7,16.7
2021-03-21,GA,13247,12.4,12.0,10.9,0,12.7,12.4
2021-03-28,GA,13247,13.3,13.3,7.9,0.0,13.3,13.3
2021-04-04,GA,13247,14.7,14.6,10.6,0,14.9,14.7
2021-04-11,GA,13247,17.0,16.6,10.6,0.0,17.0,17.0
2021-04-18,GA,13247,14.0,14.0,13.4,0.0,14.0,14.0
2021-04-25,GA,13247,12.1,11.7,8.9,0,12.3,12.1
2021-05-02,GA,13247,16.3,16.0,12.1,0,16.4,16.3
2021-05-09,GA,13247,17.3,17.3,12.0,0,17.4,17.3
2021-05-16,GA,13247,14.0,14.0,12.7,0,14.3,14.0
2021-05-23,GA,13247,12.1,12.1,13.7,0,12.3,12.1
2021-05-30,GA,13247,11.0,11.0,11.1,0,11.1,11.0
2021-06-06,GA,13247,6.0,5.7,12.7,0.0,6.0,6.0
2021-06-13,GA,13247,0,0,10.4,0,0,0.0
2021-06-20,GA,13247,0,0,12.7,0.0,0,0.0
2021-06-27,GA,13247,0,0,11.9,0.0,0,0.0
2021-07-04,GA,13247,0,0,12.3,0,0,0.0
2021-07-11,GA,13247,8.4,8.3,10.3,0.0,8.4,8.4
2021-07-18,GA,13247,9.0,9.0,11.4,0,9.3,9.0
2021-07-25,GA,13247,14.4,14.1,11.1,0,14.7,14.4
2021-08-01,GA,13247,31.6,31.1,12.3,0,32.1,31.6
2021-08-08,GA,13247,40.1,39.7,14.1,0,41.3,40.1
2021-08-15,GA,13247,49.6,49.1,16.0,0,50.7,49.6
2021-08-22,GA,13247,58.9,58.7,17.6,0,59.6,58.9
2021-08-29,GA,13247,58.6,58.6,17.1,0,59.7,58.6
2021-09-05,GA,13247,52.9,52.9,17.6,0,54.4,52.9
2021-09-12,GA,13247,46.4,46.3,15.9,0,46.7,46.4
2021-09-19,GA,13247,39.7,39.3,16.1,0,41.0,39.7
2021-09-26,GA,13247,37.7,37.4,13.1,0,37.9,37.7
2021-10-03,GA,13247,42.7,42.0,11.3,0,42.9,42.7
2021-10-10,GA,13247,31.6,31.6,11.3,0.0,31.6,31.6
2021-10-17,GA,13247,25.4,25.1,11.3,0,26.0,25.4
2021-10-24,GA,13247,25.4,24.9,13.1,0.0,25.4,25.4
2021-10-31,GA,13247,15.9,15.6,14.6,0,16.7,15.9
2021-11-07,GA,13247,14.0,14.0,13.1,0,14.3,14.0
2021-11-14,GA,13247,12.1,11.7,12.6,0.0,12.1,12.1
2021-11-21,GA,13247,11.0,10.7,15.1,0.0,11.0,11.0
2021-11-28,GA,13247,12.7,12.6,12.7,0.0,12.7,12.7
2021-12-05,GA,13247,13.7,13.3,15.0,0,13.9,13.7
2021-12-12,GA,13247,13.3,13.3,15.0,0,13.9,13.3
2021-12-19,GA,13247,16.6,16.6,14.9,0,17.1,16.6
2021-12-26,GA,13247,34.3,34.1,15.4,0,35.3,34.3
