collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,GA,13277,39.7,34.0,19.7,0.0,39.7,39.7
2020-08-09,GA,13277,30.5,25.0,18.7,0,30.6,30.5
2020-08-16,GA,13277,31.6,26.0,18.6,0,32.6,31.6
2020-08-23,GA,13277,21.1,15.3,18.3,0,21.3,21.1
2020-08-30,GA,13277,19.3,12.7,19.0,0,22.2,19.3
2020-09-06,GA,13277,24.0,19.3,19.1,0.0,24.0,24.0
2020-09-13,GA,13277,27.5,23.0,19.3,0,27.8,27.5
2020-09-20,GA,13277,30.4,25.0,19.0,0,30.6,30.4
2020-09-27,GA,13277,32.9,27.0,0,0.0,32.9,32.9
2020-10-04,GA,13277,30.7,26.2,0.0,0.0,30.7,30.7
2020-10-11,GA,13277,30.6,24.6,0.0,0.0,30.6,30.6
2020-10-18,GA,13277,21.0,16.3,8.0,0.0,21.0,21.0
2020-10-25,GA,13277,19.7,17.6,19.0,0.0,19.7,19.7
2020-11-01,GA,13277,16.9,14.0,18.3,0.0,16.9,16.9
2020-11-08,GA,13277,22.1,18.1,18.7,0,22.3,22.1
2020-11-15,GA,13277,28.4,25.6,18.7,0.0,28.4,28.4
2020-11-22,GA,13277,28.3,24.3,17.7,0.0,28.3,28.3
2020-11-29,GA,13277,42.0,37.0,19.1,0.0,42.0,42.0
2020-12-06,GA,13277,39.7,35.6,18.3,0.0,39.7,39.7
2020-12-13,GA,13277,43.0,39.6,18.1,0.0,43.0,43.0
2020-12-20,GA,13277,64.6,58.1,18.6,0.0,64.6,64.6
2020-12-27,GA,13277,78.4,73.3,19.4,0.0,78.4,78.4
2021-01-03,GA,13277,83.6,81.9,18.7,0.0,83.6,83.6
2021-01-10,GA,13277,83.0,80.0,19.6,0.0,83.0,83.0
2021-01-17,GA,13277,65.4,63.1,19.3,0.0,65.4,65.4
2021-01-24,GA,13277,49.9,48.9,17.9,0.0,49.9,49.9
2021-01-31,GA,13277,31.0,28.9,18.7,0,31.1,31.0
2021-02-07,GA,13277,22.1,20.0,18.1,0.0,22.1,22.1
