collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,GA,13291,17.3,12.6,4.6,0.0,17.3,17.3
2020-08-09,GA,13291,17.0,11.8,0,0.0,17.0,17.0
2020-08-16,GA,13291,10.6,8.9,0,0.0,10.6,10.6
2020-08-23,GA,13291,8.7,6.7,4.3,0.0,8.7,8.7
2020-08-30,GA,13291,7.6,5.4,0,0.0,7.6,7.6
2020-09-06,GA,13291,15.4,13.6,0,0.0,15.4,15.4
2020-09-13,GA,13291,12.1,8.6,0,0.0,12.1,12.1
2020-09-20,GA,13291,12.3,8.1,4.7,0,12.6,12.3
2020-09-27,GA,13291,11.3,7.3,0,0.0,11.3,11.3
2020-10-04,GA,13291,13.7,9.0,4.3,0.0,13.7,13.7
2020-10-11,GA,13291,12.7,8.7,0,0.0,12.7,12.7
2020-10-18,GA,13291,17.9,14.7,0,0.0,17.9,17.9
2020-10-25,GA,13291,8.4,6.6,0,0.0,8.4,8.4
2020-11-01,GA,13291,8.6,5.7,0,0,8.7,8.6
2020-11-08,GA,13291,12.1,8.7,0,0.0,12.1,12.1
2020-11-15,GA,13291,16.0,13.7,0,0.0,16.0,16.0
2020-11-22,GA,13291,12.9,8.3,4.3,0,16.1,12.9
2020-11-29,GA,13291,11.7,8.4,0,0,11.9,11.7
2020-12-06,GA,13291,16.9,13.7,4.1,0.0,16.9,16.9
2020-12-13,GA,13291,16.6,14.1,5.1,0.0,16.6,16.6
2020-12-20,GA,13291,15.4,10.9,5.1,0.0,15.4,15.4
2020-12-27,GA,13291,23.4,19.0,5.9,0.0,23.4,23.4
2021-01-03,GA,13291,28.3,22.4,6.1,0.0,28.3,28.3
2021-01-10,GA,13291,32.1,27.0,5.0,0.0,32.1,32.1
2021-01-17,GA,13291,25.4,20.7,4.9,0.0,25.4,25.4
2021-01-24,GA,13291,20.9,14.9,5.6,0.0,20.9,20.9
2021-01-31,GA,13291,12.7,8.3,4.3,0.0,12.7,12.7
2021-02-07,GA,13291,15.7,11.0,5.1,0.0,15.7,15.7
2021-02-14,GA,13291,11.7,9.4,4.9,0.0,11.7,11.7
2021-02-21,GA,13291,8.0,6.8,6.0,0.0,8.0,8.0
2021-02-28,GA,13291,6.0,5.3,4.0,0.0,6.0,6.0
2021-03-07,GA,13291,4.0,0,0,0.0,4.0,4.0
2021-03-14,GA,13291,0,0,0,0.0,0,0.0
2021-03-21,GA,13291,0,0,0,0.0,0,0.0
2021-03-28,GA,13291,6.7,0,0,0.0,6.7,6.7
2021-04-04,GA,13291,0,0,0,0.0,0,0.0
2021-04-11,GA,13291,6.1,0,0,0.0,6.1,6.1
2021-04-18,GA,13291,12.6,10.7,0,0.0,12.6,12.6
2021-04-25,GA,13291,11.7,10.1,0,0.0,11.7,11.7
2021-05-02,GA,13291,10.9,8.0,0,0.0,10.9,10.9
2021-05-09,GA,13291,6.1,0,0,0.0,6.1,6.1
2021-05-16,GA,13291,4.6,0,0,0.0,4.6,4.6
2021-05-23,GA,13291,6.7,0,4.6,0.0,6.7,6.7
2021-05-30,GA,13291,4.1,0,0,0.0,4.1,4.1
2021-06-06,GA,13291,0,0,4.7,0.0,0,0.0
2021-06-13,GA,13291,0,0,4.3,0.0,0,0.0
2021-06-20,GA,13291,4.5,0,0,0.0,4.5,4.5
2021-06-27,GA,13291,5.0,0,0,0.0,5.0,5.0
2021-07-04,GA,13291,0,0,0,0.0,0,0.0
2021-07-11,GA,13291,5.3,0,0,0.0,5.3,5.3
2021-07-18,GA,13291,8.3,5.7,0,0.0,8.3,8.3
2021-07-25,GA,13291,9.6,8.6,0,0.0,9.6,9.6
2021-08-01,GA,13291,14.4,14.1,4.1,0.0,14.4,14.4
2021-08-08,GA,13291,34.7,34.7,5.0,0.0,34.7,34.7
2021-08-15,GA,13291,37.1,37.1,7.1,0.0,37.1,37.1
2021-08-22,GA,13291,44.9,43.3,7.6,0.0,44.9,44.9
2021-08-29,GA,13291,52.6,52.6,7.7,0.0,52.6,52.6
2021-09-05,GA,13291,43.9,43.9,7.9,0,44.1,43.9
2021-09-12,GA,13291,38.4,38.1,7.1,0.0,38.4,38.4
2021-09-19,GA,13291,35.7,35.7,7.6,0.0,35.7,35.7
2021-09-26,GA,13291,31.9,31.9,4.1,0.0,31.9,31.9
2021-10-03,GA,13291,28.8,28.8,5.6,0.0,28.8,28.8
2021-10-10,GA,13291,15.0,15.0,4.8,0.0,15.0,15.0
2021-10-17,GA,13291,10.1,10.1,0,0.0,10.1,10.1
2021-10-24,GA,13291,4.7,4.7,0,0.0,4.7,4.7
2021-10-31,GA,13291,0,0,0,0.0,0,0.0
2021-11-07,GA,13291,0,0,0,0.0,0,0.0
2021-11-14,GA,13291,0,0,4.3,0.0,0,0.0
2021-11-21,GA,13291,0,0,0,0.0,0,0.0
2021-11-28,GA,13291,6.9,6.9,4.7,0.0,6.9,6.9
2021-12-05,GA,13291,11.3,11.3,5.6,0.0,11.3,11.3
2021-12-12,GA,13291,11.7,11.7,5.6,0.0,11.7,11.7
2021-12-19,GA,13291,11.9,11.9,0,0.0,11.9,11.9
2021-12-26,GA,13291,11.0,11.0,0,0.0,11.0,11.0
