collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,GA,13293,11.9,11.6,6.9,0.0,11.9,11.9
2020-08-09,GA,13293,9.7,9.4,6.0,0.0,9.7,9.7
2020-08-16,GA,13293,11.6,11.6,0,0.0,11.6,11.6
2020-08-23,GA,13293,12.3,12.3,0,0.0,12.3,12.3
2020-08-30,GA,13293,12.0,12.0,5.1,0.0,12.0,12.0
2020-09-06,GA,13293,8.7,8.7,6.1,0.0,8.7,8.7
2020-09-13,GA,13293,6.4,6.4,5.6,0.0,6.4,6.4
2020-09-20,GA,13293,6.4,6.4,6.2,0,6.6,6.4
2020-09-27,GA,13293,9.6,9.6,4.9,0.0,9.6,9.6
2020-10-04,GA,13293,8.0,7.9,4.0,0.0,8.0,8.0
2020-10-11,GA,13293,5.0,5.0,0,0.0,5.0,5.0
2020-10-18,GA,13293,0,0,4.6,0.0,0,0.0
2020-10-25,GA,13293,0,0,0,0.0,0,0.0
2020-11-01,GA,13293,0,0,5.3,0.0,0,0.0
2020-11-08,GA,13293,0,0,5.4,0.0,0,0.0
2020-11-15,GA,13293,6.4,6.4,5.3,0.0,6.4,6.4
2020-11-22,GA,13293,11.7,11.7,7.3,0,11.9,11.7
2020-11-29,GA,13293,11.4,11.4,7.0,0.0,11.4,11.4
2020-12-06,GA,13293,10.0,10.0,6.3,0.0,10.0,10.0
2020-12-13,GA,13293,10.3,10.3,6.4,0.0,10.3,10.3
2020-12-20,GA,13293,14.0,14.0,7.3,0.0,14.0,14.0
2020-12-27,GA,13293,22.4,22.4,10.0,0.0,22.4,22.4
2021-01-03,GA,13293,31.4,31.4,10.3,0.0,31.4,31.4
2021-01-10,GA,13293,28.7,28.7,9.6,0.0,28.7,28.7
2021-01-17,GA,13293,28.4,28.4,10.3,0.0,28.4,28.4
2021-01-24,GA,13293,24.0,24.0,10.3,0.0,24.0,24.0
2021-01-31,GA,13293,16.0,16.0,13.7,0.0,16.0,16.0
2021-02-07,GA,13293,12.1,12.1,9.7,0.0,12.1,12.1
2021-02-14,GA,13293,8.4,8.4,7.9,0.0,8.4,8.4
2021-02-21,GA,13293,7.9,7.9,4.7,0.0,7.9,7.9
2021-02-28,GA,13293,6.7,6.7,0,0.0,6.7,6.7
2021-03-07,GA,13293,4.4,4.4,4.4,0.0,4.4,4.4
2021-03-14,GA,13293,0,0,5.1,0.0,0,0.0
2021-03-21,GA,13293,0,0,0,0.0,0,0.0
2021-03-28,GA,13293,0,0,0,0.0,0,0.0
2021-04-04,GA,13293,0,0,5.0,0.0,0,0.0
2021-04-11,GA,13293,0,0,5.1,0.0,0,0.0
2021-04-18,GA,13293,0,0,5.9,0.0,0,0.0
2021-04-25,GA,13293,6.1,6.1,7.6,0.0,6.1,6.1
2021-05-02,GA,13293,6.7,6.7,6.3,0.0,6.7,6.7
2021-05-09,GA,13293,4.3,4.3,0,0.0,4.3,4.3
2021-05-16,GA,13293,0,0,5.9,0.0,0,0.0
2021-05-23,GA,13293,0,0,6.3,0.0,0,0.0
2021-05-30,GA,13293,0,0,7.3,0.0,0,0.0
2021-06-06,GA,13293,0,0,6.6,0.0,0,0.0
2021-06-13,GA,13293,0,0,4.6,0.0,0,0.0
2021-06-20,GA,13293,0,0,0,0.0,0,0.0
2021-06-27,GA,13293,0,0,0,0.0,0,0.0
2021-07-04,GA,13293,0,0,0,0.0,0,0.0
2021-07-11,GA,13293,0,0,0,0.0,0,0.0
2021-07-18,GA,13293,0,0,0,0.0,0,0.0
2021-07-25,GA,13293,7.4,7.4,6.4,0.0,7.4,7.4
2021-08-01,GA,13293,10.4,10.4,5.7,0.0,10.4,10.4
2021-08-08,GA,13293,20.9,20.9,5.7,0,21.1,20.9
2021-08-15,GA,13293,31.6,31.6,8.1,0.0,31.6,31.6
2021-08-22,GA,13293,29.7,29.7,8.6,0.0,29.7,29.7
2021-08-29,GA,13293,32.0,32.0,8.4,0.0,32.0,32.0
2021-09-05,GA,13293,33.3,33.3,8.6,0.0,33.3,33.3
2021-09-12,GA,13293,32.6,32.6,8.4,0.0,32.6,32.6
2021-09-19,GA,13293,24.9,24.9,7.9,0.0,24.9,24.9
2021-09-26,GA,13293,19.6,19.6,8.0,0.0,19.6,19.6
2021-10-03,GA,13293,14.7,14.7,6.1,0.0,14.7,14.7
2021-10-10,GA,13293,8.3,8.3,7.6,0.0,8.3,8.3
2021-10-17,GA,13293,4.6,4.6,5.1,0.0,4.6,4.6
2021-10-24,GA,13293,0,0,5.0,0.0,0,0.0
2021-10-31,GA,13293,0,0,8.0,0.0,0,0.0
2021-11-07,GA,13293,0,0,8.1,0,4.1,0.0
2021-11-14,GA,13293,0,0,8.0,0.0,0,0.0
2021-11-21,GA,13293,0,0,6.9,0.0,0,0.0
2021-11-28,GA,13293,0,0,4.7,0.0,0,0.0
2021-12-05,GA,13293,0,0,4.3,0.0,0,0.0
2021-12-12,GA,13293,0,0,4.7,0.0,0,0.0
2021-12-19,GA,13293,0,0,6.1,0.0,0,0.0
2021-12-26,GA,13293,6.7,6.7,5.1,0.0,6.7,6.7
