collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,GA,13299,24.3,20.9,10.7,0.0,24.3,24.3
2020-08-09,GA,13299,21.3,18.3,11.1,0.0,21.3,21.3
2020-08-16,GA,13299,24.1,22.6,11.0,0.0,24.1,24.1
2020-08-23,GA,13299,22.4,20.7,10.6,0.0,22.4,22.4
2020-08-30,GA,13299,23.6,22.9,10.0,0.0,23.6,23.6
2020-09-06,GA,13299,25.4,23.0,9.6,0.0,25.4,25.4
2020-09-13,GA,13299,26.0,24.6,11.1,0.0,26.0,26.0
2020-09-20,GA,13299,14.4,13.6,11.3,0.0,14.4,14.4
2020-09-27,GA,13299,16.6,15.9,11.3,0.0,16.6,16.6
2020-10-04,GA,13299,11.6,11.6,10.9,0.0,11.6,11.6
2020-10-11,GA,13299,8.1,7.0,10.6,0.0,8.1,8.1
2020-10-18,GA,13299,11.4,10.7,11.6,0.0,11.4,11.4
2020-10-25,GA,13299,10.3,9.1,9.6,0.0,10.3,10.3
2020-11-01,GA,13299,17.3,16.1,11.1,0.0,17.3,17.3
2020-11-08,GA,13299,15.3,14.4,11.0,0.0,15.3,15.3
2020-11-15,GA,13299,14.3,13.7,11.0,0.0,14.3,14.3
2020-11-22,GA,13299,10.0,8.9,11.0,0.0,10.0,10.0
2020-11-29,GA,13299,7.0,6.6,11.0,0.0,7.0,7.0
2020-12-06,GA,13299,14.3,13.7,10.7,0.0,14.3,14.3
2020-12-13,GA,13299,18.4,17.6,11.0,0.0,18.4,18.4
2020-12-20,GA,13299,25.0,24.0,10.6,0.0,25.0,25.0
2020-12-27,GA,13299,33.7,32.3,11.3,0.0,33.7,33.7
2021-01-03,GA,13299,38.3,37.7,11.7,0.0,38.3,38.3
2021-01-10,GA,13299,40.1,39.7,12.0,0.0,40.1,40.1
2021-01-17,GA,13299,39.6,38.7,11.6,0.0,39.6,39.6
2021-01-24,GA,13299,38.7,36.6,11.4,0.0,38.7,38.7
2021-01-31,GA,13299,30.9,30.1,11.4,0.0,30.9,30.9
2021-02-07,GA,13299,21.4,21.3,11.1,0.0,21.4,21.4
2021-02-14,GA,13299,18.9,17.9,10.3,0.0,18.9,18.9
2021-02-21,GA,13299,16.7,16.1,9.7,0.0,16.7,16.7
2021-02-28,GA,13299,13.3,12.9,9.6,0.0,13.3,13.3
2021-03-07,GA,13299,6.6,5.7,9.4,0.0,6.6,6.6
2021-03-14,GA,13299,6.6,6.1,10.0,0.0,6.6,6.6
2021-03-21,GA,13299,4.6,4.3,8.4,0.0,4.6,4.6
2021-03-28,GA,13299,0,0,7.1,0.0,0,0.0
2021-04-04,GA,13299,4.1,4.1,10.7,0.0,4.1,4.1
2021-04-11,GA,13299,5.7,5.4,10.7,0.0,5.7,5.7
2021-04-18,GA,13299,6.6,5.7,11.6,0.0,6.6,6.6
2021-04-25,GA,13299,5.7,5.6,10.9,0.0,5.7,5.7
2021-05-02,GA,13299,5.0,5.0,11.7,0.0,5.0,5.0
2021-05-09,GA,13299,6.4,5.7,10.7,0.0,6.4,6.4
2021-05-16,GA,13299,7.1,6.6,11.0,0.0,7.1,7.1
2021-05-23,GA,13299,6.0,5.7,11.6,0.0,6.0,6.0
2021-05-30,GA,13299,0,0,7.6,0.0,0,0.0
2021-06-06,GA,13299,0,0,9.9,0.0,0,0.0
2021-06-13,GA,13299,0,0,9.9,0.0,0,0.0
2021-06-20,GA,13299,0,0,10.6,0.0,0,0.0
2021-06-27,GA,13299,0,0,10.3,0.0,0,0.0
2021-07-04,GA,13299,0,0,8.9,0.0,0,0.0
2021-07-11,GA,13299,7.3,6.4,11.7,0.0,7.3,7.3
2021-07-18,GA,13299,6.1,5.1,11.6,0.0,6.1,6.1
2021-07-25,GA,13299,7.7,7.0,11.9,0.0,7.7,7.7
2021-08-01,GA,13299,23.0,21.9,11.3,0.0,23.0,23.0
2021-08-08,GA,13299,36.7,35.0,12.0,0.0,36.7,36.7
2021-08-15,GA,13299,51.1,49.7,14.7,0.0,51.1,51.1
2021-08-22,GA,13299,54.3,52.9,23.9,0,54.9,54.3
2021-08-29,GA,13299,58.4,57.1,25.6,0,58.9,58.4
2021-09-05,GA,13299,48.7,47.3,23.1,0.0,48.7,48.7
2021-09-12,GA,13299,37.7,36.4,15.9,0.0,37.7,37.7
2021-09-19,GA,13299,29.9,28.9,15.1,0.0,29.9,29.9
2021-09-26,GA,13299,26.0,25.3,15.6,0.0,26.0,26.0
2021-10-03,GA,13299,16.9,15.6,11.7,0.0,16.9,16.9
2021-10-10,GA,13299,9.4,8.7,11.6,0.0,9.4,9.4
2021-10-17,GA,13299,8.7,7.1,16.3,0.0,8.7,8.7
2021-10-24,GA,13299,5.7,5.6,15.0,0.0,5.7,5.7
2021-10-31,GA,13299,4.6,4.3,14.7,0.0,4.6,4.6
2021-11-07,GA,13299,4.4,4.1,12.6,0.0,4.4,4.4
2021-11-14,GA,13299,0,0,14.9,0.0,0,0.0
2021-11-21,GA,13299,0,0,11.6,0.0,0,0.0
2021-11-28,GA,13299,0,0,13.7,0.0,0,0.0
2021-12-05,GA,13299,0,0,15.1,0.0,0,0.0
2021-12-12,GA,13299,7.0,6.4,11.6,0.0,7.0,7.0
2021-12-19,GA,13299,4.9,4.1,11.4,0.0,4.9,4.9
2021-12-26,GA,13299,6.9,6.0,14.1,0.0,6.9,6.9
