collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,GA,13313,40.0,40.0,19.4,0.0,40.0,40.0
2020-08-09,GA,13313,29.5,29.5,17.8,0.0,29.5,29.5
2020-08-16,GA,13313,21.5,21.5,15.5,0.0,21.5,21.5
2020-08-23,GA,13313,22.4,22.4,16.8,0.0,22.4,22.4
2020-08-30,GA,13313,14.6,14.6,14.4,0.0,14.6,14.6
2020-09-06,GA,13313,15.8,15.8,16.0,0.0,15.8,15.8
2020-09-13,GA,13313,17.2,17.2,15.6,6.0,23.2,23.2
2020-09-20,GA,13313,14.4,14.4,10.8,0,17.4,14.4
2020-09-27,GA,13313,14.2,10.7,12.3,0.0,14.2,14.2
2020-10-04,GA,13313,17.3,16.2,12.0,0.0,17.3,17.3
2020-10-11,GA,13313,18.7,16.6,11.9,0.0,18.7,18.7
2020-10-18,GA,13313,20.7,15.9,12.3,0.0,20.7,20.7
2020-10-25,GA,13313,22.4,17.7,13.7,0.0,22.4,22.4
2020-11-01,GA,13313,32.6,27.9,16.1,0.0,32.6,32.6
2020-11-08,GA,13313,41.9,37.6,16.1,0,42.0,41.9
2020-11-15,GA,13313,35.1,32.6,12.9,0,35.4,35.1
2020-11-22,GA,13313,40.6,39.3,10.4,0.0,40.6,40.6
2020-11-29,GA,13313,53.4,52.0,16.3,0.0,53.4,53.4
2020-12-06,GA,13313,55.7,54.1,17.7,0.0,55.7,55.7
2020-12-13,GA,13313,58.6,57.1,16.3,0.0,58.6,58.6
2020-12-20,GA,13313,66.4,62.3,16.1,0.0,66.4,66.4
2020-12-27,GA,13313,66.3,64.4,19.1,0.0,66.3,66.3
2021-01-03,GA,13313,64.9,63.7,16.4,0.0,64.9,64.9
2021-01-10,GA,13313,64.1,61.9,15.6,0,65.6,64.1
2021-01-17,GA,13313,71.3,69.3,17.7,0,71.7,71.3
2021-01-24,GA,13313,54.6,53.6,13.1,0,56.3,54.6
2021-01-31,GA,13313,38.1,37.1,14.0,0,39.7,38.1
2021-02-07,GA,13313,41.4,41.4,15.0,0,42.7,41.4
2021-02-14,GA,13313,32.3,31.8,16.2,0,33.5,32.3
2021-02-21,GA,13313,33.7,33.7,16.0,0,35.0,33.7
2021-02-28,GA,13313,23.7,21.7,15.0,0,25.3,23.7
2021-03-07,GA,13313,18.4,16.6,12.7,0,19.0,18.4
2021-03-14,GA,13313,15.1,13.0,9.7,0.0,15.1,15.1
2021-03-21,GA,13313,16.6,15.7,13.6,0,16.9,16.6
2021-03-28,GA,13313,25.0,24.7,13.6,0,25.3,25.0
2021-04-04,GA,13313,29.6,28.0,13.7,0.0,29.6,29.6
2021-04-11,GA,13313,29.6,25.9,14.9,0,29.9,29.6
2021-04-18,GA,13313,25.6,23.3,14.7,0,25.9,25.6
2021-04-25,GA,13313,18.1,17.7,14.1,0.0,18.1,18.1
2021-05-02,GA,13313,17.0,16.6,13.4,0.0,17.0,17.0
2021-05-09,GA,13313,15.3,15.0,14.1,0,15.7,15.3
2021-05-16,GA,13313,18.6,17.3,15.1,0.0,18.6,18.6
2021-05-23,GA,13313,16.1,15.6,13.3,0,16.4,16.1
2021-05-30,GA,13313,9.6,8.1,14.0,0,9.7,9.6
2021-06-06,GA,13313,13.1,12.1,11.3,0.0,13.1,13.1
2021-06-13,GA,13313,14.4,12.4,12.6,0,14.6,14.4
2021-06-20,GA,13313,12.8,11.4,14.2,0.0,12.8,12.8
2021-06-27,GA,13313,11.2,9.7,15.2,0,11.7,11.2
2021-07-04,GA,13313,11.0,10.0,13.9,0.0,11.0,11.0
2021-07-11,GA,13313,11.6,11.1,13.1,0,11.7,11.6
2021-07-18,GA,13313,20.4,19.1,12.9,0.0,20.4,20.4
2021-07-25,GA,13313,24.3,22.6,14.0,0.0,24.3,24.3
2021-08-01,GA,13313,35.3,34.3,16.6,0,35.4,35.3
2021-08-08,GA,13313,51.0,51.7,18.3,0,51.1,51.0
2021-08-15,GA,13313,66.1,66.1,19.9,0.0,66.1,66.1
2021-08-22,GA,13313,74.0,72.7,21.0,0,74.4,74.0
2021-08-29,GA,13313,72.1,70.6,18.9,0,73.4,72.1
2021-09-05,GA,13313,61.6,60.6,18.9,0,61.9,61.6
2021-09-12,GA,13313,60.7,59.6,18.9,0,61.3,60.7
2021-09-19,GA,13313,55.9,54.7,18.0,0,56.4,55.9
2021-09-26,GA,13313,56.6,52.3,16.0,0,57.6,56.6
2021-10-03,GA,13313,45.6,43.6,15.8,0,47.6,45.6
2021-10-10,GA,13313,49.0,45.6,15.4,0,49.8,49.0
2021-10-17,GA,13313,42.4,38.3,15.3,0.0,42.4,42.4
2021-10-24,GA,13313,36.6,36.7,15.3,0,37.1,36.6
2021-10-31,GA,13313,32.1,30.9,12.7,0.0,32.1,32.1
2021-11-07,GA,13313,32.9,30.3,12.9,0,33.0,32.9
