collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,IA,19033,11.4,11.4,10.3,0,11.9,11.4
2020-08-09,IA,19033,13.6,13.0,14.1,0.0,13.6,13.6
2020-08-16,IA,19033,11.3,10.7,12.6,0.0,11.3,11.3
2020-08-23,IA,19033,12.4,12.4,12.9,0,12.7,12.4
2020-08-30,IA,19033,12.0,11.4,13.3,0,12.1,12.0
2020-09-06,IA,19033,11.4,11.4,13.0,0.0,11.4,11.4
2020-09-13,IA,19033,13.7,13.4,11.7,0,14.0,13.7
2020-09-20,IA,19033,20.7,20.3,10.3,0.0,20.7,20.7
2020-09-27,IA,19033,23.4,22.1,13.4,0.0,23.4,23.4
2020-10-04,IA,19033,24.6,24.1,14.3,0.0,24.6,24.6
2020-10-11,IA,19033,27.9,27.1,13.0,0.0,27.9,27.9
2020-10-18,IA,19033,27.9,27.9,15.9,0.0,27.9,27.9
2020-10-25,IA,19033,29.3,28.7,15.7,0.0,29.3,29.3
2020-11-01,IA,19033,41.3,40.9,15.0,0,41.4,41.3
2020-11-08,IA,19033,54.9,54.3,15.6,0.0,54.9,54.9
2020-11-15,IA,19033,69.0,68.7,16.7,0,69.1,69.0
2020-11-22,IA,19033,64.1,64.1,18.4,0,64.4,64.1
2020-11-29,IA,19033,49.3,49.3,19.6,0,49.4,49.3
2020-12-06,IA,19033,47.1,46.6,20.6,0,48.3,47.1
2020-12-13,IA,19033,41.0,40.7,20.1,0.0,41.0,41.0
2020-12-20,IA,19033,34.3,34.3,16.6,0.0,34.3,34.3
2020-12-27,IA,19033,36.7,36.7,19.3,0,36.9,36.7
2021-01-03,IA,19033,34.7,34.1,14.6,0,35.0,34.7
2021-01-10,IA,19033,30.7,30.1,12.1,0.0,30.7,30.7
2021-01-17,IA,19033,24.1,24.0,15.7,0.0,24.1,24.1
2021-01-24,IA,19033,14.0,14.0,13.4,0.0,14.0,14.0
2021-01-31,IA,19033,7.9,7.9,15.6,0.0,7.9,7.9
2021-02-07,IA,19033,8.9,8.9,15.3,0,9.0,8.9
2021-02-14,IA,19033,9.1,9.0,14.9,0.0,9.1,9.1
2021-02-21,IA,19033,9.6,8.9,15.9,0.0,9.6,9.6
2021-02-28,IA,19033,5.7,5.6,14.1,0.0,5.7,5.7
2021-03-07,IA,19033,5.0,5.0,11.1,0.0,5.0,5.0
2021-03-14,IA,19033,5.4,5.4,9.9,0,5.7,5.4
2021-03-21,IA,19033,4.9,4.9,12.7,0,5.0,4.9
2021-03-28,IA,19033,5.6,5.6,10.4,0.0,5.6,5.6
