collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,IA,19057,4.4,4.4,6.0,0.0,4.4,4.4
2020-08-09,IA,19057,5.6,5.4,6.9,0.0,5.6,5.6
2020-08-16,IA,19057,13.9,13.9,5.7,0.0,13.9,13.9
2020-08-23,IA,19057,16.4,16.4,6.3,0.0,16.4,16.4
2020-08-30,IA,19057,13.4,13.4,5.1,0.0,13.4,13.4
2020-09-06,IA,19057,10.0,10.0,7.1,0.0,10.0,10.0
2020-09-13,IA,19057,6.1,5.9,6.6,0.0,6.1,6.1
2020-09-20,IA,19057,0,0,6.6,0.0,0,0.0
2020-09-27,IA,19057,0,0,8.7,0.0,0,0.0
2020-10-04,IA,19057,4.6,4.6,6.9,0.0,4.6,4.6
2020-10-11,IA,19057,9.0,9.0,7.1,0.0,9.0,9.0
2020-10-18,IA,19057,12.4,12.4,8.1,0.0,12.4,12.4
2020-10-25,IA,19057,14.4,12.4,6.4,0.0,14.4,14.4
2020-11-01,IA,19057,17.7,17.7,8.1,0.0,17.7,17.7
2020-11-08,IA,19057,20.7,20.7,7.7,0.0,20.7,20.7
2020-11-15,IA,19057,33.4,33.4,8.0,0.0,33.4,33.4
2020-11-22,IA,19057,29.0,29.0,7.6,0.0,29.0,29.0
2020-11-29,IA,19057,19.1,19.1,7.1,0.0,19.1,19.1
2020-12-06,IA,19057,17.9,17.9,8.1,0.0,17.9,17.9
2020-12-13,IA,19057,13.3,13.3,7.4,0.0,13.3,13.3
2020-12-20,IA,19057,6.9,6.9,5.6,0.0,6.9,6.9
2020-12-27,IA,19057,8.3,8.3,5.9,0.0,8.3,8.3
2021-01-03,IA,19057,11.3,11.3,7.3,0.0,11.3,11.3
2021-01-10,IA,19057,10.7,10.7,7.4,0.0,10.7,10.7
2021-01-17,IA,19057,6.6,6.6,6.1,0.0,6.6,6.6
2021-01-24,IA,19057,0,0,5.7,0.0,0,0.0
2021-01-31,IA,19057,0,0,6.0,0.0,0,0.0
2021-02-07,IA,19057,0,0,7.0,0.0,0,0.0
2021-02-14,IA,19057,4.7,4.7,4.1,0.0,4.7,4.7
2021-02-21,IA,19057,0,0,6.6,0.0,0,0.0
2021-02-28,IA,19057,0,0,5.4,0.0,0,0.0
2021-03-07,IA,19057,0,0,4.4,0.0,0,0.0
2021-03-14,IA,19057,0,0,4.4,0.0,0,0.0
2021-03-21,IA,19057,0,0,6.9,0.0,0,0.0
2021-03-28,IA,19057,0,0,5.0,0.0,0,0.0
2021-04-04,IA,19057,0,0,0,0.0,0,0.0
2021-04-11,IA,19057,0,0,0,0.0,0,0.0
2021-04-18,IA,19057,5.1,5.1,6.6,0.0,5.1,5.1
2021-04-25,IA,19057,4.3,4.3,0,0.0,4.3,4.3
2021-05-02,IA,19057,5.1,5.1,5.6,0.0,5.1,5.1
2021-05-09,IA,19057,4.0,4.0,7.0,0.0,4.0,4.0
2021-05-16,IA,19057,0,0,0,0.0,0,0.0
2021-05-23,IA,19057,6.3,6.3,5.4,0.0,6.3,6.3
2021-05-30,IA,19057,0,0,6.0,0.0,0,0.0
2021-06-06,IA,19057,0,0,7.4,0.0,0,0.0
2021-06-13,IA,19057,0,0,6.4,0,4.1,0.0
2021-06-20,IA,19057,0,0,5.1,0.0,0,0.0
2021-06-27,IA,19057,6.0,6.0,7.1,0.0,6.0,6.0
2021-07-04,IA,19057,4.3,4.3,7.3,0.0,4.3,4.3
2021-07-11,IA,19057,5.6,5.6,7.1,0.0,5.6,5.6
2021-07-18,IA,19057,4.3,4.3,5.9,0.0,4.3,4.3
2021-07-25,IA,19057,8.1,8.1,6.4,0.0,8.1,8.1
2021-08-01,IA,19057,8.0,8.0,7.3,0.0,8.0,8.0
2021-08-08,IA,19057,8.6,8.6,6.0,0.0,8.6,8.6
2021-08-15,IA,19057,9.7,9.7,5.7,0.0,9.7,9.7
2021-08-22,IA,19057,9.6,9.6,5.7,0.0,9.6,9.6
2021-08-29,IA,19057,15.3,15.3,6.1,0,15.6,15.3
2021-09-05,IA,19057,17.0,17.0,6.1,0.0,17.0,17.0
2021-09-12,IA,19057,19.6,19.6,6.4,0,20.0,19.6
2021-09-19,IA,19057,21.1,21.1,7.6,0.0,21.1,21.1
2021-09-26,IA,19057,17.9,17.9,6.4,0.0,17.9,17.9
2021-10-03,IA,19057,13.1,13.1,6.1,0,13.3,13.1
2021-10-10,IA,19057,13.7,13.7,6.9,0,14.1,13.7
2021-10-17,IA,19057,10.4,10.4,6.6,0.0,10.4,10.4
2021-10-24,IA,19057,10.1,10.1,5.0,0.0,10.1,10.1
2021-10-31,IA,19057,9.3,9.3,5.6,0.0,9.3,9.3
2021-11-07,IA,19057,4.4,4.4,5.3,0,4.6,4.4
2021-11-14,IA,19057,10.1,10.1,7.1,0.0,10.1,10.1
2021-11-21,IA,19057,12.0,12.0,6.9,0.0,12.0,12.0
2021-11-28,IA,19057,12.7,12.7,7.1,0.0,12.7,12.7
2021-12-05,IA,19057,15.4,15.4,7.0,0.0,15.4,15.4
2021-12-12,IA,19057,21.1,21.1,7.3,0.0,21.1,21.1
2021-12-19,IA,19057,19.0,19.0,7.6,0.0,19.0,19.0
2021-12-26,IA,19057,16.3,16.3,9.1,0.0,16.3,16.3
