collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,IA,19113,18.7,14.3,26.200000000000003,0.0,19.4,18.7
2020-08-09,IA,19113,23.799999999999997,20.7,34.6,0.0,24.799999999999997,23.799999999999997
2020-08-16,IA,19113,30.2,24.3,32.4,0.0,31.7,30.2
2020-08-23,IA,19113,28.7,23.0,29.0,0.0,29.7,28.7
2020-08-30,IA,19113,23.5,19.3,26.9,0.0,24.299999999999997,23.5
2020-09-06,IA,19113,26.299999999999997,22.299999999999997,27.5,0.0,26.700000000000003,26.299999999999997
2020-09-13,IA,19113,25.3,18.9,25.7,0,25.9,25.3
2020-09-20,IA,19113,35.0,27.9,34.2,0.0,35.6,35.0
2020-09-27,IA,19113,40.4,36.8,38.5,0.0,41.0,40.4
2020-10-04,IA,19113,40.400000000000006,37.400000000000006,41.3,0.0,41.0,40.400000000000006
2020-10-11,IA,19113,24.9,24.0,30.0,0.0,25.0,24.9
2020-10-18,IA,19113,32.2,30.700000000000003,34.3,0.0,32.5,32.2
2020-10-25,IA,19113,47.9,45.9,47.900000000000006,0.0,48.5,47.9
2020-11-01,IA,19113,69.3,68.4,48.7,0.0,71.3,69.3
2020-11-08,IA,19113,103.1,101.3,39.3,0.0,104.7,103.1
2020-11-15,IA,19113,126.39999999999999,125.0,44.4,0.0,126.89999999999999,126.39999999999999
2020-11-22,IA,19113,98.7,97.3,42.9,0.0,99.3,98.7
2020-11-29,IA,19113,82.0,80.5,36.5,0,82.4,82.0
2020-12-06,IA,19113,61.0,59.4,33.0,0.0,61.800000000000004,61.0
2020-12-13,IA,19113,40.4,39.1,29.700000000000003,0.0,41.7,40.4
2020-12-20,IA,19113,28.299999999999997,27.6,28.7,0.0,29.0,28.299999999999997
2020-12-27,IA,19113,38.8,38.5,28.400000000000002,0.0,39.1,38.8
2021-01-03,IA,19113,33.4,32.5,31.200000000000003,0.0,33.7,33.4
2021-01-10,IA,19113,33.5,32.8,29.7,0.0,33.5,33.5
2021-01-17,IA,19113,29.2,28.400000000000002,27.9,0.0,29.2,29.2
2021-01-24,IA,19113,25.4,24.7,26.799999999999997,0,26.6,25.4
2021-01-31,IA,19113,22.200000000000003,21.8,25.200000000000003,0.0,23.0,22.200000000000003
2021-02-07,IA,19113,23.4,22.1,22.0,0.0,23.4,23.4
2021-02-14,IA,19113,20.700000000000003,19.700000000000003,26.4,0.0,20.700000000000003,20.700000000000003
2021-02-21,IA,19113,19.6,17.1,25.0,0.0,19.6,19.6
2021-02-28,IA,19113,19.299999999999997,18.6,20.7,0.0,19.299999999999997,19.299999999999997
2021-03-07,IA,19113,15.7,15.7,25.0,0.0,15.9,15.7
2021-03-14,IA,19113,9.7,9.7,21.0,0.0,9.7,9.7
2021-03-21,IA,19113,10.7,10.4,22.9,0.0,10.7,10.7
2021-03-28,IA,19113,5.7,5.1,23.6,0.0,5.7,5.7
2021-04-04,IA,19113,4.1,0,27.9,0.0,4.1,4.1
2021-04-11,IA,19113,8.1,7.1,24.0,0.0,8.7,8.1
2021-04-18,IA,19113,12.4,11.7,26.3,0.0,12.4,12.4
2021-04-25,IA,19113,15.399999999999999,14.3,24.3,0.0,15.399999999999999,15.399999999999999
2021-05-02,IA,19113,18.0,17.5,30.7,0.0,18.0,18.0
2021-05-09,IA,19113,8.7,8.7,32.4,0.0,9.6,8.7
2021-05-16,IA,19113,10.3,10.3,27.9,0.0,11.7,10.3
2021-05-23,IA,19113,6.7,6.1,24.1,0.0,7.6,6.7
2021-05-30,IA,19113,6.3,5.7,27.6,0.0,6.6,6.3
2021-06-06,IA,19113,6.6,6.4,27.4,0,6.7,6.6
2021-06-13,IA,19113,13.8,13.7,27.799999999999997,0.0,14.0,13.8
2021-06-20,IA,19113,6.0,6.0,26.0,0.0,6.1,6.0
2021-06-27,IA,19113,5.6,5.3,24.5,0.0,5.6,5.6
2021-07-04,IA,19113,4.0,0,29.400000000000002,0.0,4.0,4.0
2021-07-11,IA,19113,4.1,0,25.700000000000003,0.0,4.3,4.1
2021-07-18,IA,19113,0,0,22.9,0.0,0,0.0
2021-07-25,IA,19113,5.3,5.3,23.7,0.0,5.3,5.3
2021-08-01,IA,19113,12.100000000000001,12.100000000000001,22.6,0.0,12.100000000000001,12.100000000000001
2021-08-08,IA,19113,30.099999999999998,29.099999999999998,28.200000000000003,0.0,30.3,30.099999999999998
2021-08-15,IA,19113,49.7,49.4,29.299999999999997,0,50.3,49.7
2021-08-22,IA,19113,56.9,56.699999999999996,35.0,0.0,56.9,56.9
2021-08-29,IA,19113,62.099999999999994,62.099999999999994,40.900000000000006,0,63.2,62.099999999999994
2021-09-05,IA,19113,64.1,64.0,43.4,0,65.6,64.1
2021-09-12,IA,19113,56.2,55.900000000000006,39.1,0.0,57.6,56.2
2021-09-19,IA,19113,61.2,60.400000000000006,46.3,0,63.2,61.2
2021-09-26,IA,19113,50.6,50.1,38.3,0.0,51.0,50.6
2021-10-03,IA,19113,43.6,43.5,31.6,0,44.4,43.6
2021-10-10,IA,19113,44.8,44.7,34.0,0.0,45.2,44.8
2021-10-17,IA,19113,45.0,44.7,33.099999999999994,0.0,47.599999999999994,45.0
2021-10-24,IA,19113,39.9,39.9,35.7,0,40.6,39.9
2021-10-31,IA,19113,39.4,39.0,35.1,0.0,40.099999999999994,39.4
2021-11-07,IA,19113,39.9,39.0,33.0,0.0,41.3,39.9
2021-11-14,IA,19113,49.2,49.2,40.4,0,49.6,49.2
2021-11-21,IA,19113,56.599999999999994,55.8,31.5,0.0,56.599999999999994,56.599999999999994
2021-11-28,IA,19113,69.7,68.7,33.3,0.0,70.0,69.7
