collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,IA,19155,11.7,9.600000000000001,18.2,0.0,11.7,11.7
2020-08-09,IA,19155,6.3,4.1,20.3,0.0,6.3,6.3
2020-08-16,IA,19155,11.100000000000001,5.0,22.5,0.0,11.100000000000001,11.100000000000001
2020-08-23,IA,19155,4.7,0,24.3,0.0,4.7,4.7
2020-08-30,IA,19155,5.7,4.1,22.200000000000003,0.0,5.7,5.7
2020-09-06,IA,19155,6.3,5.0,15.2,0.0,6.3,6.3
2020-09-13,IA,19155,11.5,8.7,19.9,0.0,11.5,11.5
2020-09-20,IA,19155,4.9,0,17.5,0.0,4.9,4.9
2020-09-27,IA,19155,13.399999999999999,11.0,22.299999999999997,0.0,13.399999999999999,13.399999999999999
2020-10-04,IA,19155,15.9,9.7,25.6,0.0,15.9,15.9
2020-10-11,IA,19155,18.4,15.6,24.4,0.0,18.4,18.4
2020-10-18,IA,19155,23.4,20.5,25.6,0.0,23.6,23.4
2020-10-25,IA,19155,25.3,22.9,22.299999999999997,0.0,25.3,25.3
2020-11-01,IA,19155,31.1,28.700000000000003,22.9,0.0,31.200000000000003,31.1
2020-11-08,IA,19155,42.0,39.3,24.6,0.0,42.0,42.0
2020-11-15,IA,19155,42.0,39.8,25.2,0.0,42.3,42.0
2020-11-22,IA,19155,40.6,38.7,25.2,0.0,40.7,40.6
2020-11-29,IA,19155,40.8,38.8,25.5,0.0,41.2,40.8
2020-12-06,IA,19155,33.599999999999994,32.3,23.3,0.0,33.599999999999994,33.599999999999994
2020-12-13,IA,19155,30.700000000000003,29.200000000000003,20.0,0.0,30.700000000000003,30.700000000000003
2020-12-20,IA,19155,26.0,25.4,24.0,0.0,26.0,26.0
2020-12-27,IA,19155,23.4,22.299999999999997,21.9,0.0,23.4,23.4
2021-01-03,IA,19155,26.1,24.8,24.799999999999997,0.0,26.3,26.1
2021-01-10,IA,19155,25.6,24.8,20.1,0.0,25.9,25.6
2021-01-17,IA,19155,23.1,22.1,21.7,0.0,23.1,23.1
2021-01-24,IA,19155,16.3,16.3,19.6,0.0,16.4,16.3
2021-01-31,IA,19155,14.8,14.8,22.700000000000003,0.0,14.8,14.8
2021-02-07,IA,19155,9.600000000000001,9.5,18.0,0.0,9.600000000000001,9.600000000000001
2021-02-14,IA,19155,6.1,6.1,21.8,0.0,6.1,6.1
2021-02-21,IA,19155,0,0,19.4,0.0,0,0.0
2021-02-28,IA,19155,5.9,5.9,18.5,0.0,6.1,5.9
2021-03-07,IA,19155,7.3,7.3,20.3,0.0,7.3,7.3
2021-03-14,IA,19155,13.7,13.5,19.3,0.0,13.7,13.7
2021-03-21,IA,19155,6.4,6.4,18.7,0.0,6.4,6.4
2021-03-28,IA,19155,10.3,10.3,16.9,0.0,10.6,10.3
2021-04-04,IA,19155,19.1,19.1,22.0,0.0,19.4,19.1
2021-04-11,IA,19155,18.7,18.7,21.0,0.0,18.7,18.7
2021-04-18,IA,19155,19.8,19.8,22.8,0.0,19.8,19.8
2021-04-25,IA,19155,13.1,13.1,19.5,0.0,13.1,13.1
2021-05-02,IA,19155,6.6,6.6,17.4,0.0,6.6,6.6
2021-05-09,IA,19155,5.9,5.9,14.5,0.0,5.9,5.9
2021-05-16,IA,19155,5.0,5.0,17.5,0.0,5.0,5.0
2021-05-23,IA,19155,4.6,4.6,14.899999999999999,0.0,4.6,4.6
2021-05-30,IA,19155,0,0,18.0,0.0,0,0.0
2021-06-06,IA,19155,0,0,13.3,0.0,0,0.0
2021-06-13,IA,19155,0,0,16.0,0.0,0,0.0
2021-06-20,IA,19155,0.0,0.0,15.399999999999999,0.0,0.0,0.0
2021-06-27,IA,19155,0.0,0.0,12.0,0.0,0.0,0.0
2021-07-04,IA,19155,0,0,9.3,0.0,0,0.0
2021-07-11,IA,19155,0.0,0.0,12.7,0.0,0.0,0.0
2021-07-18,IA,19155,4.3,4.3,15.0,0.0,4.3,4.3
2021-07-25,IA,19155,6.0,6.0,14.2,0.0,6.0,6.0
2021-08-01,IA,19155,7.1,7.1,14.7,0.0,7.1,7.1
2021-08-08,IA,19155,14.4,14.4,20.7,0.0,14.4,14.4
2021-08-15,IA,19155,20.200000000000003,20.200000000000003,21.3,0.0,20.200000000000003,20.200000000000003
2021-08-22,IA,19155,22.1,22.1,17.9,0.0,22.1,22.1
2021-08-29,IA,19155,25.200000000000003,25.200000000000003,20.9,0.0,25.200000000000003,25.200000000000003
2021-09-05,IA,19155,31.4,31.4,20.799999999999997,0.0,31.4,31.4
2021-09-12,IA,19155,29.1,29.1,19.7,0.0,29.4,29.1
2021-09-19,IA,19155,25.6,25.6,20.9,0.0,25.6,25.6
2021-09-26,IA,19155,18.7,18.7,18.4,0.0,18.7,18.7
2021-10-03,IA,19155,19.700000000000003,19.700000000000003,21.5,0.0,19.700000000000003,19.700000000000003
2021-10-10,IA,19155,24.6,24.6,23.2,0.0,24.6,24.6
2021-10-17,IA,19155,29.1,29.1,23.299999999999997,0.0,29.1,29.1
2021-10-24,IA,19155,27.0,27.0,22.6,0.0,27.299999999999997,27.0
2021-10-31,IA,19155,23.8,23.8,22.3,0.0,23.8,23.8
2021-11-07,IA,19155,21.4,21.4,21.8,0.0,21.4,21.4
2021-11-14,IA,19155,24.7,24.7,22.3,0.0,25.0,24.7
2021-11-21,IA,19155,36.8,36.8,20.0,0,38.0,36.8
2021-11-28,IA,19155,40.400000000000006,40.400000000000006,20.1,0,41.7,40.400000000000006
2021-12-05,IA,19155,34.5,34.5,22.6,0.0,34.7,34.5
2021-12-12,IA,19155,32.9,32.9,22.4,0.0,32.9,32.9
2021-12-19,IA,19155,32.0,32.0,23.799999999999997,0.0,32.0,32.0
