collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,IA,19163,18.6,13.2,26.7,0.0,18.9,18.6
2020-08-09,IA,19163,23.7,17.3,29.0,0.0,23.7,23.7
2020-08-16,IA,19163,22.6,17.700000000000003,29.0,0.0,22.700000000000003,22.6
2020-08-23,IA,19163,19.7,11.9,27.799999999999997,0.0,20.0,19.7
2020-08-30,IA,19163,16.4,9.4,29.099999999999998,0.0,16.4,16.4
2020-09-06,IA,19163,14.799999999999999,7.1,21.6,0.0,15.600000000000001,14.799999999999999
2020-09-13,IA,19163,18.4,10.3,29.3,0.0,18.5,18.4
2020-09-20,IA,19163,13.3,10.1,30.0,0.0,13.3,13.3
2020-09-27,IA,19163,19.4,13.3,30.299999999999997,0.0,19.6,19.4
2020-10-04,IA,19163,24.4,14.1,28.299999999999997,0.0,24.4,24.4
2020-10-11,IA,19163,35.9,31.5,29.3,0.0,36.3,35.9
2020-10-18,IA,19163,39.0,33.800000000000004,26.400000000000002,0.0,39.300000000000004,39.0
2020-10-25,IA,19163,44.4,40.7,28.6,0.0,45.0,44.4
2020-11-01,IA,19163,53.699999999999996,52.6,31.7,0.0,53.699999999999996,53.699999999999996
2020-11-08,IA,19163,92.0,88.4,35.6,0.0,92.19999999999999,92.0
2020-11-15,IA,19163,115.6,111.19999999999999,38.1,0.0,115.7,115.6
2020-11-22,IA,19163,102.4,99.2,37.300000000000004,0.0,102.9,102.4
2020-11-29,IA,19163,76.7,75.0,35.3,0.0,76.7,76.7
2020-12-06,IA,19163,62.7,61.0,33.2,0.0,62.8,62.7
2020-12-13,IA,19163,57.0,56.099999999999994,31.700000000000003,0.0,57.3,57.0
2020-12-20,IA,19163,46.4,45.9,29.4,0.0,46.4,46.4
2020-12-27,IA,19163,34.0,33.6,26.0,0.0,34.199999999999996,34.0
2021-01-03,IA,19163,31.700000000000003,31.3,29.3,0.0,31.700000000000003,31.700000000000003
2021-01-10,IA,19163,31.200000000000003,28.900000000000002,28.6,0.0,31.200000000000003,31.200000000000003
2021-01-17,IA,19163,36.3,31.200000000000003,30.599999999999998,0.0,36.5,36.3
2021-01-24,IA,19163,42.400000000000006,39.8,30.2,0.0,42.7,42.400000000000006
2021-01-31,IA,19163,38.1,34.2,24.6,0.0,38.1,38.1
2021-02-07,IA,19163,28.5,27.0,39.1,0.0,28.5,28.5
2021-02-14,IA,19163,25.1,22.700000000000003,29.199999999999996,0.0,25.1,25.1
2021-02-21,IA,19163,17.2,13.5,27.5,0.0,17.5,17.2
2021-02-28,IA,19163,11.2,9.1,28.799999999999997,0.0,11.2,11.2
2021-03-07,IA,19163,9.4,6.3,27.9,0.0,9.4,9.4
2021-03-14,IA,19163,11.9,5.9,28.3,0.0,12.0,11.9
