collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,IA,19169,13.0,12.9,6.4,0.0,13.1,13.0
2020-08-09,IA,19169,12.7,11.2,8.3,0.0,13.0,12.7
2020-08-16,IA,19169,7.9,7.7,6.7,0.0,7.9,7.9
2020-08-23,IA,19169,10.6,9.9,8.0,0.0,10.6,10.6
2020-08-30,IA,19169,11.1,10.7,10.1,0.0,11.1,11.1
2020-09-06,IA,19169,6.6,6.6,6.3,0.0,6.6,6.6
2020-09-13,IA,19169,6.1,5.4,5.9,0.0,6.1,6.1
2020-09-20,IA,19169,4.1,0.0,6.6,0.0,4.1,4.1
2020-09-27,IA,19169,7.0,6.9,6.7,0.0,7.0,7.0
2020-10-04,IA,19169,8.6,8.4,5.7,0.0,8.7,8.6
2020-10-11,IA,19169,6.1,6.0,4.1,0.0,6.1,6.1
2020-10-18,IA,19169,8.9,8.4,7.9,0.0,9.0,8.9
2020-10-25,IA,19169,11.4,10.7,9.4,0.0,11.4,11.4
2020-11-01,IA,19169,17.7,17.3,7.9,0.0,17.7,17.7
2020-11-08,IA,19169,28.3,27.4,10.9,0.0,28.3,28.3
2020-11-15,IA,19169,31.9,30.7,9.7,0.0,32.0,31.9
2020-11-22,IA,19169,25.9,25.9,9.3,0.0,25.9,25.9
2020-11-29,IA,19169,26.3,25.7,8.9,0.0,26.3,26.3
2020-12-06,IA,19169,20.1,19.7,7.6,0.0,20.1,20.1
2020-12-13,IA,19169,18.3,18.0,9.3,0.0,18.3,18.3
2020-12-20,IA,19169,17.4,15.9,8.4,0.0,17.4,17.4
2020-12-27,IA,19169,14.4,14.4,6.6,0.0,14.6,14.4
2021-01-03,IA,19169,17.4,16.3,9.1,0.0,17.4,17.4
2021-01-10,IA,19169,14.9,14.4,8.1,0.0,14.9,14.9
2021-01-17,IA,19169,9.7,9.7,6.9,0.0,9.7,9.7
2021-01-24,IA,19169,7.7,7.7,5.3,0.0,7.7,7.7
2021-01-31,IA,19169,8.7,8.7,5.9,0.0,8.7,8.7
2021-02-07,IA,19169,7.3,7.3,9.3,0.0,7.3,7.3
2021-02-14,IA,19169,0.0,0.0,6.1,0.0,0.0,0.0
2021-02-21,IA,19169,0.0,0.0,6.6,0.0,0.0,0.0
2021-02-28,IA,19169,0.0,0.0,5.3,0.0,0.0,0.0
2021-03-07,IA,19169,5.7,5.7,7.0,0.0,5.7,5.7
2021-03-14,IA,19169,5.3,5.3,6.1,0.0,5.6,5.3
2021-03-21,IA,19169,0.0,0.0,8.4,0.0,0.0,0.0
2021-03-28,IA,19169,0.0,0.0,6.3,0.0,0.0,0.0
2021-04-04,IA,19169,0.0,0.0,7.7,0.0,0.0,0.0
2021-04-11,IA,19169,4.4,4.4,8.6,0.0,4.4,4.4
2021-04-18,IA,19169,0.0,0.0,6.9,0.0,0.0,0.0
2021-04-25,IA,19169,0.0,0.0,7.7,0.0,0.0,0.0
2021-05-02,IA,19169,0.0,0.0,7.9,0.0,0.0,0.0
2021-05-09,IA,19169,0.0,0.0,5.0,0.0,0.0,0.0
2021-05-16,IA,19169,0.0,0.0,8.6,0.0,0.0,0.0
2021-05-23,IA,19169,4.4,4.4,8.4,0.0,4.4,4.4
2021-05-30,IA,19169,0.0,0.0,6.3,0.0,0.0,0.0
2021-06-06,IA,19169,0.0,0.0,10.3,0.0,0.0,0.0
2021-06-13,IA,19169,0.0,0.0,4.6,0.0,0.0,0.0
2021-06-20,IA,19169,0.0,0.0,5.9,0.0,0.0,0.0
2021-06-27,IA,19169,0.0,0.0,4.6,0.0,0.0,0.0
2021-07-04,IA,19169,0.0,0.0,5.4,0.0,0.0,0.0
2021-07-11,IA,19169,0.0,0.0,5.3,0.0,0.0,0.0
2021-07-18,IA,19169,5.4,5.4,7.6,0.0,5.4,5.4
2021-07-25,IA,19169,5.0,5.0,8.6,0.0,5.0,5.0
2021-08-01,IA,19169,5.6,5.6,8.0,0.0,5.6,5.6
2021-08-08,IA,19169,8.0,8.0,9.3,0.0,8.0,8.0
2021-08-15,IA,19169,5.6,5.6,7.1,0.0,5.7,5.6
2021-08-22,IA,19169,8.1,8.1,7.1,0.0,8.1,8.1
2021-08-29,IA,19169,9.9,9.9,11.0,0.0,9.9,9.9
2021-09-05,IA,19169,11.7,11.7,10.0,0.0,11.7,11.7
2021-09-12,IA,19169,14.4,14.4,9.4,0.0,14.4,14.4
2021-09-19,IA,19169,10.9,10.9,8.4,0.0,11.1,10.9
2021-09-26,IA,19169,16.1,16.1,10.6,0.0,16.7,16.1
2021-10-03,IA,19169,19.9,19.9,11.0,0.0,19.9,19.9
2021-10-10,IA,19169,13.6,13.6,9.0,0.0,13.7,13.6
2021-10-17,IA,19169,9.7,9.7,8.6,0.0,9.7,9.7
2021-10-24,IA,19169,5.4,5.4,7.6,0.0,5.7,5.4
2021-10-31,IA,19169,7.3,7.3,10.3,0.0,7.3,7.3
2021-11-07,IA,19169,10.3,10.3,10.6,0.0,10.6,10.3
2021-11-14,IA,19169,14.4,14.4,11.7,0.0,14.7,14.4
2021-11-21,IA,19169,21.1,21.1,8.7,0.0,21.6,21.1
2021-11-28,IA,19169,32.0,17.7,9.7,0.0,32.7,32.0
2021-12-05,IA,19169,12.4,12.4,8.7,0.0,12.4,12.4
2021-12-12,IA,19169,16.6,16.6,10.4,0.0,16.7,16.6
2021-12-19,IA,19169,15.4,15.4,10.1,0.0,15.4,15.4
2021-12-26,IA,19169,12.7,12.7,8.7,0.0,12.7,12.7
