collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,IA,19187,0,0,9.1,0.0,0,0.0
2020-08-09,IA,19187,7.1,4.3,9.7,0,7.3,7.1
2020-08-16,IA,19187,7.6,6.1,9.9,0.0,7.6,7.6
2020-08-23,IA,19187,8.7,5.7,10.7,0,8.9,8.7
2020-08-30,IA,19187,0,0,8.0,0,4.0,0.0
2020-09-06,IA,19187,0,0,4.6,0,0,0.0
2020-09-13,IA,19187,0,0,9.6,0,0,0.0
2020-09-20,IA,19187,6.1,5.3,8.7,0.0,6.1,6.1
2020-09-27,IA,19187,9.0,8.9,9.7,0.0,9.0,9.0
2020-10-04,IA,19187,8.9,7.9,11.1,0,9.0,8.9
2020-10-11,IA,19187,6.7,5.4,9.7,0.0,6.7,6.7
2020-10-18,IA,19187,12.3,10.9,12.0,0,12.4,12.3
2020-10-25,IA,19187,11.9,10.9,11.4,0.0,11.9,11.9
2020-11-01,IA,19187,15.3,13.1,11.4,0,15.4,15.3
2020-11-08,IA,19187,21.4,18.7,10.4,0,21.7,21.4
2020-11-15,IA,19187,27.4,26.3,12.0,0,27.6,27.4
2020-11-22,IA,19187,26.7,26.0,11.7,0.0,26.7,26.7
2020-11-29,IA,19187,23.4,23.3,11.6,0.0,23.4,23.4
2020-12-06,IA,19187,17.6,16.9,10.6,0,17.7,17.6
2020-12-13,IA,19187,12.3,11.7,8.6,0.0,12.3,12.3
2020-12-20,IA,19187,8.9,7.7,8.7,0.0,8.9,8.9
2020-12-27,IA,19187,11.4,10.6,10.0,0,11.7,11.4
2021-01-03,IA,19187,9.7,9.1,11.0,0.0,9.7,9.7
2021-01-10,IA,19187,7.1,6.9,10.3,0.0,7.1,7.1
2021-01-17,IA,19187,5.6,4.4,9.9,0.0,5.6,5.6
2021-01-24,IA,19187,5.0,0,9.9,0.0,5.0,5.0
2021-01-31,IA,19187,0,0,8.1,0.0,0,0.0
2021-02-07,IA,19187,0,0,6.9,0.0,0,0.0
2021-02-14,IA,19187,5.4,5.1,11.0,0.0,5.4,5.4
2021-02-21,IA,19187,5.4,5.1,10.9,0.0,5.4,5.4
2021-02-28,IA,19187,0,0,9.6,0.0,0,0.0
2021-03-07,IA,19187,0,0.0,10.4,0.0,0,0.0
2021-03-14,IA,19187,0,0,9.7,0.0,0,0.0
2021-03-21,IA,19187,4.3,0,7.7,0.0,4.3,4.3
2021-03-28,IA,19187,0,0,7.4,0.0,0,0.0
2021-04-04,IA,19187,0,0,8.4,0.0,0,0.0
2021-04-11,IA,19187,0,0,10.1,0.0,0,0.0
2021-04-18,IA,19187,0,0,10.4,0.0,0,0.0
2021-04-25,IA,19187,0,0,8.6,0.0,0,0.0
2021-05-02,IA,19187,0,0,9.6,0.0,0,0.0
2021-05-09,IA,19187,0,0,10.3,0.0,0,0.0
2021-05-16,IA,19187,4.4,0,11.6,0.0,4.4,4.4
2021-05-23,IA,19187,4.3,0,10.6,0.0,4.3,4.3
2021-05-30,IA,19187,0,0,7.4,0.0,0,0.0
2021-06-06,IA,19187,0,0,7.7,0.0,0,0.0
2021-06-13,IA,19187,0,0,9.4,0.0,0,0.0
2021-06-20,IA,19187,4.3,4.1,10.1,0.0,4.3,4.3
2021-06-27,IA,19187,0,0,7.6,0.0,0,0.0
2021-07-04,IA,19187,4.4,0,8.4,0.0,4.4,4.4
2021-07-11,IA,19187,0,0,9.4,0,0,0.0
2021-07-18,IA,19187,6.9,6.9,9.9,0,7.1,6.9
2021-07-25,IA,19187,8.1,7.9,8.9,0.0,8.1,8.1
2021-08-01,IA,19187,7.6,7.4,9.4,0,7.7,7.6
2021-08-08,IA,19187,7.6,7.1,11.6,0,8.1,7.6
2021-08-15,IA,19187,11.3,10.6,12.4,0,11.6,11.3
2021-08-22,IA,19187,14.3,12.1,11.1,0,14.6,14.3
2021-08-29,IA,19187,13.6,12.0,11.3,0,14.4,13.6
2021-09-05,IA,19187,14.4,14.0,11.4,0,14.9,14.4
2021-09-12,IA,19187,15.3,14.6,11.7,0,15.6,15.3
2021-09-19,IA,19187,18.7,18.7,12.7,0.0,18.7,18.7
2021-09-26,IA,19187,13.1,12.9,11.3,0.0,13.1,13.1
2021-10-03,IA,19187,12.7,12.6,11.6,0.0,12.7,12.7
2021-10-10,IA,19187,14.4,13.7,11.1,0,14.7,14.4
2021-10-17,IA,19187,11.7,11.7,11.0,0,11.9,11.7
2021-10-24,IA,19187,8.3,8.1,10.7,0,8.7,8.3
2021-10-31,IA,19187,9.6,9.1,11.7,0,9.9,9.6
2021-11-07,IA,19187,12.4,12.4,12.1,0.0,12.4,12.4
2021-11-14,IA,19187,10.4,10.0,10.6,0,10.7,10.4
2021-11-21,IA,19187,11.7,11.0,12.3,0,12.0,11.7
2021-11-28,IA,19187,8.0,7.7,12.0,0.0,8.0,8.0
2021-12-05,IA,19187,8.9,8.9,11.9,0,9.1,8.9
2021-12-12,IA,19187,14.3,13.9,12.7,0,14.4,14.3
2021-12-19,IA,19187,11.9,11.4,12.4,0.0,11.9,11.9
2021-12-26,IA,19187,15.4,15.0,12.0,0.0,15.4,15.4
