collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,ID,16001,113.89999999999999,100.5,70.3,0.0,116.1,113.89999999999999
2020-08-09,ID,16001,106.69999999999999,96.30000000000001,69.4,0.0,107.6,106.69999999999999
2020-08-16,ID,16001,100.5,91.1,76.6,0.0,101.0,100.5
2020-08-23,ID,16001,81.6,70.19999999999999,79.0,0.0,82.4,81.6
2020-08-30,ID,16001,75.1,66.39999999999999,74.5,0.0,76.5,75.1
2020-09-06,ID,16001,65.5,51.3,72.4,0.0,66.2,65.5
2020-09-13,ID,16001,50.4,41.4,71.4,0.0,51.5,50.4
2020-09-20,ID,16001,42.400000000000006,32.9,78.7,0.0,43.6,42.400000000000006
2020-09-27,ID,16001,42.7,32.5,69.7,0.0,43.5,42.7
2020-10-04,ID,16001,52.3,43.0,71.2,0.0,53.5,52.3
2020-10-11,ID,16001,59.2,50.599999999999994,73.0,0.0,61.0,59.2
2020-10-18,ID,16001,62.7,54.3,75.6,0.0,64.3,62.7
2020-10-25,ID,16001,64.0,55.5,69.80000000000001,0.0,65.7,64.0
2020-11-01,ID,16001,89.30000000000001,78.0,81.9,0.0,90.69999999999999,89.30000000000001
2020-11-08,ID,16001,120.0,108.29999999999998,82.69999999999999,0.0,122.99999999999999,120.0
2020-11-15,ID,16001,146.8,132.1,83.3,0.0,148.5,146.8
2020-11-22,ID,16001,159.7,149.8,84.3,0.0,161.5,159.7
2020-11-29,ID,16001,182.2,171.6,86.9,0.0,183.79999999999998,182.2
2020-12-06,ID,16001,176.89999999999998,168.3,85.4,0.0,179.39999999999998,176.89999999999998
2020-12-13,ID,16001,181.2,166.5,89.1,0.0,184.9,181.2
2020-12-20,ID,16001,139.4,131.5,74.3,0.0,142.6,139.4
2020-12-27,ID,16001,123.69999999999999,115.5,76.8,0.0,127.9,123.69999999999999
2021-01-03,ID,16001,122.5,113.1,80.5,0.0,127.2,122.5
2021-01-10,ID,16001,112.5,105.6,80.3,0.0,115.5,112.5
2021-01-17,ID,16001,91.0,85.0,80.30000000000001,0.0,92.69999999999999,91.0
2021-01-24,ID,16001,86.0,81.7,76.3,0.0,88.0,86.0
2021-01-31,ID,16001,73.9,69.5,76.10000000000001,0.0,74.2,73.9
2021-02-07,ID,16001,65.7,56.2,75.4,0.0,65.7,65.7
2021-02-14,ID,16001,48.5,43.6,65.1,0.0,49.5,48.5
2021-02-21,ID,16001,40.300000000000004,35.4,72.6,0.0,40.8,40.300000000000004
2021-02-28,ID,16001,43.800000000000004,40.4,65.9,0.0,44.1,43.800000000000004
2021-03-07,ID,16001,42.4,37.300000000000004,74.6,0.0,42.9,42.4
2021-03-14,ID,16001,39.4,33.8,69.69999999999999,0.0,39.9,39.4
2021-03-21,ID,16001,44.6,35.7,67.0,0.0,44.9,44.6
2021-03-28,ID,16001,41.4,35.5,67.69999999999999,0.0,41.5,41.4
2021-04-04,ID,16001,48.900000000000006,44.10000000000001,69.5,0.0,49.2,48.900000000000006
2021-04-11,ID,16001,60.5,54.3,75.3,0.0,61.3,60.5
2021-04-18,ID,16001,55.1,45.5,76.30000000000001,0.0,56.1,55.1
2021-04-25,ID,16001,51.5,47.199999999999996,74.69999999999999,0.0,52.4,51.5
2021-05-02,ID,16001,50.4,47.0,78.30000000000001,0.0,51.6,50.4
2021-05-09,ID,16001,49.400000000000006,43.8,75.60000000000001,0.0,50.10000000000001,49.400000000000006
2021-05-16,ID,16001,42.900000000000006,38.0,88.0,0.0,43.3,42.900000000000006
2021-05-23,ID,16001,47.1,44.5,78.19999999999999,0.0,47.4,47.1
2021-05-30,ID,16001,53.5,48.7,74.99999999999999,0.0,54.2,53.5
2021-06-06,ID,16001,39.4,35.300000000000004,80.5,0.0,40.4,39.4
2021-06-13,ID,16001,33.5,28.599999999999998,76.0,0.0,34.2,33.5
2021-06-20,ID,16001,33.0,27.6,73.79999999999998,0.0,33.2,33.0
2021-06-27,ID,16001,37.099999999999994,32.6,80.5,0.0,37.7,37.099999999999994
2021-07-04,ID,16001,34.4,29.3,72.0,0.0,35.3,34.4
2021-07-11,ID,16001,53.3,47.4,85.60000000000001,0.0,54.1,53.3
2021-07-18,ID,16001,56.2,50.800000000000004,84.5,0.0,56.7,56.2
2021-07-25,ID,16001,61.7,56.2,84.10000000000001,0.0,62.7,61.7
2021-08-01,ID,16001,72.5,67.5,89.6,0.0,73.0,72.5
2021-08-08,ID,16001,109.9,103.80000000000001,90.1,0.0,111.5,109.9
2021-08-15,ID,16001,154.2,148.6,93.19999999999999,0.0,155.39999999999998,154.2
2021-08-22,ID,16001,166.79999999999998,163.4,92.0,0.0,168.79999999999998,166.79999999999998
2021-08-29,ID,16001,191.7,187.7,89.89999999999999,0.0,193.29999999999998,191.7
2021-09-05,ID,16001,224.9,219.6,91.39999999999999,4.4,230.10000000000002,229.3
2021-09-12,ID,16001,257.7,256.20000000000005,96.7,6.4,264.3,264.09999999999997
2021-09-19,ID,16001,304.00000000000006,302.40000000000003,95.69999999999999,5.6,309.90000000000003,309.6000000000001
2021-09-26,ID,16001,298.2,295.8,98.10000000000001,5.9,307.7,304.09999999999997
2021-10-03,ID,16001,264.9,261.09999999999997,99.6,4.7,269.59999999999997,269.59999999999997
2021-10-10,ID,16001,221.0,217.0,97.7,0.0,223.4,221.0
2021-10-17,ID,16001,189.6,185.0,98.0,0.0,192.79999999999998,189.6
2021-10-24,ID,16001,157.20000000000002,152.70000000000002,93.1,0.0,159.6,157.20000000000002
2021-10-31,ID,16001,125.89999999999999,123.2,90.80000000000001,0.0,127.89999999999999,125.89999999999999
2021-11-07,ID,16001,108.49999999999999,105.3,84.89999999999999,0.0,109.89999999999999,108.49999999999999
2021-11-14,ID,16001,100.69999999999999,97.4,87.30000000000001,0.0,101.0,100.69999999999999
2021-11-21,ID,16001,98.1,94.30000000000001,81.30000000000001,0.0,98.69999999999999,98.1
2021-11-28,ID,16001,86.6,83.39999999999999,87.5,0.0,88.7,86.6
2021-12-05,ID,16001,99.2,93.9,83.1,0.0,100.89999999999999,99.2
2021-12-12,ID,16001,88.80000000000001,83.1,91.3,0.0,90.0,88.80000000000001
