collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,ID,16027,15.5,14.899999999999999,19.1,0.0,15.5,15.5
2020-08-09,ID,16027,16.0,11.9,17.799999999999997,0.0,16.0,16.0
2020-08-16,ID,16027,10.6,10.6,18.4,0.0,10.6,10.6
2020-08-23,ID,16027,15.5,14.7,19.9,0.0,15.5,15.5
2020-08-30,ID,16027,12.600000000000001,12.4,18.5,0.0,12.600000000000001,12.600000000000001
2020-09-06,ID,16027,13.5,13.0,20.2,0.0,13.5,13.5
2020-09-13,ID,16027,6.3,6.1,20.7,0.0,6.3,6.3
2020-09-20,ID,16027,0,0,20.3,0.0,0,0.0
2020-09-27,ID,16027,0,0,18.9,0.0,0,0.0
2020-10-04,ID,16027,0,0,17.7,0.0,0,0.0
2020-10-11,ID,16027,0,0,14.4,0.0,0,0.0
2020-10-18,ID,16027,6.7,6.7,23.700000000000003,0.0,7.1,6.7
2020-10-25,ID,16027,13.7,13.399999999999999,21.1,0.0,13.7,13.7
2020-11-01,ID,16027,18.1,17.8,22.3,0.0,18.1,18.1
2020-11-08,ID,16027,26.0,25.3,23.0,0.0,26.0,26.0
2020-11-15,ID,16027,30.799999999999997,29.0,25.1,0.0,30.799999999999997,30.799999999999997
2020-11-22,ID,16027,26.0,25.0,26.6,0.0,26.0,26.0
2020-11-29,ID,16027,27.0,26.7,27.1,0.0,27.0,27.0
2020-12-06,ID,16027,27.7,25.8,22.7,0.0,27.7,27.7
2020-12-13,ID,16027,27.799999999999997,27.7,26.2,0.0,27.799999999999997,27.799999999999997
2020-12-20,ID,16027,27.0,26.2,22.3,0.0,27.0,27.0
2020-12-27,ID,16027,26.0,25.299999999999997,20.7,0.0,26.0,26.0
2021-01-03,ID,16027,17.7,17.3,17.5,0.0,17.7,17.7
2021-01-10,ID,16027,16.7,16.7,15.899999999999999,0.0,16.7,16.7
2021-01-17,ID,16027,12.3,11.4,16.6,0.0,12.3,12.3
2021-01-24,ID,16027,11.3,11.3,18.200000000000003,0.0,11.3,11.3
2021-01-31,ID,16027,8.0,7.9,18.4,0.0,8.0,8.0
2021-02-07,ID,16027,8.6,7.9,20.0,0.0,8.6,8.6
2021-02-14,ID,16027,10.0,9.9,14.0,0.0,10.0,10.0
2021-02-21,ID,16027,5.0,4.7,16.6,0.0,5.0,5.0
2021-02-28,ID,16027,0,0,12.7,0.0,0,0.0
2021-03-07,ID,16027,4.7,4.6,12.7,0.0,4.7,4.7
2021-03-14,ID,16027,0,0,19.3,0.0,0,0.0
2021-03-21,ID,16027,4.1,0,17.7,0.0,4.1,4.1
2021-03-28,ID,16027,4.9,4.9,18.8,0.0,4.9,4.9
2021-04-04,ID,16027,0,0,15.2,0.0,0,0.0
2021-04-11,ID,16027,0,0,18.0,0.0,0,0.0
2021-04-18,ID,16027,0,0,17.799999999999997,0.0,0,0.0
2021-04-25,ID,16027,0,0,14.8,0.0,0,0.0
2021-05-02,ID,16027,0,0,18.7,0.0,0,0.0
