collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,ID,16055,25.9,25.0,25.4,4.1,30.0,30.0
2020-08-09,ID,16055,24.4,24.4,24.7,0.0,25.6,24.4
2020-08-16,ID,16055,15.7,15.7,27.4,0.0,16.7,15.7
2020-08-23,ID,16055,13.6,13.0,24.6,0.0,14.6,13.6
2020-08-30,ID,16055,10.6,10.3,19.4,0.0,11.6,10.6
2020-09-06,ID,16055,9.7,9.4,22.4,0.0,10.6,9.7
2020-09-13,ID,16055,12.3,12.0,28.4,0.0,12.3,12.3
2020-09-20,ID,16055,18.9,18.6,28.6,0.0,18.9,18.9
2020-09-27,ID,16055,20.1,20.0,29.1,0.0,20.1,20.1
2020-10-04,ID,16055,16.6,16.3,29.7,0.0,16.7,16.6
2020-10-11,ID,16055,20.0,20.0,26.7,0.0,20.0,20.0
2020-10-18,ID,16055,30.0,30.0,32.2,0.0,30.0,30.0
2020-10-25,ID,16055,40.1,39.9,30.1,0.0,40.1,40.1
2020-11-01,ID,16055,42.4,42.0,30.7,0.0,42.7,42.4
2020-11-08,ID,16055,43.9,42.4,23.3,0.0,45.3,43.9
2020-11-15,ID,16055,48.9,48.0,26.0,0.0,50.4,48.9
2020-11-22,ID,16055,59.4,58.6,26.6,0.0,60.7,59.4
2020-11-29,ID,16055,67.3,64.7,28.0,0.0,68.6,67.3
2020-12-06,ID,16055,72.3,70.4,28.1,0.0,73.6,72.3
2020-12-13,ID,16055,78.9,77.3,38.0,0.0,81.6,78.9
2020-12-20,ID,16055,84.1,82.9,36.6,0.0,84.7,84.1
2020-12-27,ID,16055,77.4,76.1,33.6,0.0,78.3,77.4
2021-01-03,ID,16055,83.7,82.1,34.1,0.0,85.1,83.7
2021-01-10,ID,16055,73.0,71.9,36.3,0.0,74.4,73.0
2021-01-17,ID,16055,50.7,49.4,37.7,0.0,52.1,50.7
2021-01-24,ID,16055,38.3,35.6,38.3,0.0,40.6,38.3
2021-01-31,ID,16055,34.0,31.7,35.1,0.0,36.9,34.0
2021-02-07,ID,16055,35.0,33.9,27.9,0.0,36.9,35.0
2021-02-14,ID,16055,30.9,29.1,26.3,0.0,32.0,30.9
2021-02-21,ID,16055,24.6,21.4,27.4,0.0,25.6,24.6
2021-02-28,ID,16055,24.7,22.1,25.1,0.0,25.7,24.7
2021-03-07,ID,16055,21.6,20.1,27.6,0.0,23.4,21.6
2021-03-14,ID,16055,23.0,22.1,29.1,0.0,23.7,23.0
2021-03-21,ID,16055,15.3,14.3,26.3,0.0,15.6,15.3
2021-03-28,ID,16055,19.7,17.7,28.3,0.0,20.0,19.7
2021-04-04,ID,16055,23.4,21.4,26.7,0.0,23.4,23.4
2021-04-11,ID,16055,23.0,21.4,26.1,0.0,23.1,23.0
2021-04-18,ID,16055,22.9,18.9,30.1,0.0,22.9,22.9
2021-04-25,ID,16055,23.7,21.6,28.1,0.0,24.3,23.7
2021-05-02,ID,16055,18.1,14.3,28.3,0.0,18.3,18.1
2021-05-09,ID,16055,17.3,16.4,26.9,0.0,17.7,17.3
2021-05-16,ID,16055,26.7,25.3,30.4,0.0,27.3,26.7
2021-05-23,ID,16055,24.7,23.0,31.1,0.0,24.7,24.7
2021-05-30,ID,16055,25.1,22.9,29.0,0.0,26.1,25.1
2021-06-06,ID,16055,27.3,24.6,29.6,0.0,30.0,27.3
2021-06-13,ID,16055,18.9,17.3,28.1,0.0,20.9,18.9
2021-06-20,ID,16055,16.6,15.3,26.6,0.0,19.6,16.6
2021-06-27,ID,16055,22.6,20.3,30.1,0.0,24.9,22.6
2021-07-04,ID,16055,15.3,14.3,26.3,0.0,17.3,15.3
2021-07-11,ID,16055,22.3,21.0,28.4,0.0,23.3,22.3
2021-07-18,ID,16055,24.9,22.4,30.6,0.0,26.1,24.9
2021-07-25,ID,16055,28.0,26.9,33.6,0.0,29.3,28.0
2021-08-01,ID,16055,40.6,39.3,35.6,0.0,42.0,40.6
2021-08-08,ID,16055,66.4,65.7,37.3,0.0,68.3,66.4
2021-08-15,ID,16055,80.7,79.4,44.9,0.0,82.4,80.7
2021-08-22,ID,16055,88.4,88.1,46.9,0.0,90.6,88.4
2021-08-29,ID,16055,92.1,91.7,50.7,0.0,93.7,92.1
2021-09-05,ID,16055,106.9,105.1,51.6,0.0,107.3,106.9
2021-09-12,ID,16055,103.7,103.1,49.0,0.0,105.0,103.7
2021-09-19,ID,16055,110.3,109.6,56.9,0.0,112.3,110.3
2021-09-26,ID,16055,114.4,113.4,55.6,5.1,119.6,119.5
2021-10-03,ID,16055,135.4,134.9,55.3,0.0,138.9,135.4
2021-10-10,ID,16055,122.1,121.4,54.0,0.0,125.4,122.1
2021-10-17,ID,16055,124.1,122.7,59.9,5.0,129.1,129.1
2021-10-24,ID,16055,112.7,111.9,55.0,0.0,116.4,112.7
2021-10-31,ID,16055,96.1,95.0,50.9,0.0,98.4,96.1
2021-11-07,ID,16055,79.4,77.9,53.1,0.0,81.3,79.4
2021-11-14,ID,16055,65.1,63.4,47.6,0.0,66.6,65.1
2021-11-21,ID,16055,61.9,60.9,41.4,0.0,62.9,61.9
2021-11-28,ID,16055,54.6,53.1,38.6,0.0,55.0,54.6
2021-12-05,ID,16055,55.4,52.9,34.6,0.0,55.6,55.4
2021-12-12,ID,16055,53.9,51.7,34.9,0.0,54.3,53.9
2021-12-19,ID,16055,43.0,41.4,31.9,0.0,43.1,43.0
2021-12-26,ID,16055,38.9,37.7,31.7,0.0,39.7,38.9
