collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,IL,17037,4.9,4.1,6.6,0.0,4.9,4.9
2020-08-09,IL,17037,0.0,0.0,4.7,0.0,0.0,0.0
2020-08-16,IL,17037,0.0,0.0,6.9,0.0,0.0,0.0
2020-08-23,IL,17037,0,0.0,6.3,0.0,0.0,0.0
2020-08-30,IL,17037,6.0,5.3,7.4,0.0,6.0,6.0
2020-09-06,IL,17037,6.9,5.7,7.0,0.0,6.9,6.9
2020-09-13,IL,17037,0,0,0.0,0.0,0.0,0.0
2020-09-20,IL,17037,5.0,4.1,6.6,0.0,5.0,5.0
2020-09-27,IL,17037,10.0,9.6,6.6,0.0,10.0,10.0
2020-10-04,IL,17037,9.4,8.9,5.9,0.0,9.4,9.4
2020-10-11,IL,17037,11.1,11.0,7.1,0.0,11.1,11.1
2020-10-18,IL,17037,8.7,8.4,6.7,0.0,8.7,8.7
2020-10-25,IL,17037,13.0,12.0,7.7,0.0,13.0,13.0
2020-11-01,IL,17037,20.1,19.9,8.4,0.0,20.1,20.1
2020-11-08,IL,17037,24.6,24.1,7.9,0.0,24.6,24.6
2020-11-15,IL,17037,36.9,36.6,8.4,0.0,36.9,36.9
2020-11-22,IL,17037,37.0,35.800000000000004,8.7,0.0,37.0,37.0
2020-11-29,IL,17037,30.4,25.9,8.7,0.0,30.4,30.4
2020-12-06,IL,17037,29.4,23.1,9.1,0.0,29.4,29.4
2020-12-13,IL,17037,30.4,22.4,8.9,0.0,30.4,30.4
2020-12-20,IL,17037,27.9,22.0,6.0,0.0,27.9,27.9
2020-12-27,IL,17037,26.9,23.1,6.9,0.0,26.9,26.9
2021-01-03,IL,17037,27.1,21.6,6.4,0.0,27.1,27.1
2021-01-10,IL,17037,34.6,25.1,8.7,0.0,34.6,34.6
2021-01-17,IL,17037,32.6,22.6,8.1,0.0,32.6,32.6
2021-01-24,IL,17037,24.0,17.3,4.6,0.0,24.0,24.0
2021-01-31,IL,17037,23.3,16.9,7.4,0.0,23.3,23.3
2021-02-07,IL,17037,19.0,13.7,8.6,0.0,19.0,19.0
2021-02-14,IL,17037,11.6,7.3,5.6,0.0,11.6,11.6
2021-02-21,IL,17037,9.7,5.0,6.6,0.0,9.7,9.7
2021-02-28,IL,17037,6.3,0.0,6.7,0.0,6.3,6.3
2021-03-07,IL,17037,6.3,4.6,7.9,0.0,6.3,6.3
2021-03-14,IL,17037,5.3,4.3,6.4,0.0,5.3,5.3
2021-03-21,IL,17037,8.0,5.1,4.1,0.0,8.0,8.0
2021-03-28,IL,17037,9.3,6.3,5.4,0.0,9.3,9.3
2021-04-04,IL,17037,8.3,4.6,5.4,0.0,8.3,8.3
2021-04-11,IL,17037,11.1,8.4,6.7,0.0,11.1,11.1
2021-04-18,IL,17037,11.1,9.9,6.3,0.0,11.1,11.1
2021-04-25,IL,17037,8.4,7.0,5.3,0.0,8.4,8.4
2021-05-02,IL,17037,11.4,9.6,4.7,0.0,11.4,11.4
2021-05-09,IL,17037,13.3,11.3,5.1,0.0,13.3,13.3
2021-05-16,IL,17037,12.4,8.6,6.3,0.0,12.4,12.4
2021-05-23,IL,17037,7.1,4.9,7.0,0.0,7.1,7.1
2021-05-30,IL,17037,0.0,0.0,7.9,0.0,0.0,0.0
2021-06-06,IL,17037,0.0,0.0,6.3,0.0,0.0,0.0
2021-06-13,IL,17037,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-20,IL,17037,0.0,0.0,6.4,0.0,0.0,0.0
2021-06-27,IL,17037,4.3,0.0,7.3,0.0,4.3,4.3
2021-07-04,IL,17037,5.3,0.0,7.1,0.0,5.3,5.3
2021-07-11,IL,17037,4.4,0.0,6.0,0.0,4.4,4.4
2021-07-18,IL,17037,5.4,0.0,5.3,0.0,5.4,5.4
2021-07-25,IL,17037,5.4,0.0,7.6,0.0,5.4,5.4
2021-08-01,IL,17037,12.0,9.6,8.9,0.0,12.0,12.0
2021-08-08,IL,17037,13.1,11.3,7.9,0.0,13.1,13.1
2021-08-15,IL,17037,11.6,8.4,9.0,0.0,11.6,11.6
