collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,IL,17043,83.5,52.699999999999996,109.6,0.0,117.00000000000001,83.5
2020-08-09,IL,17043,86.8,46.2,110.30000000000001,0.0,114.7,86.8
2020-08-16,IL,17043,88.7,54.1,120.3,0.0,122.60000000000001,88.7
2020-08-23,IL,17043,83.0,46.00000000000001,109.30000000000001,0.0,115.0,83.0
2020-08-30,IL,17043,90.5,34.6,109.5,0.0,123.1,90.5
2020-09-06,IL,17043,110.9,44.3,108.89999999999999,0.0,137.1,110.9
2020-09-13,IL,17043,133.4,44.9,123.10000000000001,0.0,158.7,133.4
2020-09-20,IL,17043,149.0,52.099999999999994,131.7,0.0,163.10000000000002,149.0
2020-09-27,IL,17043,128.7,57.4,120.1,0.0,152.2,128.7
2020-10-04,IL,17043,111.1,59.199999999999996,125.8,0.0,127.6,111.1
2020-10-11,IL,17043,152.0,95.80000000000001,142.9,0.0,151.1,152.0
2020-10-18,IL,17043,177.79999999999998,128.3,136.7,0.0,181.79999999999998,177.79999999999998
2020-10-25,IL,17043,222.0,175.10000000000002,143.7,0.0,224.8,222.0
2020-11-01,IL,17043,290.19999999999993,244.39999999999998,158.0,0.0,291.3,290.19999999999993
2020-11-08,IL,17043,378.0,326.7,173.0,0.0,379.8,378.0
2020-11-15,IL,17043,416.79999999999995,358.6,166.3,0.0,421.4,416.79999999999995
2020-11-22,IL,17043,403.69999999999993,348.0,154.6,0.0,405.4,403.69999999999993
2020-11-29,IL,17043,364.5,315.4,149.8,4.1,369.20000000000005,368.6
2020-12-06,IL,17043,355.0,307.8,157.4,4.6,362.19999999999993,359.6
2020-12-13,IL,17043,306.8,269.0,151.1,4.0,312.2,310.8
2020-12-20,IL,17043,281.6,242.3,144.3,0.0,285.70000000000005,281.6
2020-12-27,IL,17043,268.2,227.3,140.9,0.0,272.9,268.2
2021-01-03,IL,17043,236.5,193.1,146.6,6.0,243.5,242.5
2021-01-10,IL,17043,226.79999999999998,181.8,136.0,6.1,233.60000000000002,232.89999999999998
2021-01-17,IL,17043,228.1,186.6,137.2,5.9,234.4,234.0
2021-01-24,IL,17043,212.1,169.79999999999998,140.4,0.0,215.9,212.1
2021-01-31,IL,17043,182.0,143.7,134.5,0.0,183.10000000000002,182.0
2021-02-07,IL,17043,150.9,112.2,139.5,0.0,152.4,150.9
2021-02-14,IL,17043,118.00000000000001,84.5,134.5,0.0,121.00000000000001,118.00000000000001
2021-02-21,IL,17043,119.70000000000002,83.0,141.29999999999998,0.0,121.4,119.70000000000002
2021-02-28,IL,17043,105.4,80.1,136.7,0.0,108.69999999999999,105.4
2021-03-07,IL,17043,89.70000000000002,72.80000000000001,129.0,0.0,95.69999999999999,89.70000000000002
2021-03-14,IL,17043,87.69999999999999,70.1,139.2,0.0,88.5,87.69999999999999
2021-03-21,IL,17043,99.9,78.60000000000001,131.1,0.0,101.3,99.9
2021-03-28,IL,17043,86.8,75.60000000000001,123.5,0.0,88.2,86.8
2021-04-04,IL,17043,98.0,76.5,143.8,0.0,100.4,98.0
