collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,IL,17081,9.4,4.0,0.0,0.0,9.4,9.4
2020-08-09,IL,17081,12.9,6.4,0.0,0.0,12.9,12.9
2020-08-16,IL,17081,14.7,9.7,0.0,0.0,14.7,14.7
2020-08-23,IL,17081,16.3,11.9,12.3,0.0,16.3,16.3
2020-08-30,IL,17081,14.1,11.0,9.0,0.0,14.1,14.1
2020-09-06,IL,17081,10.6,6.3,7.7,0.0,10.6,10.6
2020-09-13,IL,17081,9.9,5.6,8.4,0.0,9.9,9.9
2020-09-20,IL,17081,12.3,7.9,9.5,0.0,12.3,12.3
2020-09-27,IL,17081,12.4,7.6,8.8,0.0,12.4,12.4
2020-10-04,IL,17081,16.3,12.4,9.3,0.0,16.7,16.3
2020-10-11,IL,17081,17.4,14.1,9.6,0.0,17.4,17.4
2020-10-18,IL,17081,19.6,15.1,8.7,0.0,19.9,19.6
2020-10-25,IL,17081,17.6,12.7,9.0,0.0,17.6,17.6
2020-11-01,IL,17081,22.3,16.7,10.4,0.0,22.3,22.3
2020-11-08,IL,17081,20.0,14.6,9.7,0.0,20.1,20.0
2020-11-15,IL,17081,25.4,20.9,10.6,0.0,25.4,25.4
2020-11-22,IL,17081,34.9,28.7,12.6,0.0,34.9,34.9
2020-11-29,IL,17081,29.4,25.9,14.0,0.0,29.6,29.4
2020-12-06,IL,17081,30.3,26.0,14.0,0.0,30.4,30.3
2020-12-13,IL,17081,31.3,26.9,12.3,0.0,31.4,31.3
2020-12-20,IL,17081,27.3,24.4,11.4,0.0,27.3,27.3
2020-12-27,IL,17081,27.1,23.1,10.1,0.0,27.3,27.1
2021-01-03,IL,17081,27.4,23.3,10.7,0.0,27.6,27.4
2021-01-10,IL,17081,20.9,17.0,8.3,0.0,21.1,20.9
2021-01-17,IL,17081,23.4,19.0,9.4,0.0,23.4,23.4
2021-01-24,IL,17081,20.9,19.0,11.6,0.0,20.9,20.9
2021-01-31,IL,17081,21.4,18.0,10.6,0.0,21.4,21.4
2021-02-07,IL,17081,20.0,15.9,10.1,0.0,20.0,20.0
2021-02-14,IL,17081,13.3,10.4,7.9,0.0,13.3,13.3
2021-02-21,IL,17081,10.4,8.1,8.6,0.0,10.4,10.4
2021-02-28,IL,17081,9.1,6.9,9.3,0.0,9.1,9.1
2021-03-07,IL,17081,5.4,0,8.0,0.0,5.4,5.4
2021-03-14,IL,17081,0.0,0.0,8.9,0.0,0.0,0.0
2021-03-21,IL,17081,5.3,4.9,10.0,0.0,5.4,5.3
2021-03-28,IL,17081,4.1,4.1,8.7,0.0,4.1,4.1
2021-04-04,IL,17081,0,0.0,9.3,0.0,0,0.0
2021-04-11,IL,17081,0,0,7.4,0.0,0,0.0
2021-04-18,IL,17081,0,0,12.3,0.0,0,0.0
2021-04-25,IL,17081,0,0,12.6,0.0,0,0.0
2021-05-02,IL,17081,5.4,4.9,12.7,0.0,5.7,5.4
2021-05-09,IL,17081,6.3,6.1,12.0,0.0,6.3,6.3
2021-05-16,IL,17081,7.0,7.0,10.0,0.0,7.0,7.0
2021-05-23,IL,17081,8.0,7.6,12.4,0.0,8.1,8.0
2021-05-30,IL,17081,5.4,5.1,11.6,0.0,5.4,5.4
2021-06-06,IL,17081,0.0,0.0,12.4,0.0,0.0,0.0
2021-06-13,IL,17081,0.0,0.0,10.9,0.0,0.0,0.0
2021-06-20,IL,17081,0,0.0,10.1,0.0,0,0.0
2021-06-27,IL,17081,0,0,8.7,0.0,0,0.0
2021-07-04,IL,17081,5.1,4.9,9.9,0.0,5.4,5.1
2021-07-11,IL,17081,8.6,8.1,12.4,0.0,8.6,8.6
2021-07-18,IL,17081,9.1,8.6,11.6,0.0,9.1,9.1
2021-07-25,IL,17081,11.1,10.6,10.9,0.0,11.3,11.1
2021-08-01,IL,17081,16.9,15.0,9.9,0.0,17.0,16.9
2021-08-08,IL,17081,21.1,20.9,14.3,0.0,21.3,21.1
2021-08-15,IL,17081,31.4,26.7,13.3,0.0,31.9,31.4
2021-08-22,IL,17081,33.8,32.9,14.4,0.0,34.1,33.8
2021-08-29,IL,17081,29.9,29.0,14.1,0.0,30.0,29.9
2021-09-05,IL,17081,32.0,31.3,14.7,0.0,32.6,32.0
2021-09-12,IL,17081,32.0,31.4,15.4,0.0,32.3,32.0
2021-09-19,IL,17081,24.7,24.6,14.9,0.0,24.7,24.7
2021-09-26,IL,17081,22.4,21.7,13.7,0.0,22.4,22.4
2021-10-03,IL,17081,15.9,15.6,13.6,0.0,16.0,15.9
2021-10-10,IL,17081,14.9,14.3,13.1,0.0,15.0,14.9
