collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,IL,17097,84.7,37.400000000000006,76.6,0.0,84.8,84.7
2020-08-09,IL,17097,107.3,36.3,79.1,0.0,107.7,107.3
2020-08-16,IL,17097,108.9,38.400000000000006,81.7,0.0,109.2,108.9
2020-08-23,IL,17097,111.0,38.599999999999994,85.3,0.0,111.0,111.0
2020-08-30,IL,17097,98.6,39.6,81.6,0.0,98.8,98.6
2020-09-06,IL,17097,85.2,27.700000000000003,68.80000000000001,0.0,85.39999999999999,85.2
2020-09-13,IL,17097,97.6,24.1,70.2,0.0,97.69999999999999,97.6
2020-09-20,IL,17097,110.8,26.2,78.9,0.0,110.9,110.8
2020-09-27,IL,17097,104.2,29.7,80.5,0.0,104.2,104.2
2020-10-04,IL,17097,122.0,39.9,84.5,0.0,122.0,122.0
2020-10-11,IL,17097,104.2,47.3,81.6,0.0,104.7,104.2
2020-10-18,IL,17097,116.39999999999999,66.2,87.5,0.0,116.39999999999999,116.39999999999999
2020-10-25,IL,17097,129.8,86.9,89.0,0.0,129.8,129.8
2020-11-01,IL,17097,177.5,122.30000000000001,96.30000000000001,0.0,177.5,177.5
2020-11-08,IL,17097,237.5,187.10000000000002,100.7,0.0,237.5,237.5
2020-11-15,IL,17097,257.6,208.1,101.1,0.0,257.6,257.6
2020-11-22,IL,17097,234.4,196.3,92.7,0.0,234.4,234.4
2020-11-29,IL,17097,224.90000000000003,198.89999999999998,100.2,0.0,224.90000000000003,224.90000000000003
2020-12-06,IL,17097,204.6,177.6,91.6,0.0,204.6,204.6
2020-12-13,IL,17097,205.50000000000003,175.0,94.4,0.0,205.50000000000003,205.50000000000003
2020-12-20,IL,17097,180.0,156.8,90.39999999999999,0.0,180.0,180.0
2020-12-27,IL,17097,171.4,143.9,92.6,0.0,171.4,171.4
2021-01-03,IL,17097,158.20000000000002,138.3,99.4,0.0,158.20000000000002,158.20000000000002
2021-01-10,IL,17097,145.1,125.69999999999999,100.5,0.0,145.1,145.1
