collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,IL,17119,40.7,18.6,21.7,0.0,40.7,40.7
2020-08-09,IL,17119,37.0,17.9,18.7,0.0,37.199999999999996,37.0
2020-08-16,IL,17119,27.0,18.5,14.899999999999999,0.0,27.4,27.0
2020-08-23,IL,17119,45.2,28.0,28.200000000000003,0.0,45.2,45.2
2020-08-30,IL,17119,44.4,25.7,19.3,0.0,44.4,44.4
2020-09-06,IL,17119,39.4,24.799999999999997,18.8,0.0,39.4,39.4
2020-09-13,IL,17119,32.1,14.7,25.800000000000004,0.0,32.1,32.1
2020-09-20,IL,17119,27.8,14.7,17.3,0.0,28.099999999999998,27.8
2020-09-27,IL,17119,29.0,14.0,15.4,0.0,33.1,29.0
2020-10-04,IL,17119,31.1,15.700000000000001,15.1,0.0,31.300000000000004,31.1
2020-10-11,IL,17119,30.700000000000003,15.6,18.299999999999997,0.0,30.700000000000003,30.700000000000003
2020-10-18,IL,17119,27.099999999999998,22.6,18.6,0.0,27.099999999999998,27.099999999999998
2020-10-25,IL,17119,36.4,22.299999999999997,16.3,0.0,36.1,36.4
2020-11-01,IL,17119,43.099999999999994,27.0,22.0,0.0,43.099999999999994,43.099999999999994
2020-11-08,IL,17119,70.6,54.2,24.4,0.0,70.6,70.6
2020-11-15,IL,17119,96.2,76.99999999999999,31.299999999999997,0.0,96.2,96.2
2020-11-22,IL,17119,105.2,88.5,32.8,0.0,113.2,105.2
2020-11-29,IL,17119,95.30000000000001,86.3,32.1,0.0,96.30000000000001,95.30000000000001
2020-12-06,IL,17119,96.4,87.6,33.0,0.0,96.4,96.4
2020-12-13,IL,17119,100.39999999999999,88.7,32.1,0.0,100.39999999999999,100.39999999999999
2020-12-20,IL,17119,82.50000000000001,70.7,29.499999999999996,0.0,82.70000000000002,82.50000000000001
2020-12-27,IL,17119,63.699999999999996,55.2,26.0,0.0,63.699999999999996,63.699999999999996
2021-01-03,IL,17119,67.7,58.4,26.7,0.0,67.7,67.7
2021-01-10,IL,17119,78.10000000000002,65.60000000000001,27.699999999999996,0.0,78.10000000000002,78.10000000000002
2021-01-17,IL,17119,77.2,66.1,27.0,0.0,77.2,77.2
2021-01-24,IL,17119,77.8,64.0,28.699999999999996,0.0,77.8,77.8
2021-01-31,IL,17119,52.1,42.1,22.5,0.0,52.1,52.1
2021-02-07,IL,17119,47.7,34.3,23.6,0.0,47.7,47.7
2021-02-14,IL,17119,42.7,31.6,26.9,0.0,42.7,42.7
2021-02-21,IL,17119,36.8,26.199999999999996,23.900000000000002,0.0,36.8,36.8
2021-02-28,IL,17119,34.9,24.0,26.699999999999996,0.0,34.9,34.9
2021-03-07,IL,17119,29.4,24.7,23.4,0.0,29.4,29.4
2021-03-14,IL,17119,21.6,18.200000000000003,16.5,0.0,21.6,21.6
2021-03-21,IL,17119,28.400000000000002,18.1,25.4,0.0,28.400000000000002,28.400000000000002
2021-03-28,IL,17119,21.4,17.4,23.9,0.0,21.4,21.4
2021-04-04,IL,17119,15.3,11.7,17.0,0.0,15.3,15.3
2021-04-11,IL,17119,18.1,12.100000000000001,9.0,0.0,18.1,18.1
2021-04-18,IL,17119,15.6,11.3,15.5,0.0,15.6,15.6
2021-04-25,IL,17119,12.600000000000001,4.6,18.5,0.0,12.600000000000001,12.600000000000001
2021-05-02,IL,17119,18.5,13.1,18.200000000000003,0.0,18.5,18.5
2021-05-09,IL,17119,15.899999999999999,11.0,24.0,0.0,15.899999999999999,15.899999999999999
2021-05-16,IL,17119,16.3,11.899999999999999,22.7,0.0,16.3,16.3
2021-05-23,IL,17119,12.4,4.7,22.800000000000004,0.0,12.4,12.4
2021-05-30,IL,17119,4.7,0.0,23.0,0.0,4.7,4.7
2021-06-06,IL,17119,0.0,0.0,14.0,0.0,0.0,0.0
2021-06-13,IL,17119,0.0,0.0,21.700000000000003,0.0,0.0,0.0
2021-06-20,IL,17119,0.0,0.0,17.200000000000003,0.0,0.0,0.0
2021-06-27,IL,17119,12.8,6.9,23.1,0.0,12.8,12.8
2021-07-04,IL,17119,14.7,5.1,16.5,0.0,14.7,14.7
2021-07-11,IL,17119,14.600000000000001,7.9,15.7,0.0,14.600000000000001,14.600000000000001
2021-07-18,IL,17119,21.0,15.9,20.0,0.0,21.0,21.0
2021-07-25,IL,17119,30.599999999999998,22.4,23.6,0.0,30.599999999999998,30.599999999999998
2021-08-01,IL,17119,41.6,36.7,26.800000000000004,0.0,41.6,41.6
2021-08-08,IL,17119,55.699999999999996,48.1,32.099999999999994,0.0,55.699999999999996,55.699999999999996
2021-08-15,IL,17119,62.3,56.3,33.6,0.0,62.3,62.3
2021-08-22,IL,17119,58.099999999999994,53.8,29.299999999999997,0.0,58.099999999999994,58.099999999999994
2021-08-29,IL,17119,56.6,51.900000000000006,28.5,0.0,56.6,56.6
2021-09-05,IL,17119,56.0,50.2,31.500000000000004,0.0,56.0,56.0
2021-09-12,IL,17119,57.9,49.099999999999994,28.200000000000003,0.0,57.9,57.9
2021-09-19,IL,17119,50.099999999999994,43.599999999999994,26.5,0.0,50.099999999999994,50.099999999999994
2021-09-26,IL,17119,41.7,36.099999999999994,27.7,0.0,41.7,41.7
2021-10-03,IL,17119,38.6,33.300000000000004,27.3,0.0,38.6,38.6
2021-10-10,IL,17119,31.799999999999997,25.299999999999997,23.4,0.0,31.799999999999997,31.799999999999997
2021-10-17,IL,17119,27.3,22.200000000000003,29.0,0.0,27.3,27.3
2021-10-24,IL,17119,24.9,13.1,27.400000000000002,0.0,24.9,24.9
2021-10-31,IL,17119,17.5,11.7,29.8,0.0,17.5,17.5
2021-11-07,IL,17119,22.9,18.0,27.7,0.0,22.9,22.9
