collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,IL,17113,17.4,0,11.7,0.0,17.6,17.4
2020-08-09,IL,17113,13.8,0,10.2,0.0,14.0,13.8
2020-08-16,IL,17113,12.9,0,11.0,0.0,12.9,12.9
2020-08-23,IL,17113,16.8,0,11.2,0.0,17.8,16.8
2020-08-30,IL,17113,19.5,9.8,18.5,0.0,19.5,19.5
2020-09-06,IL,17113,17.6,5.6,18.200000000000003,0.0,17.6,17.6
2020-09-13,IL,17113,22.700000000000003,13.9,17.4,0.0,22.700000000000003,22.700000000000003
2020-09-20,IL,17113,24.7,16.5,15.4,0.0,24.7,24.7
2020-09-27,IL,17113,21.799999999999997,17.200000000000003,7.4,0,22.2,21.799999999999997
2020-10-04,IL,17113,26.3,19.6,17.5,0.0,26.700000000000003,26.3
2020-10-11,IL,17113,34.0,24.1,18.0,0.0,34.0,34.0
2020-10-18,IL,17113,31.1,25.1,13.1,0.0,31.1,31.1
2020-10-25,IL,17113,31.799999999999997,24.5,13.3,0.0,32.0,31.799999999999997
2020-11-01,IL,17113,41.6,29.9,19.8,0.0,41.7,41.6
2020-11-08,IL,17113,48.4,42.0,18.0,0.0,48.4,48.4
2020-11-15,IL,17113,60.7,48.3,18.4,0.0,60.7,60.7
2020-11-22,IL,17113,67.8,58.3,20.799999999999997,0.0,67.8,67.8
2020-11-29,IL,17113,60.7,51.099999999999994,23.200000000000003,0.0,60.7,60.7
2020-12-06,IL,17113,62.3,52.0,19.6,0.0,62.3,62.3
2020-12-13,IL,17113,57.1,49.400000000000006,18.6,0.0,57.1,57.1
2020-12-20,IL,17113,60.599999999999994,46.6,23.7,0.0,60.599999999999994,60.599999999999994
2020-12-27,IL,17113,59.0,46.400000000000006,20.799999999999997,0.0,59.0,59.0
2021-01-03,IL,17113,49.7,42.099999999999994,18.5,0.0,49.7,49.7
2021-01-10,IL,17113,46.9,38.7,16.1,0.0,46.9,46.9
2021-01-17,IL,17113,31.299999999999997,25.9,17.1,0.0,31.299999999999997,31.299999999999997
2021-01-24,IL,17113,21.799999999999997,17.8,18.3,0.0,21.799999999999997,21.799999999999997
2021-01-31,IL,17113,27.099999999999998,22.9,17.2,0.0,27.099999999999998,27.099999999999998
2021-02-07,IL,17113,19.799999999999997,13.3,16.8,0.0,19.799999999999997,19.799999999999997
2021-02-14,IL,17113,17.8,15.0,16.4,0.0,17.8,17.8
2021-02-21,IL,17113,15.0,11.5,16.0,0.0,15.0,15.0
2021-02-28,IL,17113,12.100000000000001,9.7,16.8,0.0,12.100000000000001,12.100000000000001
2021-03-07,IL,17113,11.2,9.399999999999999,15.8,0.0,11.5,11.2
2021-03-14,IL,17113,11.6,5.3,10.399999999999999,0.0,11.6,11.6
2021-03-21,IL,17113,12.8,11.399999999999999,16.0,0.0,12.8,12.8
2021-03-28,IL,17113,28.1,25.6,19.3,0.0,28.1,28.1
2021-04-04,IL,17113,42.7,40.0,21.3,0.0,42.7,42.7
2021-04-11,IL,17113,54.0,50.4,23.8,0.0,54.0,54.0
2021-04-18,IL,17113,41.8,37.7,22.0,0.0,41.8,41.8
2021-04-25,IL,17113,40.400000000000006,36.7,19.9,0.0,40.400000000000006,40.400000000000006
2021-05-02,IL,17113,46.5,43.3,23.700000000000003,0.0,46.5,46.5
2021-05-09,IL,17113,37.3,34.8,22.0,0.0,37.3,37.3
2021-05-16,IL,17113,25.4,24.0,21.4,0.0,25.4,25.4
2021-05-23,IL,17113,15.3,14.6,20.0,0.0,15.3,15.3
2021-05-30,IL,17113,4.7,4.0,18.3,0.0,4.7,4.7
2021-06-06,IL,17113,0,0,19.200000000000003,0.0,0,0.0
2021-06-13,IL,17113,4.4,0,15.4,0.0,4.4,4.4
2021-06-20,IL,17113,5.0,0.0,13.100000000000001,0.0,5.0,5.0
2021-06-27,IL,17113,4.6,0.0,11.8,0.0,4.6,4.6
2021-07-04,IL,17113,0,0,15.0,0.0,0,0.0
