collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,IL,17161,18.3,13.3,20.9,0.0,18.3,18.3
2020-08-09,IL,17161,15.7,11.7,21.0,0.0,15.8,15.7
2020-08-16,IL,17161,15.0,10.7,15.0,0.0,15.1,15.0
2020-08-23,IL,17161,14.1,11.1,16.7,0.0,14.3,14.1
2020-08-30,IL,17161,13.6,10.1,14.3,0.0,13.6,13.6
2020-09-06,IL,17161,15.9,11.4,16.1,0.0,15.9,15.9
2020-09-13,IL,17161,15.6,11.6,16.4,0.0,15.6,15.6
2020-09-20,IL,17161,19.0,15.0,20.700000000000003,0.0,19.2,19.0
2020-09-27,IL,17161,23.4,18.8,20.5,0.0,23.4,23.4
2020-10-04,IL,17161,26.4,22.7,20.0,0.0,26.799999999999997,26.4
2020-10-11,IL,17161,27.2,22.3,19.6,0.0,27.2,27.2
2020-10-18,IL,17161,30.599999999999998,26.599999999999998,21.0,0.0,30.599999999999998,30.599999999999998
2020-10-25,IL,17161,33.7,27.799999999999997,20.5,0.0,33.7,33.7
2020-11-01,IL,17161,42.9,38.3,24.900000000000002,0.0,42.9,42.9
2020-11-08,IL,17161,59.7,52.4,26.7,0.0,59.7,59.7
2020-11-15,IL,17161,75.0,67.3,35.3,0.0,75.0,75.0
2020-11-22,IL,17161,84.69999999999999,78.1,37.8,0.0,84.80000000000001,84.69999999999999
2020-11-29,IL,17161,83.89999999999999,78.7,33.9,0.0,84.19999999999999,83.89999999999999
2020-12-06,IL,17161,76.60000000000001,73.4,30.6,0.0,76.60000000000001,76.60000000000001
2020-12-13,IL,17161,58.5,56.6,26.400000000000002,0.0,58.5,58.5
2020-12-20,IL,17161,53.8,52.0,26.5,0.0,53.8,53.8
2020-12-27,IL,17161,49.3,46.3,22.7,0.0,49.3,49.3
2021-01-03,IL,17161,43.5,39.7,26.4,0.0,43.6,43.5
2021-01-10,IL,17161,40.0,36.3,21.299999999999997,0.0,40.0,40.0
2021-01-17,IL,17161,30.7,27.8,19.2,0.0,30.7,30.7
2021-01-24,IL,17161,30.700000000000003,28.299999999999997,20.2,0.0,30.9,30.700000000000003
2021-01-31,IL,17161,26.2,25.0,22.0,0.0,26.2,26.2
2021-02-07,IL,17161,15.3,14.6,20.4,0.0,15.3,15.3
2021-02-14,IL,17161,12.7,10.9,14.9,0.0,12.7,12.7
2021-02-21,IL,17161,14.0,12.9,15.7,0.0,14.0,14.0
2021-02-28,IL,17161,10.1,9.1,19.6,0.0,10.1,10.1
2021-03-07,IL,17161,15.4,14.6,17.0,0.0,15.6,15.4
2021-03-14,IL,17161,13.7,13.1,20.0,0.0,13.7,13.7
2021-03-21,IL,17161,11.9,11.3,15.6,0.0,11.9,11.9
2021-03-28,IL,17161,16.4,15.7,16.7,0.0,17.6,16.4
2021-04-04,IL,17161,20.8,20.0,20.3,0.0,21.799999999999997,20.8
2021-04-11,IL,17161,18.6,17.2,19.0,0.0,19.6,18.6
2021-04-18,IL,17161,18.5,14.0,21.0,0.0,19.0,18.5
2021-04-25,IL,17161,23.799999999999997,23.0,19.1,0.0,24.1,23.799999999999997
2021-05-02,IL,17161,20.6,16.4,21.5,0.0,20.6,20.6
2021-05-09,IL,17161,22.1,21.2,20.5,0.0,22.1,22.1
2021-05-16,IL,17161,21.3,19.2,20.5,0.0,21.3,21.3
2021-05-23,IL,17161,12.7,11.6,19.5,0.0,12.9,12.7
2021-05-30,IL,17161,8.1,7.1,21.200000000000003,0.0,8.1,8.1
2021-06-06,IL,17161,0,0.0,15.6,0.0,0,0.0
2021-06-13,IL,17161,0,0,18.8,0.0,0,0.0
2021-06-20,IL,17161,0,0,21.799999999999997,0.0,0,0.0
2021-06-27,IL,17161,4.1,0,15.3,0.0,4.1,4.1
2021-07-04,IL,17161,0,0,16.9,0.0,0,0.0
2021-07-11,IL,17161,0,0,20.4,0.0,0,0.0
2021-07-18,IL,17161,4.6,0,16.3,0.0,4.6,4.6
2021-07-25,IL,17161,8.1,6.7,15.9,0.0,8.3,8.1
2021-08-01,IL,17161,11.7,10.1,20.1,0.0,11.7,11.7
2021-08-08,IL,17161,12.1,11.7,18.9,0.0,12.1,12.1
2021-08-15,IL,17161,22.4,22.1,21.0,0.0,22.7,22.4
2021-08-22,IL,17161,33.0,32.4,22.6,0.0,33.0,33.0
2021-08-29,IL,17161,41.8,41.699999999999996,29.5,0.0,41.8,41.8
2021-09-05,IL,17161,46.7,46.3,31.0,0.0,46.7,46.7
2021-09-12,IL,17161,40.9,39.9,29.9,0.0,40.9,40.9
2021-09-19,IL,17161,35.4,35.1,29.0,0.0,35.4,35.4
2021-09-26,IL,17161,35.9,35.5,27.6,0.0,35.9,35.9
2021-10-03,IL,17161,38.9,38.9,31.200000000000003,0.0,38.9,38.9
2021-10-10,IL,17161,36.7,36.5,28.799999999999997,0.0,36.7,36.7
2021-10-17,IL,17161,29.4,29.200000000000003,28.0,0.0,29.4,29.4
2021-10-24,IL,17161,22.1,22.1,21.9,0.0,22.1,22.1
2021-10-31,IL,17161,25.6,25.200000000000003,22.9,0.0,25.6,25.6
2021-11-07,IL,17161,28.5,28.0,22.6,0.0,28.5,28.5
2021-11-14,IL,17161,23.9,23.3,21.8,0.0,28.2,23.9
2021-11-21,IL,17161,31.200000000000003,30.200000000000003,21.1,0.0,31.200000000000003,31.200000000000003
2021-11-28,IL,17161,39.1,39.1,24.0,0.0,39.1,39.1
2021-12-05,IL,17161,52.2,51.5,24.3,0.0,52.599999999999994,52.2
2021-12-12,IL,17161,56.8,55.6,26.0,0.0,57.0,56.8
2021-12-19,IL,17161,56.0,55.4,26.4,0.0,57.1,56.0
2021-12-26,IL,17161,68.5,67.8,29.7,0.0,69.0,68.5
