collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,IL,17167,30.3,26.6,74.3,0,32.0,30.3
2020-08-09,IL,17167,36.900000000000006,31.4,77.6,0.0,37.2,36.900000000000006
2020-08-16,IL,17167,39.8,32.2,74.4,0.0,39.8,39.8
2020-08-23,IL,17167,44.7,41.599999999999994,84.4,0.0,44.7,44.7
2020-08-30,IL,17167,54.5,43.8,81.5,0.0,54.5,54.5
2020-09-06,IL,17167,51.0,46.0,82.2,0.0,51.0,51.0
2020-09-13,IL,17167,38.7,35.8,80.30000000000001,0,39.0,38.7
2020-09-20,IL,17167,38.3,35.0,75.3,0.0,38.3,38.3
2020-09-27,IL,17167,43.7,42.099999999999994,79.3,0.0,43.7,43.7
2020-10-04,IL,17167,51.8,49.1,78.4,0.0,51.8,51.8
2020-10-11,IL,17167,67.0,63.5,93.6,0.0,67.1,67.0
2020-10-18,IL,17167,80.4,72.8,99.69999999999999,0.0,81.19999999999999,80.4
2020-10-25,IL,17167,83.0,77.6,90.1,0.0,84.0,83.0
2020-11-01,IL,17167,93.3,89.7,86.1,0.0,94.6,93.3
2020-11-08,IL,17167,101.19999999999999,97.80000000000001,72.0,0.0,129.2,101.19999999999999
2020-11-15,IL,17167,137.7,133.0,78.7,0,172.0,137.7
2020-11-22,IL,17167,188.9,180.0,111.4,0,189.8,188.9
2020-11-29,IL,17167,156.1,153.6,105.6,0,157.0,156.1
2020-12-06,IL,17167,139.0,131.3,102.4,0,141.2,139.0
2020-12-13,IL,17167,113.9,108.30000000000001,92.7,0.0,114.1,113.9
2020-12-20,IL,17167,103.30000000000001,101.19999999999999,91.19999999999999,0,105.3,103.30000000000001
2020-12-27,IL,17167,111.30000000000001,104.3,76.69999999999999,0.0,111.7,111.30000000000001
2021-01-03,IL,17167,89.1,85.4,83.7,0.0,89.3,89.1
2021-01-10,IL,17167,84.5,81.19999999999999,87.0,0,85.0,84.5
2021-01-17,IL,17167,82.3,78.9,83.3,0.0,82.4,82.3
2021-01-24,IL,17167,76.1,70.6,81.2,0.0,76.1,76.1
2021-01-31,IL,17167,55.5,53.599999999999994,85.4,0.0,55.5,55.5
2021-02-07,IL,17167,38.3,37.5,80.7,0.0,38.3,38.3
2021-02-14,IL,17167,35.8,33.7,85.0,0.0,35.8,35.8
2021-02-21,IL,17167,30.799999999999997,30.099999999999998,82.9,0.0,30.799999999999997,30.799999999999997
2021-02-28,IL,17167,21.0,20.3,80.0,0.0,21.0,21.0
2021-03-07,IL,17167,19.8,19.3,72.4,0.0,19.8,19.8
2021-03-14,IL,17167,22.5,21.4,76.9,0.0,22.6,22.5
2021-03-21,IL,17167,28.5,25.400000000000002,78.19999999999999,0.0,28.5,28.5
2021-03-28,IL,17167,27.3,25.9,80.9,0.0,27.3,27.3
2021-04-04,IL,17167,29.700000000000003,29.0,81.4,0.0,29.700000000000003,29.700000000000003
2021-04-11,IL,17167,33.6,32.5,87.1,0.0,33.6,33.6
2021-04-18,IL,17167,31.799999999999997,31.700000000000003,83.4,0.0,31.799999999999997,31.799999999999997
2021-04-25,IL,17167,33.0,31.799999999999997,81.7,0.0,33.0,33.0
2021-05-02,IL,17167,35.6,34.1,84.0,0.0,35.6,35.6
2021-05-09,IL,17167,28.1,28.0,81.80000000000001,0.0,28.1,28.1
2021-05-16,IL,17167,30.700000000000003,29.099999999999998,83.6,0.0,30.700000000000003,30.700000000000003
2021-05-23,IL,17167,27.5,26.6,78.69999999999999,0.0,27.5,27.5
2021-05-30,IL,17167,22.1,22.1,78.1,0.0,22.1,22.1
2021-06-06,IL,17167,13.899999999999999,13.7,70.8,0.0,13.899999999999999,13.899999999999999
2021-06-13,IL,17167,5.4,5.0,75.4,0.0,5.4,5.4
2021-06-20,IL,17167,0,0,76.1,0.0,0,0.0
2021-06-27,IL,17167,9.6,9.2,74.9,0.0,9.6,9.6
2021-07-04,IL,17167,9.1,7.7,79.0,0.0,9.1,9.1
2021-07-11,IL,17167,9.6,8.4,72.0,0.0,9.6,9.6
2021-07-18,IL,17167,12.7,12.2,76.3,0.0,12.7,12.7
2021-07-25,IL,17167,23.0,22.3,77.5,0.0,23.0,23.0
2021-08-01,IL,17167,37.5,36.8,77.4,0.0,37.5,37.5
2021-08-08,IL,17167,64.0,63.5,77.8,0.0,64.0,64.0
2021-08-15,IL,17167,70.4,69.0,79.5,0.0,70.4,70.4
2021-08-22,IL,17167,78.1,76.4,81.30000000000001,0.0,78.1,78.1
2021-08-29,IL,17167,71.0,68.6,76.7,0.0,71.0,71.0
2021-09-05,IL,17167,68.1,66.5,77.30000000000001,0.0,68.1,68.1
2021-09-12,IL,17167,61.7,60.3,77.0,0.0,61.7,61.7
2021-09-19,IL,17167,66.3,65.0,78.6,0.0,66.3,66.3
2021-09-26,IL,17167,53.1,52.5,81.2,0.0,53.1,53.1
2021-10-03,IL,17167,45.2,44.0,86.6,0.0,45.2,45.2
2021-10-10,IL,17167,34.3,33.0,77.0,0.0,34.3,34.3
2021-10-17,IL,17167,32.4,30.9,74.6,0.0,32.4,32.4
2021-10-24,IL,17167,32.1,30.0,82.19999999999999,0.0,32.1,32.1
2021-10-31,IL,17167,28.0,24.3,79.4,0.0,28.0,28.0
2021-11-07,IL,17167,30.6,27.9,81.3,0.0,30.6,30.6
2021-11-14,IL,17167,26.1,25.1,76.0,0.0,26.1,26.1
2021-11-21,IL,17167,31.799999999999997,31.299999999999997,79.2,0.0,31.799999999999997,31.799999999999997
2021-11-28,IL,17167,48.599999999999994,47.2,82.2,0.0,48.599999999999994,48.599999999999994
2021-12-05,IL,17167,64.5,62.8,84.80000000000001,0.0,64.5,64.5
2021-12-12,IL,17167,80.5,74.3,81.7,0.0,80.5,80.5
2021-12-19,IL,17167,95.1,93.6,83.80000000000001,0.0,95.1,95.1
2021-12-26,IL,17167,115.89999999999999,111.8,92.0,0.0,115.89999999999999,115.89999999999999
