collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,IL,17177,29.6,0,4.4,0.0,29.6,29.6
2020-08-09,IL,17177,22.9,0,0,0,23.1,22.9
2020-08-16,IL,17177,18.0,0,0,0.0,18.0,18.0
2020-08-23,IL,17177,23.3,0,0,0.0,23.3,23.3
2020-08-30,IL,17177,22.3,0,0,0,22.6,22.3
2020-09-06,IL,17177,25.1,0,0,0,25.4,25.1
2020-09-13,IL,17177,22.1,0,0,0,22.3,22.1
2020-09-20,IL,17177,24.0,0,0,0.0,24.0,24.0
2020-09-27,IL,17177,32.0,0,0,0,32.1,32.0
2020-10-04,IL,17177,28.9,4.9,0,0.0,28.9,28.9
2020-10-11,IL,17177,30.4,6.1,4.3,0,31.0,30.4
2020-10-18,IL,17177,19.3,8.4,4.4,0,19.4,19.3
2020-10-25,IL,17177,23.1,14.6,5.0,0.0,23.1,23.1
2020-11-01,IL,17177,32.0,18.9,6.1,0.0,32.0,32.0
2020-11-08,IL,17177,38.3,26.4,5.4,0.0,38.3,38.3
2020-11-15,IL,17177,27.1,19.6,4.3,0,27.3,27.1
2020-11-22,IL,17177,19.9,16.9,0,0,20.0,19.9
2020-11-29,IL,17177,18.9,17.6,0,0.0,18.9,18.9
2020-12-06,IL,17177,15.6,14.6,0,0,15.7,15.6
2020-12-13,IL,17177,11.6,9.0,0,0,11.7,11.6
2020-12-20,IL,17177,12.7,10.3,4.6,0.0,12.7,12.7
2020-12-27,IL,17177,12.3,9.9,0,0.0,12.3,12.3
2021-01-03,IL,17177,9.7,9.0,4.6,0.0,9.7,9.7
2021-01-10,IL,17177,12.7,11.3,4.0,0.0,12.7,12.7
2021-01-17,IL,17177,13.9,13.0,0,0.0,13.9,13.9
2021-01-24,IL,17177,9.1,7.4,0,0.0,9.1,9.1
2021-01-31,IL,17177,5.3,4.3,0,0.0,5.3,5.3
2021-02-07,IL,17177,0,0,0,0.0,0,0.0
2021-02-14,IL,17177,0,0,0,0.0,0,0.0
2021-02-21,IL,17177,6.3,6.1,0,0.0,6.3,6.3
2021-02-28,IL,17177,0,0,0,0.0,0,0.0
2021-03-07,IL,17177,0,0,4.0,0.0,0,0.0
2021-03-14,IL,17177,4.6,4.1,5.4,0.0,4.6,4.6
2021-03-21,IL,17177,7.6,7.6,5.0,0.0,7.6,7.6
2021-03-28,IL,17177,12.9,12.4,4.3,0.0,12.9,12.9
2021-04-04,IL,17177,9.3,9.1,0,0.0,9.3,9.3
2021-04-11,IL,17177,10.1,9.4,4.7,0.0,10.1,10.1
2021-04-18,IL,17177,8.1,6.9,4.9,0,8.3,8.1
2021-04-25,IL,17177,0,0,0,0.0,0,0.0
2021-05-02,IL,17177,5.4,5.1,0,0.0,5.4,5.4
2021-05-09,IL,17177,5.0,4.7,0,0.0,5.0,5.0
2021-05-16,IL,17177,6.1,6.1,4.1,0.0,6.1,6.1
2021-05-23,IL,17177,4.0,4.0,0,0.0,4.0,4.0
2021-05-30,IL,17177,0,0,0,0.0,0,0.0
2021-06-06,IL,17177,0,0,0,0.0,0,0.0
2021-06-13,IL,17177,0.0,0.0,0,0.0,0.0,0.0
2021-06-20,IL,17177,0,0,0,0.0,0,0.0
2021-06-27,IL,17177,0,0,0,0.0,0,0.0
2021-07-04,IL,17177,0,0,0,0.0,0,0.0
2021-07-11,IL,17177,0,0,4.1,0.0,0,0.0
2021-07-18,IL,17177,0,0,0,0.0,0,0.0
2021-07-25,IL,17177,0,0,0,0.0,0,0.0
2021-08-01,IL,17177,0,0,0,0.0,0,0.0
2021-08-08,IL,17177,4.3,4.3,0,0.0,4.3,4.3
2021-08-15,IL,17177,7.6,7.4,4.6,0.0,7.6,7.6
2021-08-22,IL,17177,8.9,8.9,4.4,0.0,8.9,8.9
2021-08-29,IL,17177,9.0,9.0,4.9,0.0,9.0,9.0
2021-09-05,IL,17177,11.3,11.3,5.1,0,11.4,11.3
2021-09-12,IL,17177,7.6,7.6,5.0,0,7.9,7.6
2021-09-19,IL,17177,11.9,11.4,4.3,0.0,11.9,11.9
2021-09-26,IL,17177,10.4,10.3,0,0.0,10.4,10.4
2021-10-03,IL,17177,7.0,7.0,0,0.0,7.0,7.0
2021-10-10,IL,17177,10.9,10.3,6.4,0.0,10.9,10.9
2021-10-17,IL,17177,17.6,17.1,6.9,0.0,17.6,17.6
2021-10-24,IL,17177,19.0,17.0,4.7,0.0,19.0,19.0
2021-10-31,IL,17177,20.7,20.1,0,0.0,20.7,20.7
2021-11-07,IL,17177,24.4,24.0,5.6,0.0,24.4,24.4
2021-11-14,IL,17177,25.7,25.1,5.0,0.0,25.7,25.7
2021-11-21,IL,17177,28.4,27.7,5.0,0.0,28.4,28.4
2021-11-28,IL,17177,26.7,26.0,6.9,0.0,26.7,26.7
2021-12-05,IL,17177,30.1,29.1,6.4,0.0,30.1,30.1
2021-12-12,IL,17177,26.9,25.6,6.1,0.0,26.9,26.9
2021-12-19,IL,17177,20.4,18.6,5.7,0.0,20.4,20.4
2021-12-26,IL,17177,26.4,24.6,8.3,0.0,26.4,26.4
