collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,IN,18035,31.4,8.0,30.0,0,31.7,31.4
2020-08-09,IN,18035,22.1,15.0,32.1,0.0,22.1,22.1
2020-08-16,IN,18035,19.9,15.1,33.0,0.0,19.9,19.9
2020-08-23,IN,18035,17.0,11.6,24.6,0,17.1,17.0
2020-08-30,IN,18035,20.7,13.4,22.6,0.0,20.7,20.7
2020-09-06,IN,18035,28.0,15.7,24.6,0,28.4,28.0
2020-09-13,IN,18035,38.1,21.3,25.9,0,38.3,38.1
2020-09-20,IN,18035,32.1,19.6,26.3,0.0,32.1,32.1
2020-09-27,IN,18035,42.7,24.9,24.4,0,43.1,42.7
2020-10-04,IN,18035,37.9,29.9,26.4,0.0,37.9,37.9
2020-10-11,IN,18035,54.6,46.3,25.7,0.0,54.6,54.6
2020-10-18,IN,18035,52.1,39.6,26.0,0,52.4,52.1
2020-10-25,IN,18035,55.9,46.3,25.6,0.0,55.9,55.9
2020-11-01,IN,18035,54.4,49.7,26.1,0.0,54.4,54.4
2020-11-08,IN,18035,52.6,47.4,30.3,0.0,52.6,52.6
2020-11-15,IN,18035,66.4,60.3,31.1,0.0,66.7,66.4
2020-11-22,IN,18035,66.1,61.0,24.1,0.0,66.1,66.1
2020-11-29,IN,18035,77.0,74.3,29.3,0.0,77.0,77.0
2020-12-06,IN,18035,66.1,64.7,30.9,0.0,66.1,66.1
2020-12-13,IN,18035,67.6,66.3,29.9,0.0,67.9,67.6
2020-12-20,IN,18035,60.1,58.7,27.3,0.0,60.3,60.1
2020-12-27,IN,18035,57.4,55.9,28.0,0.0,57.4,57.4
2021-01-03,IN,18035,54.4,52.9,30.1,0.0,54.4,54.4
2021-01-10,IN,18035,60.7,59.0,29.0,0.0,60.7,60.7
2021-01-17,IN,18035,46.9,45.6,28.9,0.0,46.9,46.9
2021-01-24,IN,18035,47.1,46.3,24.9,0.0,47.1,47.1
2021-01-31,IN,18035,40.3,39.9,26.4,0.0,40.3,40.3
2021-02-07,IN,18035,37.3,35.6,20.4,0.0,37.7,37.3
2021-02-14,IN,18035,26.4,25.7,22.4,0.0,26.4,26.4
2021-02-21,IN,18035,17.9,15.9,22.4,0.0,17.9,17.9
2021-02-28,IN,18035,14.4,13.3,26.1,0.0,14.4,14.4
2021-03-07,IN,18035,15.3,13.3,33.4,0.0,15.3,15.3
2021-03-14,IN,18035,13.7,13.0,32.6,0.0,13.7,13.7
2021-03-21,IN,18035,9.0,7.9,32.0,0.0,9.0,9.0
2021-03-28,IN,18035,11.3,9.7,28.3,0.0,11.4,11.3
2021-04-04,IN,18035,12.9,9.6,35.6,0.0,13.1,12.9
2021-04-11,IN,18035,14.7,13.9,35.3,0.0,14.7,14.7
2021-04-18,IN,18035,20.1,19.7,37.4,0.0,20.1,20.1
2021-04-25,IN,18035,19.1,18.7,36.9,0.0,19.1,19.1
2021-05-02,IN,18035,20.0,18.9,30.6,0.0,20.0,20.0
2021-05-09,IN,18035,19.3,18.9,32.4,0.0,19.4,19.3
2021-05-16,IN,18035,27.7,26.3,39.9,0.0,27.7,27.7
2021-05-23,IN,18035,23.1,22.7,32.0,0.0,23.1,23.1
2021-05-30,IN,18035,13.0,12.4,30.1,0.0,13.0,13.0
2021-06-06,IN,18035,11.3,11.0,36.1,0.0,11.3,11.3
2021-06-13,IN,18035,7.7,6.9,27.4,0.0,7.7,7.7
2021-06-20,IN,18035,8.0,7.6,27.7,0.0,8.0,8.0
2021-06-27,IN,18035,7.3,6.7,32.4,0.0,7.3,7.3
2021-07-04,IN,18035,6.1,5.3,21.7,0.0,6.1,6.1
2021-07-11,IN,18035,4.4,0.0,23.9,0.0,4.4,4.4
2021-07-18,IN,18035,7.6,6.7,27.4,0.0,7.6,7.6
2021-07-25,IN,18035,11.9,11.1,29.7,0.0,11.9,11.9
2021-08-01,IN,18035,15.7,14.4,36.3,0.0,15.7,15.7
2021-08-08,IN,18035,22.6,21.9,31.4,0.0,22.6,22.6
2021-08-15,IN,18035,28.9,28.1,35.1,0.0,29.4,28.9
2021-08-22,IN,18035,48.7,48.6,34.4,0.0,49.1,48.7
2021-08-29,IN,18035,52.6,51.6,42.7,0.0,53.4,52.6
2021-09-05,IN,18035,70.6,69.7,43.9,0.0,71.0,70.6
2021-09-12,IN,18035,90.1,89.3,54.7,0.0,90.4,90.1
2021-09-19,IN,18035,78.1,78.0,57.4,0.0,78.6,78.1
2021-09-26,IN,18035,65.4,65.1,53.1,0.0,66.0,65.4
2021-10-03,IN,18035,63.4,62.9,49.9,0.0,63.6,63.4
2021-10-10,IN,18035,49.4,49.0,44.7,0.0,50.6,49.4
2021-10-17,IN,18035,49.9,49.7,48.9,0.0,49.9,49.9
2021-10-24,IN,18035,37.1,36.0,44.0,0.0,37.1,37.1
2021-10-31,IN,18035,33.6,32.1,46.3,0.0,33.6,33.6
2021-11-07,IN,18035,34.1,33.9,40.3,0.0,34.1,34.1
2021-11-14,IN,18035,46.3,45.9,45.7,0.0,46.4,46.3
2021-11-21,IN,18035,56.6,55.9,50.0,0.0,56.6,56.6
2021-11-28,IN,18035,66.9,66.1,46.3,0.0,67.0,66.9
2021-12-05,IN,18035,77.7,77.7,49.7,0.0,78.4,77.7
2021-12-12,IN,18035,78.7,78.4,50.9,12.0,90.7,90.7
2021-12-19,IN,18035,86.4,86.3,50.9,0.0,86.9,86.4
2021-12-26,IN,18035,85.6,85.4,53.3,0.0,87.0,85.6
