collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,IN,18043,0,0,0.0,0.0,23.0,0.0
2020-08-09,IN,18043,0,0,0.0,0.0,29.0,0.0
2020-08-16,IN,18043,0,0,0.0,0.0,20.3,0.0
2020-08-23,IN,18043,0,0,0.0,0.0,14.3,0.0
2020-08-30,IN,18043,13.3,12.0,25.5,0.0,12.9,13.3
2020-09-06,IN,18043,13.9,13.3,26.9,0.0,13.9,13.9
2020-09-13,IN,18043,15.5,15.5,30.0,0.0,15.5,15.5
2020-09-20,IN,18043,11.9,11.9,30.4,0.0,11.9,11.9
2020-09-27,IN,18043,10.3,10.1,26.1,0.0,10.3,10.3
2020-10-04,IN,18043,13.1,13.1,29.9,0.0,13.1,13.1
2020-10-11,IN,18043,15.7,15.7,29.7,0.0,15.7,15.7
2020-10-18,IN,18043,24.3,24.3,27.3,0.0,24.3,24.3
2020-10-25,IN,18043,23.5,23.5,26.5,0.0,23.5,23.5
2020-11-01,IN,18043,27.9,27.9,28.9,0.0,27.9,27.9
2020-11-08,IN,18043,31.3,31.3,29.3,0.0,31.3,31.3
2020-11-15,IN,18043,35.4,35.4,25.7,0.0,35.4,35.4
2020-11-22,IN,18043,35.3,35.3,25.3,0.0,35.3,35.3
2020-11-29,IN,18043,50.6,50.6,28.4,0.0,50.6,50.6
2020-12-06,IN,18043,63.3,63.3,28.9,0.0,63.3,63.3
2020-12-13,IN,18043,56.1,56.1,30.7,0.0,56.1,56.1
2020-12-20,IN,18043,51.1,51.1,24.1,0.0,51.1,51.1
2020-12-27,IN,18043,46.9,46.9,30.9,0.0,46.9,46.9
2021-01-03,IN,18043,44.7,44.7,29.3,0.0,44.7,44.7
2021-01-10,IN,18043,46.4,46.4,27.9,0.0,46.4,46.4
2021-01-17,IN,18043,48.0,48.0,30.1,0.0,48.0,48.0
2021-01-24,IN,18043,42.0,42.0,28.7,0.0,42.0,42.0
2021-01-31,IN,18043,29.7,29.7,31.0,0.0,29.7,29.7
2021-02-07,IN,18043,20.9,20.9,30.1,0.0,20.9,20.9
2021-02-14,IN,18043,14.6,14.6,28.9,0.0,14.6,14.6
2021-02-21,IN,18043,13.3,13.3,28.6,0.0,13.3,13.3
2021-02-28,IN,18043,11.6,11.6,29.0,0.0,11.6,11.6
2021-03-07,IN,18043,6.4,6.4,27.6,0.0,6.4,6.4
2021-03-14,IN,18043,4.1,4.1,30.3,0.0,4.1,4.1
2021-03-21,IN,18043,8.4,8.4,24.6,0.0,8.4,8.4
2021-03-28,IN,18043,8.9,8.9,22.0,0.0,8.9,8.9
2021-04-04,IN,18043,7.9,7.9,25.3,0.0,7.9,7.9
2021-04-11,IN,18043,6.4,6.4,25.9,0.0,6.4,6.4
2021-04-18,IN,18043,6.1,6.1,27.6,0.0,6.1,6.1
2021-04-25,IN,18043,0.0,0.0,28.0,0.0,0.0,0.0
2021-05-02,IN,18043,5.0,5.0,27.6,0.0,5.0,5.0
2021-05-09,IN,18043,5.3,5.3,24.7,0.0,5.3,5.3
2021-05-16,IN,18043,0.0,0.0,23.9,0.0,0.0,0.0
2021-05-23,IN,18043,4.7,4.7,27.9,0.0,4.7,4.7
2021-05-30,IN,18043,7.3,7.3,30.0,0.0,7.3,7.3
2021-06-06,IN,18043,6.4,6.4,29.4,0.0,6.4,6.4
2021-06-13,IN,18043,0.0,0.0,28.0,0.0,0.0,0.0
2021-06-20,IN,18043,0.0,0.0,27.1,0.0,0.0,0.0
2021-06-27,IN,18043,0.0,0.0,27.7,0.0,0.0,0.0
2021-07-04,IN,18043,0.0,0.0,27.0,0.0,0.0,0.0
2021-07-11,IN,18043,9.3,9.1,27.1,0.0,9.3,9.3
2021-07-18,IN,18043,14.4,14.3,21.3,0.0,14.4,14.4
2021-07-25,IN,18043,21.9,21.9,27.6,0.0,21.9,21.9
2021-08-01,IN,18043,24.1,24.1,28.6,0.0,24.1,24.1
2021-08-08,IN,18043,31.3,31.3,31.7,0.0,31.3,31.3
2021-08-15,IN,18043,33.1,33.1,31.0,0.0,33.1,33.1
2021-08-22,IN,18043,47.7,47.7,32.0,0.0,47.7,47.7
2021-08-29,IN,18043,46.9,46.9,29.6,0.0,46.9,46.9
2021-09-05,IN,18043,49.0,49.0,29.7,0.0,49.0,49.0
2021-09-12,IN,18043,44.4,44.4,30.0,0.0,44.4,44.4
2021-09-19,IN,18043,44.9,44.9,30.7,0.0,44.9,44.9
2021-09-26,IN,18043,37.7,37.7,29.3,0.0,37.7,37.7
2021-10-03,IN,18043,31.7,31.7,30.9,0.0,31.7,31.7
2021-10-10,IN,18043,27.7,27.7,30.1,0.0,27.7,27.7
2021-10-17,IN,18043,23.6,23.6,29.3,0.0,23.6,23.6
2021-10-24,IN,18043,16.1,16.1,30.1,0.0,16.1,16.1
2021-10-31,IN,18043,12.7,12.7,28.6,0.0,12.7,12.7
2021-11-07,IN,18043,15.6,15.6,23.6,0.0,15.6,15.6
2021-11-14,IN,18043,22.4,22.4,27.9,0.0,22.4,22.4
2021-11-21,IN,18043,34.0,34.0,28.6,0.0,34.0,34.0
2021-11-28,IN,18043,37.7,37.7,29.9,0.0,37.7,37.7
2021-12-05,IN,18043,48.1,48.1,30.3,0.0,48.1,48.1
2021-12-12,IN,18043,54.6,54.6,31.1,0.0,54.6,54.6
2021-12-19,IN,18043,55.7,55.7,30.3,0.0,55.7,55.7
2021-12-26,IN,18043,55.4,55.4,30.6,0.0,55.4,55.4
