collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,IN,18065,0,0,4.0,0.0,0,0.0
2020-08-09,IN,18065,0,0,4.7,0.0,0,0.0
2020-08-16,IN,18065,0,0,5.7,0.0,0,0.0
2020-08-23,IN,18065,0,0,5.8,0.0,0,0.0
2020-08-30,IN,18065,0,0,0,0.0,0,0.0
2020-09-06,IN,18065,0,0,4.7,0.0,0,0.0
2020-09-13,IN,18065,0,0,0,0.0,0,0.0
2020-09-20,IN,18065,0,0,0,0.0,0,0.0
2020-09-27,IN,18065,0,0,5.4,0.0,0,0.0
2020-10-04,IN,18065,7.0,4.7,11.3,0.0,7.0,7.0
2020-10-11,IN,18065,4.4,4.4,8.4,0.0,4.4,4.4
2020-10-18,IN,18065,5.0,4.9,9.0,0.0,5.0,5.0
2020-10-25,IN,18065,4.0,4.0,9.6,0.0,4.0,4.0
2020-11-01,IN,18065,4.3,0,8.6,0.0,4.3,4.3
2020-11-08,IN,18065,9.0,8.9,13.0,0.0,9.0,9.0
2020-11-15,IN,18065,16.1,15.3,18.7,0,16.3,16.1
2020-11-22,IN,18065,10.7,9.9,14.3,0.0,10.7,10.7
2020-11-29,IN,18065,14.0,12.0,18.6,0.0,14.0,14.0
2020-12-06,IN,18065,12.7,12.3,17.0,0.0,12.7,12.7
2020-12-13,IN,18065,7.7,7.6,11.9,0,8.0,7.7
2020-12-20,IN,18065,12.4,11.4,17.9,0.0,12.4,12.4
2020-12-27,IN,18065,22.1,20.3,21.6,0.0,22.1,22.1
2021-01-03,IN,18065,26.4,24.9,24.1,0.0,26.4,26.4
2021-01-10,IN,18065,17.6,16.6,18.0,0.0,17.6,17.6
2021-01-17,IN,18065,11.3,9.9,18.1,0.0,11.3,11.3
2021-01-24,IN,18065,5.7,5.7,12.9,0.0,5.7,5.7
2021-01-31,IN,18065,0,0,13.3,0.0,0,0.0
2021-02-07,IN,18065,0,0,11.1,0.0,0,0.0
2021-02-14,IN,18065,0,0,11.6,0.0,0,0.0
2021-02-21,IN,18065,0,0,13.1,0.0,0,0.0
2021-02-28,IN,18065,0,0,9.0,0.0,0,0.0
2021-03-07,IN,18065,0.0,0.0,12.6,0.0,0.0,0.0
2021-03-14,IN,18065,0,0,7.7,0.0,0,0.0
2021-03-21,IN,18065,0,0,13.1,0.0,0,0.0
2021-03-28,IN,18065,0,0,15.1,0.0,0,0.0
2021-04-04,IN,18065,0,0,15.6,0.0,0,0.0
2021-04-11,IN,18065,0,0,13.0,0.0,0,0.0
2021-04-18,IN,18065,0.0,0.0,16.6,0.0,0.0,0.0
2021-04-25,IN,18065,0,0,19.7,0.0,0,0.0
2021-05-02,IN,18065,0,0,14.0,0.0,0,0.0
2021-05-09,IN,18065,0,0,16.9,0.0,0,0.0
2021-05-16,IN,18065,0,0,18.6,0.0,0,0.0
2021-05-23,IN,18065,0,0,17.1,0.0,0,0.0
2021-05-30,IN,18065,0,0,17.1,0.0,0,0.0
2021-06-06,IN,18065,0,0,12.4,0.0,0,0.0
2021-06-13,IN,18065,0,0,17.1,0.0,0,0.0
2021-06-20,IN,18065,0,0,15.4,0.0,0,0.0
2021-06-27,IN,18065,0.0,0.0,15.9,0.0,0.0,0.0
2021-07-04,IN,18065,0,0,17.0,0.0,0,0.0
2021-07-11,IN,18065,0,0,19.6,0.0,0,0.0
2021-07-18,IN,18065,0,0,17.6,0.0,0,0.0
2021-07-25,IN,18065,0,0,7.0,0.0,0,0.0
2021-08-01,IN,18065,0,0,15.0,0.0,0,0.0
2021-08-08,IN,18065,0,0,15.1,0.0,0,0.0
2021-08-15,IN,18065,6.0,5.4,21.1,0.0,6.0,6.0
2021-08-22,IN,18065,15.4,14.9,25.1,0.0,15.4,15.4
2021-08-29,IN,18065,12.0,12.0,22.3,0.0,12.0,12.0
2021-09-05,IN,18065,15.3,15.3,24.4,0.0,15.3,15.3
2021-09-12,IN,18065,20.3,19.3,28.1,0.0,20.3,20.3
2021-09-19,IN,18065,11.1,10.7,22.3,0.0,11.1,11.1
2021-09-26,IN,18065,11.3,11.0,23.0,0.0,11.3,11.3
2021-10-03,IN,18065,9.6,9.3,20.4,0.0,9.6,9.6
2021-10-10,IN,18065,6.0,5.7,21.9,0.0,6.0,6.0
2021-10-17,IN,18065,0,0,19.9,0.0,0,0.0
2021-10-24,IN,18065,4.6,4.6,18.3,0.0,4.6,4.6
2021-10-31,IN,18065,4.9,4.9,23.1,0.0,4.9,4.9
2021-11-07,IN,18065,0,0,20.1,0.0,0,0.0
2021-11-14,IN,18065,4.6,4.6,23.9,0.0,4.6,4.6
2021-11-21,IN,18065,9.4,9.4,27.3,0.0,9.4,9.4
2021-11-28,IN,18065,10.0,10.0,25.1,0.0,10.0,10.0
2021-12-05,IN,18065,10.0,10.0,23.6,0.0,10.0,10.0
2021-12-12,IN,18065,15.3,15.1,28.1,0.0,15.3,15.3
2021-12-19,IN,18065,18.7,18.7,27.4,0.0,18.7,18.7
2021-12-26,IN,18065,17.1,17.0,27.6,0.0,17.1,17.1
