collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,IN,18067,12.8,6.1,12.899999999999999,0.0,13.600000000000001,12.8
2020-08-09,IN,18067,11.6,0,10.6,0.0,11.6,11.6
2020-08-16,IN,18067,9.899999999999999,4.1,12.0,0.0,9.899999999999999,9.899999999999999
2020-08-23,IN,18067,12.0,0,14.3,0.0,12.0,12.0
2020-08-30,IN,18067,9.6,0,11.4,0.0,9.6,9.6
2020-09-06,IN,18067,8.7,4.0,13.4,0.0,8.7,8.7
2020-09-13,IN,18067,13.6,6.3,8.6,0.0,13.6,13.6
2020-09-20,IN,18067,8.3,5.4,6.7,0.0,9.7,8.3
2020-09-27,IN,18067,6.6,0,8.6,0.0,6.7,6.6
2020-10-04,IN,18067,4.1,0,14.3,0.0,4.1,4.1
2020-10-11,IN,18067,15.0,5.4,13.2,0.0,15.1,15.0
2020-10-18,IN,18067,19.0,11.9,11.4,0.0,19.2,19.0
2020-10-25,IN,18067,26.6,20.4,13.2,0.0,26.7,26.6
2020-11-01,IN,18067,27.700000000000003,19.6,5.9,0.0,27.700000000000003,27.700000000000003
2020-11-08,IN,18067,34.5,24.3,11.2,0,35.0,34.5
2020-11-15,IN,18067,42.2,31.299999999999997,10.2,0,43.2,42.2
2020-11-22,IN,18067,49.4,40.8,12.9,0.0,49.599999999999994,49.4
2020-11-29,IN,18067,51.9,42.3,17.9,0.0,51.9,51.9
2020-12-06,IN,18067,49.7,40.7,17.0,0.0,50.099999999999994,49.7
2020-12-13,IN,18067,52.0,39.5,16.0,0.0,52.0,52.0
2020-12-20,IN,18067,56.0,45.7,15.3,0.0,56.0,56.0
2020-12-27,IN,18067,48.099999999999994,37.4,15.0,0.0,48.4,48.099999999999994
2021-01-03,IN,18067,40.5,32.7,15.8,0.0,40.5,40.5
2021-01-10,IN,18067,43.3,34.1,15.9,0.0,43.3,43.3
2021-01-17,IN,18067,49.3,39.8,14.5,0.0,49.3,49.3
2021-01-24,IN,18067,40.3,28.200000000000003,12.399999999999999,0.0,40.3,40.3
2021-01-31,IN,18067,34.8,24.0,12.2,0.0,34.9,34.8
2021-02-07,IN,18067,26.700000000000003,17.5,9.1,0.0,26.900000000000002,26.700000000000003
2021-02-14,IN,18067,21.0,12.0,12.8,0.0,21.200000000000003,21.0
2021-02-21,IN,18067,25.1,12.6,10.3,0.0,25.1,25.1
2021-02-28,IN,18067,20.4,10.0,12.100000000000001,0.0,20.7,20.4
