collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,IN,18095,13.3,0.0,18.3,0.0,13.3,13.3
2020-08-09,IN,18095,20.5,10.0,24.299999999999997,0.0,20.5,20.5
2020-08-16,IN,18095,19.3,10.5,23.9,0.0,19.3,19.3
2020-08-23,IN,18095,17.299999999999997,5.7,21.8,0.0,17.299999999999997,17.299999999999997
2020-08-30,IN,18095,11.7,6.4,23.700000000000003,0.0,11.7,11.7
2020-09-06,IN,18095,11.7,6.6,21.0,0.0,11.7,11.7
2020-09-13,IN,18095,9.7,6.7,24.9,0.0,9.7,9.7
2020-09-20,IN,18095,9.1,5.6,22.5,0.0,9.3,9.1
2020-09-27,IN,18095,8.6,5.3,22.700000000000003,0.0,9.1,8.6
2020-10-04,IN,18095,19.2,15.2,24.9,0.0,19.2,19.2
2020-10-11,IN,18095,22.6,18.0,23.3,0.0,22.6,22.6
2020-10-18,IN,18095,22.6,15.9,24.0,0.0,22.700000000000003,22.6
2020-10-25,IN,18095,31.200000000000003,24.299999999999997,24.4,0.0,31.200000000000003,31.200000000000003
2020-11-01,IN,18095,29.9,23.6,19.9,0.0,29.9,29.9
2020-11-08,IN,18095,42.900000000000006,32.5,24.9,0.0,43.2,42.900000000000006
2020-11-15,IN,18095,43.0,36.3,26.2,0.0,43.5,43.0
2020-11-22,IN,18095,45.5,37.3,24.2,0.0,45.9,45.5
2020-11-29,IN,18095,53.1,45.9,27.3,0.0,53.2,53.1
2020-12-06,IN,18095,55.400000000000006,48.5,31.0,0.0,55.599999999999994,55.400000000000006
2020-12-13,IN,18095,59.8,55.599999999999994,29.9,0.0,60.0,59.8
2020-12-20,IN,18095,61.6,58.3,25.1,0.0,61.900000000000006,61.6
2020-12-27,IN,18095,52.0,48.7,26.4,0.0,52.1,52.0
2021-01-03,IN,18095,50.5,46.7,24.5,0.0,50.8,50.5
2021-01-10,IN,18095,54.0,47.400000000000006,27.299999999999997,0.0,54.3,54.0
2021-01-17,IN,18095,50.1,45.7,27.200000000000003,0.0,50.2,50.1
2021-01-24,IN,18095,39.3,34.7,28.9,0.0,39.3,39.3
2021-01-31,IN,18095,26.099999999999998,23.3,24.3,0.0,26.3,26.099999999999998
2021-02-07,IN,18095,22.6,19.7,25.4,0.0,22.7,22.6
2021-02-14,IN,18095,7.7,5.4,19.6,0.0,7.9,7.7
2021-02-21,IN,18095,6.9,0.0,24.5,0.0,7.0,6.9
2021-02-28,IN,18095,4.6,0.0,19.0,0.0,4.6,4.6
2021-03-07,IN,18095,4.3,0,24.299999999999997,0.0,4.7,4.3
2021-03-14,IN,18095,9.8,4.7,20.7,0.0,10.4,9.8
2021-03-21,IN,18095,7.6,0.0,23.200000000000003,0.0,7.7,7.6
2021-03-28,IN,18095,7.3,4.0,21.5,0.0,8.1,7.3
2021-04-04,IN,18095,11.5,5.9,18.9,0.0,11.600000000000001,11.5
2021-04-11,IN,18095,9.5,4.6,22.5,0.0,9.7,9.5
2021-04-18,IN,18095,10.0,5.7,24.6,0.0,10.0,10.0
2021-04-25,IN,18095,11.9,5.0,25.0,0.0,11.9,11.9
2021-05-02,IN,18095,13.0,9.0,22.4,0.0,13.0,13.0
2021-05-09,IN,18095,6.0,0,19.8,0.0,6.0,6.0
2021-05-16,IN,18095,6.0,0.0,20.8,0.0,6.6,6.0
2021-05-23,IN,18095,6.0,0.0,20.6,0.0,6.1,6.0
2021-05-30,IN,18095,12.4,5.6,17.200000000000003,0.0,12.4,12.4
2021-06-06,IN,18095,8.6,4.7,17.8,0.0,8.7,8.6
2021-06-13,IN,18095,6.0,0,18.200000000000003,0.0,6.1,6.0
2021-06-20,IN,18095,7.7,0,22.200000000000003,0.0,8.9,7.7
2021-06-27,IN,18095,4.7,0.0,20.7,0.0,5.0,4.7
2021-07-04,IN,18095,0,0,21.2,0.0,0,0.0
2021-07-11,IN,18095,6.1,0,23.299999999999997,0.0,6.3,6.1
2021-07-18,IN,18095,6.1,0.0,22.7,0.0,6.1,6.1
2021-07-25,IN,18095,13.5,5.6,24.7,0.0,13.7,13.5
2021-08-01,IN,18095,22.3,18.6,24.6,0.0,22.700000000000003,22.3
2021-08-08,IN,18095,29.0,25.700000000000003,26.1,0.0,29.1,29.0
2021-08-15,IN,18095,34.400000000000006,30.700000000000003,29.5,0.0,34.900000000000006,34.400000000000006
2021-08-22,IN,18095,47.400000000000006,40.8,30.4,0.0,47.5,47.400000000000006
2021-08-29,IN,18095,52.8,47.9,31.200000000000003,0.0,52.8,52.8
2021-09-05,IN,18095,65.80000000000001,59.7,36.0,0.0,66.0,65.80000000000001
2021-09-12,IN,18095,60.8,57.3,33.2,0.0,61.8,60.8
2021-09-19,IN,18095,53.9,50.8,31.7,0.0,53.9,53.9
2021-09-26,IN,18095,42.7,39.7,33.6,0.0,43.099999999999994,42.7
2021-10-03,IN,18095,39.3,36.6,33.7,0.0,39.3,39.3
2021-10-10,IN,18095,39.2,35.0,30.4,0.0,39.2,39.2
2021-10-17,IN,18095,34.3,28.7,28.0,0.0,34.3,34.3
