collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,IN,18097,216.79999999999998,99.5,436.5,7.3,226.00000000000003,224.1
2020-08-09,IN,18097,195.10000000000002,95.5,422.4,8.399999999999999,205.0,203.50000000000003
2020-08-16,IN,18097,168.8,81.6,422.29999999999995,11.3,180.89999999999998,180.10000000000002
2020-08-23,IN,18097,193.2,76.0,419.9,9.7,203.20000000000002,202.89999999999998
2020-08-30,IN,18097,176.9,71.2,433.5,0.0,185.2,176.9
2020-09-06,IN,18097,162.6,53.199999999999996,417.4,4.1,170.9,166.7
2020-09-13,IN,18097,165.9,55.599999999999994,427.0,0.0,173.5,165.9
2020-09-20,IN,18097,176.7,67.80000000000001,420.30000000000007,0.0,185.0,176.7
2020-09-27,IN,18097,181.9,71.19999999999999,433.40000000000003,4.7,190.5,186.6
2020-10-04,IN,18097,193.0,88.30000000000001,459.8,11.7,206.89999999999998,204.7
2020-10-11,IN,18097,207.2,107.80000000000001,434.6,6.1,218.20000000000002,213.29999999999998
2020-10-18,IN,18097,233.10000000000002,117.80000000000001,421.6,6.3,243.7,239.40000000000003
2020-10-25,IN,18097,283.7,154.2,447.1,9.6,294.6,293.3
2020-11-01,IN,18097,300.1,178.79999999999998,445.9000000000001,4.9,310.4,305.0
2020-11-08,IN,18097,391.0,251.7,459.2,6.7,403.6,397.7
2020-11-15,IN,18097,520.8000000000001,347.5,467.6,13.9,539.9,534.7
2020-11-22,IN,18097,592.0999999999999,392.9000000000001,464.9,15.8,610.9000000000001,607.8999999999999
2020-11-29,IN,18097,638.1999999999999,468.8,493.70000000000005,13.7,656.8,651.9
2020-12-06,IN,18097,636.0,496.9,491.49999999999994,8.0,652.9,644.0
2020-12-13,IN,18097,687.8,539.8000000000001,462.6,8.6,706.0,696.4
2020-12-20,IN,18097,690.5,522.4,468.5,10.4,705.0999999999999,700.9
2020-12-27,IN,18097,652.3999999999999,508.90000000000003,481.09999999999997,4.0,661.8000000000001,656.3999999999999
2021-01-03,IN,18097,644.6,511.49999999999994,484.70000000000005,4.4,652.4,649.0
2021-01-10,IN,18097,569.7,447.70000000000005,462.8,11.6,583.3000000000001,581.3000000000001
2021-01-17,IN,18097,503.79999999999995,381.69999999999993,453.6,8.7,518.9,512.5
2021-01-24,IN,18097,423.5,312.2,436.6000000000001,9.9,439.1,433.4
2021-01-31,IN,18097,350.0,238.6,423.70000000000005,14.8,366.9,364.8
2021-02-07,IN,18097,282.5,174.6,402.8,12.399999999999999,295.8,294.9
2021-02-14,IN,18097,222.1,132.8,386.20000000000005,12.8,235.70000000000002,234.9
2021-02-21,IN,18097,209.6,111.6,382.2,10.8,222.0,220.4
2021-02-28,IN,18097,197.0,103.80000000000001,396.4,12.0,210.5,209.0
2021-03-07,IN,18097,165.0,74.9,400.70000000000005,12.0,179.10000000000002,177.0
2021-03-14,IN,18097,170.39999999999998,81.8,386.1,5.3,179.1,175.7
2021-03-21,IN,18097,153.6,66.7,398.6,4.1,161.4,157.7
2021-03-28,IN,18097,164.7,77.5,398.0,6.6,174.5,171.29999999999998
2021-04-04,IN,18097,191.60000000000002,101.00000000000001,395.79999999999995,6.4,200.10000000000002,198.00000000000003
2021-04-11,IN,18097,196.0,103.0,428.2,7.6,206.60000000000002,203.6
2021-04-18,IN,18097,187.0,102.4,395.5,9.1,198.7,196.1
2021-04-25,IN,18097,202.2,104.0,415.1,9.399999999999999,214.49999999999997,211.6
2021-05-02,IN,18097,237.0,140.39999999999998,408.9,0.0,248.1,237.0
2021-05-09,IN,18097,212.6,125.9,405.9,0.0,221.79999999999998,212.6
2021-05-16,IN,18097,224.89999999999998,126.80000000000001,420.9,0.0,234.0,224.89999999999998
2021-05-23,IN,18097,220.7,128.8,407.40000000000003,7.7,232.7,228.39999999999998
2021-05-30,IN,18097,200.6,111.0,409.6,4.0,205.29999999999998,204.6
2021-06-06,IN,18097,181.39999999999998,89.30000000000001,405.1,0.0,187.9,181.39999999999998
2021-06-13,IN,18097,141.0,69.19999999999999,393.5,0.0,146.79999999999998,141.0
2021-06-20,IN,18097,122.0,44.7,395.4,5.6,128.7,127.6
2021-06-27,IN,18097,122.00000000000001,44.400000000000006,382.0,6.7,130.6,128.70000000000002
2021-07-04,IN,18097,132.39999999999998,54.8,371.4,8.0,140.9,140.39999999999998
2021-07-11,IN,18097,139.0,64.1,383.8,7.7,150.1,146.7
2021-07-18,IN,18097,160.7,78.5,399.8,8.9,176.3,169.6
2021-07-25,IN,18097,178.29999999999998,103.8,409.5,9.4,193.1,187.7
2021-08-01,IN,18097,230.1,132.0,396.7,6.6,241.59999999999997,236.7
2021-08-08,IN,18097,274.1,179.2,397.1,12.1,294.3,286.20000000000005
2021-08-15,IN,18097,325.9,238.6,418.6,18.9,347.80000000000007,344.79999999999995
2021-08-22,IN,18097,373.5,293.3,340.1,26.2,403.6,399.7
2021-08-29,IN,18097,415.6,338.6,365.1,27.299999999999997,447.6,442.90000000000003
2021-09-05,IN,18097,450.80000000000007,363.4,361.5,28.1,483.70000000000005,478.9000000000001
2021-09-12,IN,18097,500.1,399.6,453.5,26.6,531.4,526.7
2021-09-19,IN,18097,465.49999999999994,380.6,450.8,19.1,487.0,484.59999999999997
2021-09-26,IN,18097,399.90000000000003,323.7,454.6,16.6,419.1,416.50000000000006
2021-10-03,IN,18097,354.1,281.20000000000005,450.5,9.399999999999999,367.2,363.5
2021-10-10,IN,18097,303.59999999999997,231.2,431.29999999999995,13.6,319.0,317.2
2021-10-17,IN,18097,279.59999999999997,211.60000000000002,433.0,16.799999999999997,298.09999999999997,296.4
2021-10-24,IN,18097,258.29999999999995,185.3,432.4,9.7,269.20000000000005,267.99999999999994
2021-10-31,IN,18097,246.0,170.3,420.2,19.4,267.0,265.4
2021-11-07,IN,18097,249.4,178.1,421.7,6.3,261.5,255.70000000000002
2021-11-14,IN,18097,265.70000000000005,201.10000000000002,439.7,14.3,282.4,280.00000000000006
2021-11-21,IN,18097,315.9,243.4,441.5,10.6,332.5,326.5
2021-11-28,IN,18097,376.90000000000003,296.7,456.8,14.0,392.40000000000003,390.90000000000003
2021-12-05,IN,18097,450.90000000000003,365.20000000000005,458.9,16.0,468.40000000000003,466.90000000000003
2021-12-12,IN,18097,529.0,430.00000000000006,466.9,12.6,548.1,541.6
2021-12-19,IN,18097,552.3000000000001,467.29999999999995,457.6,16.9,575.7,569.2
2021-12-26,IN,18097,594.8,499.40000000000003,466.1,23.1,623.5,617.9
