collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,IN,18145,5.4,0,11.1,0.0,5.4,5.4
2020-08-09,IN,18145,5.7,0,12.0,0.0,5.7,5.7
2020-08-16,IN,18145,9.0,4.6,11.1,0.0,9.0,9.0
2020-08-23,IN,18145,4.7,0,9.7,0.0,4.7,4.7
2020-08-30,IN,18145,4.3,0,9.5,0.0,4.3,4.3
2020-09-06,IN,18145,0,0,5.6,0.0,0,0.0
2020-09-13,IN,18145,0,0,5.0,0.0,0,0.0
2020-09-20,IN,18145,0,0,5.0,0.0,0,0.0
2020-09-27,IN,18145,0,0,4.7,0.0,0,0.0
2020-10-04,IN,18145,0,0,8.1,0.0,0,0.0
2020-10-11,IN,18145,5.7,5.1,11.3,0.0,5.7,5.7
2020-10-18,IN,18145,7.7,7.0,8.8,0.0,7.7,7.7
2020-10-25,IN,18145,8.7,8.6,11.0,0.0,8.7,8.7
2020-11-01,IN,18145,11.6,11.1,11.4,0.0,11.6,11.6
2020-11-08,IN,18145,19.3,18.1,11.7,0.0,19.3,19.3
2020-11-15,IN,18145,16.1,15.1,11.4,0.0,16.1,16.1
2020-11-22,IN,18145,19.1,18.0,12.3,0.0,19.1,19.1
2020-11-29,IN,18145,18.9,17.7,11.0,0.0,18.9,18.9
2020-12-06,IN,18145,16.6,15.6,11.6,0.0,16.6,16.6
2020-12-13,IN,18145,14.9,14.9,10.6,0.0,14.9,14.9
2020-12-20,IN,18145,20.6,18.9,10.6,0.0,20.6,20.6
2020-12-27,IN,18145,21.1,20.3,13.6,0.0,21.1,21.1
2021-01-03,IN,18145,20.3,16.9,12.1,0.0,20.3,20.3
2021-01-10,IN,18145,18.4,17.4,10.7,0.0,18.4,18.4
2021-01-17,IN,18145,9.1,8.1,8.7,0.0,9.1,9.1
2021-01-24,IN,18145,11.9,11.3,7.0,0.0,11.9,11.9
2021-01-31,IN,18145,9.9,8.7,9.0,0.0,9.9,9.9
2021-02-07,IN,18145,4.0,4.0,4.6,0.0,4.0,4.0
2021-02-14,IN,18145,5.3,5.3,4.9,0.0,5.3,5.3
2021-02-21,IN,18145,6.0,6.0,0,0.0,6.0,6.0
2021-02-28,IN,18145,0,0,4.4,0.0,0,0.0
2021-03-07,IN,18145,0,0,8.6,0.0,0,0.0
2021-03-14,IN,18145,0,0,11.3,0.0,0,0.0
2021-03-21,IN,18145,0,0,4.1,0.0,0,0.0
2021-03-28,IN,18145,0,0,8.6,0.0,0,0.0
2021-04-04,IN,18145,0,0,4.9,0.0,0,0.0
2021-04-11,IN,18145,4.3,4.3,10.6,0.0,4.3,4.3
2021-04-18,IN,18145,4.7,4.1,8.7,0.0,4.7,4.7
2021-04-25,IN,18145,7.0,6.6,8.3,0.0,7.0,7.0
2021-05-02,IN,18145,4.9,4.9,10.4,0.0,4.9,4.9
2021-05-09,IN,18145,6.1,5.9,9.3,0.0,6.1,6.1
2021-05-16,IN,18145,5.0,4.0,12.6,0.0,5.0,5.0
2021-05-23,IN,18145,5.3,5.3,5.9,0.0,5.3,5.3
2021-05-30,IN,18145,0,0,4.9,0.0,0,0.0
2021-06-06,IN,18145,0,0,6.6,0.0,0,0.0
2021-06-13,IN,18145,0,0,9.3,0.0,0,0.0
2021-06-20,IN,18145,0,0,6.6,0.0,0,0.0
2021-06-27,IN,18145,0,0,5.9,0.0,0,0.0
2021-07-04,IN,18145,0,0,6.4,0.0,0,0.0
2021-07-11,IN,18145,0,0,0,0.0,0,0.0
2021-07-18,IN,18145,0,0,5.0,0.0,0,0.0
2021-07-25,IN,18145,5.3,5.3,10.0,0.0,5.3,5.3
2021-08-01,IN,18145,7.6,7.3,8.6,0.0,7.6,7.6
2021-08-08,IN,18145,8.4,8.3,11.6,0.0,8.4,8.4
2021-08-15,IN,18145,11.0,10.4,10.4,0.0,11.0,11.0
2021-08-22,IN,18145,15.7,14.4,13.1,0.0,15.7,15.7
2021-08-29,IN,18145,22.0,21.1,13.6,0.0,22.0,22.0
2021-09-05,IN,18145,17.1,17.0,13.6,0.0,17.1,17.1
2021-09-12,IN,18145,17.1,17.1,13.4,0.0,17.1,17.1
2021-09-19,IN,18145,16.7,16.4,12.0,0.0,16.7,16.7
2021-09-26,IN,18145,11.7,11.7,9.1,0.0,11.7,11.7
2021-10-03,IN,18145,12.6,12.6,9.4,0.0,12.6,12.6
2021-10-10,IN,18145,12.1,12.1,12.0,0.0,12.1,12.1
2021-10-17,IN,18145,10.1,10.1,9.0,0.0,10.1,10.1
2021-10-24,IN,18145,13.4,13.4,10.0,0.0,13.4,13.4
2021-10-31,IN,18145,8.0,8.0,9.6,0.0,8.0,8.0
2021-11-07,IN,18145,7.1,7.1,7.4,0.0,7.1,7.1
2021-11-14,IN,18145,5.4,5.4,9.6,0.0,5.4,5.4
2021-11-21,IN,18145,10.4,9.6,8.3,0.0,10.4,10.4
2021-11-28,IN,18145,14.9,14.6,10.7,0.0,14.9,14.9
2021-12-05,IN,18145,18.9,18.9,10.9,0.0,18.9,18.9
2021-12-12,IN,18145,27.4,27.4,13.7,0.0,27.4,27.4
2021-12-19,IN,18145,23.9,23.9,13.6,0.0,23.9,23.9
2021-12-26,IN,18145,26.6,26.1,13.1,0.0,26.6,26.6
