collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,IN,18141,38.7,34.6,39.2,0.0,38.8,38.7
2020-08-09,IN,18141,41.9,36.0,37.9,0.0,43.0,41.9
2020-08-16,IN,18141,32.7,28.200000000000003,39.6,0.0,33.1,32.7
2020-08-23,IN,18141,40.8,35.0,37.9,0,42.400000000000006,40.8
2020-08-30,IN,18141,33.7,27.7,37.7,0.0,34.0,33.7
2020-09-06,IN,18141,28.0,22.7,37.3,0.0,28.0,28.0
2020-09-13,IN,18141,27.799999999999997,23.4,36.3,0.0,27.799999999999997,27.799999999999997
2020-09-20,IN,18141,43.0,37.6,39.0,0.0,43.7,43.0
2020-09-27,IN,18141,58.1,51.3,41.0,0.0,59.0,58.1
2020-10-04,IN,18141,64.6,58.0,42.3,0.0,66.5,64.6
2020-10-11,IN,18141,77.5,70.6,43.3,0.0,78.5,77.5
2020-10-18,IN,18141,84.80000000000001,72.9,41.599999999999994,0,86.8,84.80000000000001
2020-10-25,IN,18141,103.6,88.80000000000001,43.9,0.0,104.9,103.6
2020-11-01,IN,18141,119.1,105.0,42.400000000000006,0.0,119.5,119.1
2020-11-08,IN,18141,136.2,125.0,45.3,0.0,138.1,136.2
2020-11-15,IN,18141,146.7,136.3,49.8,0.0,148.10000000000002,146.7
2020-11-22,IN,18141,169.0,161.9,48.8,0.0,170.8,169.0
2020-11-29,IN,18141,149.5,143.3,42.4,0.0,150.8,149.5
2020-12-06,IN,18141,124.6,120.19999999999999,44.6,0.0,125.0,124.6
2020-12-13,IN,18141,129.2,123.69999999999999,43.7,0.0,131.9,129.2
2020-12-20,IN,18141,136.0,130.9,42.6,0.0,138.60000000000002,136.0
2020-12-27,IN,18141,119.4,114.2,36.0,0.0,122.0,119.4
2021-01-03,IN,18141,99.6,94.4,36.599999999999994,0.0,101.0,99.6
2021-01-10,IN,18141,70.6,69.3,35.6,0.0,71.7,70.6
2021-01-17,IN,18141,67.3,64.4,33.0,0.0,69.1,67.3
2021-01-24,IN,18141,55.3,53.5,29.6,0.0,56.9,55.3
2021-01-31,IN,18141,37.599999999999994,36.3,35.7,0.0,38.0,37.599999999999994
2021-02-07,IN,18141,30.700000000000003,30.1,33.5,0.0,31.200000000000003,30.700000000000003
2021-02-14,IN,18141,38.1,37.3,31.0,0.0,38.5,38.1
2021-02-21,IN,18141,23.9,23.1,42.9,0.0,23.9,23.9
2021-02-28,IN,18141,35.3,35.0,37.0,0.0,36.2,35.3
2021-03-07,IN,18141,27.5,26.9,39.1,0.0,27.5,27.5
2021-03-14,IN,18141,24.7,23.9,39.7,0.0,25.799999999999997,24.7
2021-03-21,IN,18141,36.5,35.7,40.2,0.0,38.2,36.5
2021-03-28,IN,18141,46.0,44.599999999999994,40.6,0.0,46.099999999999994,46.0
2021-04-04,IN,18141,62.3,62.0,37.6,0.0,63.9,62.3
2021-04-11,IN,18141,65.3,64.80000000000001,41.8,0.0,65.8,65.3
2021-04-18,IN,18141,58.900000000000006,58.2,40.4,0.0,61.1,58.900000000000006
2021-04-25,IN,18141,56.7,56.1,40.400000000000006,0.0,59.3,56.7
2021-05-02,IN,18141,54.6,54.2,43.7,0.0,57.0,54.6
2021-05-09,IN,18141,44.7,44.7,37.900000000000006,0.0,45.6,44.7
2021-05-16,IN,18141,36.6,36.6,34.3,0.0,38.2,36.6
2021-05-23,IN,18141,32.400000000000006,32.400000000000006,36.9,0.0,33.400000000000006,32.400000000000006
2021-05-30,IN,18141,22.0,22.0,34.8,0.0,24.299999999999997,22.0
2021-06-06,IN,18141,16.0,15.7,39.0,0.0,16.0,16.0
2021-06-13,IN,18141,9.7,9.7,36.3,0.0,9.7,9.7
2021-06-20,IN,18141,0.0,0.0,38.2,0.0,0.0,0.0
2021-06-27,IN,18141,0.0,0.0,41.8,0.0,0.0,0.0
2021-07-04,IN,18141,0.0,0.0,35.099999999999994,0.0,0.0,0.0
2021-07-11,IN,18141,0.0,0.0,40.0,0.0,0.0,0.0
2021-07-18,IN,18141,0.0,0.0,38.3,0.0,4.1,0.0
2021-07-25,IN,18141,4.4,4.4,36.8,0.0,10.7,4.4
2021-08-01,IN,18141,16.7,16.4,38.400000000000006,0.0,17.0,16.7
2021-08-08,IN,18141,29.3,29.0,38.400000000000006,0.0,29.3,29.3
2021-08-15,IN,18141,37.6,37.0,42.5,0.0,39.4,37.6
2021-08-22,IN,18141,48.4,48.099999999999994,37.3,0.0,50.7,48.4
2021-08-29,IN,18141,58.9,58.9,36.8,0.0,60.1,58.9
2021-09-05,IN,18141,60.5,58.7,36.8,0.0,63.4,60.5
2021-09-12,IN,18141,71.3,68.3,38.3,0.0,74.2,71.3
2021-09-19,IN,18141,68.0,65.9,37.7,0.0,69.3,68.0
2021-09-26,IN,18141,56.0,55.5,40.7,0.0,57.7,56.0
2021-10-03,IN,18141,58.6,57.4,42.2,0.0,62.0,58.6
2021-10-10,IN,18141,54.6,51.9,41.6,0.0,56.3,54.6
2021-10-17,IN,18141,49.2,46.599999999999994,37.0,0.0,49.4,49.2
2021-10-24,IN,18141,46.6,45.900000000000006,37.7,0.0,48.0,46.6
2021-10-31,IN,18141,60.0,59.599999999999994,40.5,0.0,60.599999999999994,60.0
