collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,IN,18157,40.7,11.8,38.5,0,41.1,40.7
2020-08-09,IN,18157,31.1,13.9,40.7,0.0,31.5,31.1
2020-08-16,IN,18157,33.7,17.0,37.6,0.0,33.900000000000006,33.7
2020-08-23,IN,18157,30.7,15.7,35.1,0.0,30.799999999999997,30.7
2020-08-30,IN,18157,25.6,15.399999999999999,34.1,0.0,25.7,25.6
2020-09-06,IN,18157,26.6,11.1,35.7,0.0,27.3,26.6
2020-09-13,IN,18157,27.3,11.899999999999999,35.8,0.0,27.4,27.3
2020-09-20,IN,18157,22.4,6.0,35.8,0.0,22.700000000000003,22.4
2020-09-27,IN,18157,29.799999999999997,14.2,41.2,0.0,30.0,29.799999999999997
2020-10-04,IN,18157,36.4,20.700000000000003,43.0,0.0,36.7,36.4
2020-10-11,IN,18157,39.1,21.0,41.0,0.0,39.4,39.1
2020-10-18,IN,18157,44.900000000000006,21.7,41.4,0.0,45.2,44.900000000000006
2020-10-25,IN,18157,58.4,37.6,44.8,0,59.3,58.4
2020-11-01,IN,18157,67.6,46.1,45.1,0.0,67.9,67.6
2020-11-08,IN,18157,86.1,67.0,48.0,0,87.3,86.1
2020-11-15,IN,18157,117.0,89.3,52.0,0,117.7,117.0
2020-11-22,IN,18157,133.0,95.69999999999999,50.5,0,134.0,133.0
2020-11-29,IN,18157,131.7,113.4,49.7,0.0,132.10000000000002,131.7
2020-12-06,IN,18157,129.4,105.5,50.1,0.0,130.4,129.4
2020-12-13,IN,18157,114.0,99.1,51.0,0.0,114.1,114.0
2020-12-20,IN,18157,117.19999999999999,104.6,48.900000000000006,0.0,117.4,117.19999999999999
2020-12-27,IN,18157,101.69999999999999,86.0,48.9,0.0,101.9,101.69999999999999
2021-01-03,IN,18157,105.7,93.80000000000001,46.0,0,107.30000000000001,105.7
2021-01-10,IN,18157,93.6,81.0,44.8,0.0,95.4,93.6
2021-01-17,IN,18157,95.5,74.8,46.4,0,97.3,95.5
2021-01-24,IN,18157,86.9,67.3,45.5,0,88.3,86.9
2021-01-31,IN,18157,65.8,43.3,42.599999999999994,0,66.3,65.8
2021-02-07,IN,18157,43.900000000000006,26.4,44.0,0.0,44.2,43.900000000000006
2021-02-14,IN,18157,49.0,27.8,47.5,0,49.800000000000004,49.0
2021-02-21,IN,18157,36.4,19.2,42.1,0,37.7,36.4
2021-02-28,IN,18157,26.0,12.5,43.9,0,27.0,26.0
2021-03-07,IN,18157,31.4,13.799999999999999,46.3,0.0,32.7,31.4
2021-03-14,IN,18157,26.3,12.0,42.7,0,26.799999999999997,26.3
2021-03-21,IN,18157,28.200000000000003,10.1,49.8,0,29.0,28.200000000000003
2021-03-28,IN,18157,26.0,14.6,45.400000000000006,0,27.3,26.0
2021-04-04,IN,18157,31.900000000000002,14.1,50.6,0.0,31.900000000000002,31.900000000000002
2021-04-11,IN,18157,33.9,23.299999999999997,56.8,0,34.400000000000006,33.9
2021-04-18,IN,18157,28.0,14.0,51.8,0,28.5,28.0
2021-04-25,IN,18157,24.700000000000003,12.399999999999999,48.4,0.0,25.1,24.700000000000003
2021-05-02,IN,18157,29.4,16.3,50.1,0.0,30.1,29.4
2021-05-09,IN,18157,27.4,17.5,52.400000000000006,0.0,27.5,27.4
2021-05-16,IN,18157,24.799999999999997,13.1,54.400000000000006,0.0,25.1,24.799999999999997
2021-05-23,IN,18157,22.6,7.6,52.5,0.0,22.8,22.6
