collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,IN,18163,44.1,32.1,101.1,0.0,44.8,44.1
2020-08-09,IN,18163,47.599999999999994,33.4,119.0,0.0,48.7,47.599999999999994
2020-08-16,IN,18163,48.3,30.900000000000002,123.6,0.0,48.400000000000006,48.3
2020-08-23,IN,18163,46.0,32.2,110.0,0.0,46.6,46.0
2020-08-30,IN,18163,54.5,38.099999999999994,104.39999999999999,0.0,55.1,54.5
2020-09-06,IN,18163,67.0,49.800000000000004,120.6,0.0,67.4,67.0
2020-09-13,IN,18163,65.7,49.900000000000006,118.3,0.0,66.0,65.7
2020-09-20,IN,18163,99.9,78.80000000000001,126.19999999999999,0.0,100.6,99.9
2020-09-27,IN,18163,122.1,104.4,121.30000000000001,0.0,122.4,122.1
2020-10-04,IN,18163,123.1,104.4,123.19999999999999,0.0,123.9,123.1
2020-10-11,IN,18163,133.8,112.80000000000001,120.6,0.0,134.8,133.8
2020-10-18,IN,18163,120.4,103.0,116.4,0.0,121.0,120.4
2020-10-25,IN,18163,108.80000000000001,93.1,117.8,0.0,109.5,108.80000000000001
2020-11-01,IN,18163,124.10000000000001,106.9,126.0,0.0,124.6,124.10000000000001
2020-11-08,IN,18163,152.2,129.0,127.19999999999999,0.0,153.60000000000002,152.2
2020-11-15,IN,18163,188.8,165.5,133.7,0.0,190.0,188.8
2020-11-22,IN,18163,189.8,171.6,132.6,0.0,190.9,189.8
2020-11-29,IN,18163,194.0,171.10000000000002,132.6,0.0,194.60000000000002,194.0
2020-12-06,IN,18163,195.8,173.5,131.7,0.0,196.7,195.8
2020-12-13,IN,18163,196.2,170.3,136.3,0.0,197.3,196.2
2020-12-20,IN,18163,179.60000000000002,159.0,131.2,0.0,181.4,179.60000000000002
2020-12-27,IN,18163,189.8,171.29999999999998,132.0,0.0,190.3,189.8
2021-01-03,IN,18163,186.4,163.4,131.29999999999998,0.0,188.0,186.4
2021-01-10,IN,18163,186.2,162.29999999999998,125.80000000000001,0.0,186.6,186.2
2021-01-17,IN,18163,167.0,137.1,116.80000000000001,0.0,167.8,167.0
2021-01-24,IN,18163,120.1,101.0,110.80000000000001,0.0,120.3,120.1
2021-01-31,IN,18163,104.4,85.89999999999999,120.7,0.0,105.30000000000001,104.4
2021-02-07,IN,18163,87.4,63.1,100.1,0.0,89.0,87.4
2021-02-14,IN,18163,63.0,45.0,106.0,0.0,65.30000000000001,63.0
2021-02-21,IN,18163,52.900000000000006,35.6,103.30000000000001,0.0,53.6,52.900000000000006
2021-02-28,IN,18163,33.9,16.6,102.3,0.0,34.6,33.9
2021-03-07,IN,18163,28.1,10.1,86.6,0.0,28.9,28.1
2021-03-14,IN,18163,29.4,8.3,91.7,0.0,29.9,29.4
2021-03-21,IN,18163,25.3,11.1,95.1,0.0,25.5,25.3
2021-03-28,IN,18163,37.6,16.6,104.80000000000001,0.0,38.4,37.6
2021-04-04,IN,18163,33.099999999999994,14.9,93.7,0.0,34.5,33.099999999999994
2021-04-11,IN,18163,29.7,16.4,107.0,0.0,29.799999999999997,29.7
2021-04-18,IN,18163,31.7,24.299999999999997,109.80000000000001,0.0,31.799999999999997,31.7
2021-04-25,IN,18163,29.1,21.5,118.5,0.0,29.6,29.1
2021-05-02,IN,18163,30.3,19.700000000000003,109.0,0.0,31.4,30.3
2021-05-09,IN,18163,28.299999999999997,16.3,104.6,0.0,29.099999999999998,28.299999999999997
2021-05-16,IN,18163,27.9,15.1,122.1,0.0,28.200000000000003,27.9
2021-05-23,IN,18163,22.6,9.3,106.19999999999999,0.0,23.0,22.6
2021-05-30,IN,18163,21.3,9.0,101.3,0.0,21.3,21.3
2021-06-06,IN,18163,17.5,5.4,126.39999999999999,0.0,17.6,17.5
2021-06-13,IN,18163,17.7,5.3,108.7,0.0,17.7,17.7
2021-06-20,IN,18163,13.3,0.0,119.19999999999999,0.0,13.399999999999999,13.3
2021-06-27,IN,18163,13.5,4.9,118.3,0.0,14.2,13.5
2021-07-04,IN,18163,21.8,10.1,107.69999999999999,0.0,22.7,21.8
2021-07-11,IN,18163,29.299999999999997,19.9,113.7,0.0,29.299999999999997,29.299999999999997
2021-07-18,IN,18163,36.099999999999994,26.700000000000003,109.69999999999999,0.0,37.3,36.099999999999994
2021-07-25,IN,18163,46.3,37.7,125.19999999999999,0.0,46.8,46.3
2021-08-01,IN,18163,65.7,54.3,121.80000000000001,0.0,66.0,65.7
2021-08-08,IN,18163,108.0,89.80000000000001,117.8,0.0,109.69999999999999,108.0
2021-08-15,IN,18163,152.8,133.7,109.4,4.4,158.0,157.20000000000002
2021-08-22,IN,18163,192.9,177.3,118.0,0.0,195.60000000000002,192.9
2021-08-29,IN,18163,194.8,179.1,126.7,0.0,198.5,194.8
2021-09-05,IN,18163,181.3,167.0,126.19999999999999,5.0,187.0,186.3
2021-09-12,IN,18163,193.3,181.1,133.5,0.0,195.29999999999998,193.3
2021-09-19,IN,18163,166.7,151.1,133.3,0.0,168.39999999999998,166.7
2021-09-26,IN,18163,139.10000000000002,122.4,120.6,0.0,140.7,139.10000000000002
2021-10-03,IN,18163,122.4,105.0,121.89999999999999,0.0,123.6,122.4
2021-10-10,IN,18163,102.69999999999999,86.7,119.4,0.0,102.69999999999999,102.69999999999999
2021-10-17,IN,18163,77.8,65.9,119.0,0.0,78.4,77.8
2021-10-24,IN,18163,62.7,47.5,119.0,0.0,63.3,62.7
2021-10-31,IN,18163,46.5,30.7,124.39999999999999,0.0,47.900000000000006,46.5
2021-11-07,IN,18163,43.0,32.300000000000004,112.6,0.0,44.0,43.0
2021-11-14,IN,18163,55.2,43.300000000000004,112.9,0.0,57.2,55.2
2021-11-21,IN,18163,76.7,62.7,117.1,0.0,78.8,76.7
2021-11-28,IN,18163,83.0,66.3,116.5,0.0,85.0,83.0
2021-12-05,IN,18163,97.80000000000001,85.0,108.1,0.0,99.30000000000001,97.80000000000001
2021-12-12,IN,18163,123.1,106.30000000000001,124.19999999999999,0.0,125.3,123.1
2021-12-19,IN,18163,109.4,92.69999999999999,122.39999999999999,0.0,111.69999999999999,109.4
2021-12-26,IN,18163,115.80000000000001,97.5,134.0,0.0,117.69999999999999,115.80000000000001
